Areal values from HadUK-Grid 1km gridded climate data from land surface network
Source: Met Office National Climate Information Centre
Monthly, seasonal and annual total precipitation amount for East Anglia
Areal series, starting in 1862
Last updated 01-Jan-2022 10:59
    jan  year    feb  year    mar  year    apr  year    may  year    jun  year    jul  year    aug  year    sep  year    oct  year    nov  year    dec  year     win  year     spr  year     sum  year     aut  year     ann  year
  117.9  1939   93.2  1916  111.0  1947  117.8  1998  118.1  2007  128.8  1997  146.5  1875  177.5  1912  125.3  1918  177.4  1865  154.6  1940  145.3  1914   287.2  1915   228.7  1981   327.6  1879   316.1  2000   887.9  1872
  116.5  1988   86.7  1951   93.6  1916  112.6  2012  106.8  1878  109.4  1985  129.0  1880  122.2  2010  123.5  1896  141.3  1892  139.1  1970  116.1  1876   260.6  1877   222.8  1983   321.6  1912   313.2  1885   809.9  2012
  102.5  1995   84.5  2001   92.9  1981   93.4  2000   97.4  1924  107.5  1958  124.6  1872  117.4  1878  122.5  1968  138.9  1882  127.6  1878  113.0  1868   248.3  2021   222.6  1979   298.5  1903   304.0  1960   788.3  1903
  101.9  2014   84.2  1866   91.7  1862   92.1  1983   96.0  1932  105.9  1879  116.0  1936  116.6  2004  112.4  1871  134.8  1880  118.1  1875  110.0  2020   237.1  1990   221.6  1937   266.2  1872   299.3  1974   783.0  1882
  100.5  1943   82.3  2010   91.2  1914   85.2  1920   93.6  1983  102.4  2016  113.0  1888  115.6  1917  110.6  1885  133.8  1939  110.1  2000  106.4  1929   234.8  2014   214.6  1951   265.9  1987   286.2  1882   779.5  2000
   94.4  2021   82.3  1900   89.4  2001   82.0  1931   93.6  2014   99.6  2007  111.0  1879  110.7  1879  110.6  1876  130.0  1987  107.9  1974  104.8  1915   232.6  1916   210.8  1862   262.3  1958   282.3  1880   779.2  2001
   92.5  1937   81.3  1977   88.3  1979   78.6  1951   91.9  2000   98.8  2012  110.7  1903  107.9  1881  108.4  1930  126.1  1960  105.9  2002  104.8  1978   225.1  1869   202.4  2001   259.5  1946   274.6  1875   774.1  1912
   91.3  1948   79.5  1937   83.3  2008   78.3  1871   90.2  1889   98.8  1982  107.2  2012  105.9  2006  106.0  1883  126.0  1903  105.8  1872  104.4  1869   225.0  1979   201.7  2000   253.9  2012   266.9  1993   769.4  1960
   88.0  1877   78.9  1990   79.8  1937   76.7  1882   87.1  1967   97.6  1903  101.7  1915  105.9  1956  103.6  1995  125.7  1885  104.7  1950  104.3  1989   224.9  1995   196.9  2008   250.4  1880   265.7  1939   755.2  1939
   86.4  1956   78.9  1950   78.7  1951   75.5  1926   85.0  1969   96.1  1998  100.8  1865  105.5  1954  103.1  1993  125.0  2000  104.5  1929  103.9  1965   214.7  1937   196.4  1932   242.3  1875   256.9  1944   752.1  1879
   83.5  2004   78.7  2020   78.6  1896   74.4  1918   81.2  2006   94.4  1964   98.5  1922  103.0  1941  100.6  1965  122.4  1982  104.2  2009  103.5  1910   213.6  1939   195.2  2012   242.0  1968   254.4  1976   750.5  1865
   83.4  1906   74.2  1958   78.4  1864   73.3  2001   81.0  2021   93.8  1987   97.6  1918   99.1  1865   97.9  1927  117.8  1891   97.8  1939   99.6  2002   211.5  1919   189.6  1975   241.1  1956   251.4  1892   747.4  1916
   83.2  1928   74.1  1923   77.6  1941   72.6  1989   79.0  1979   92.1  1909   96.8  1950   97.4  1977   93.4  1984  113.5  2020   97.8  1954   98.8  1872   211.4  2010   183.4  1998   240.7  1927   251.2  1883   746.3  1927
   83.1  1984   73.5  2014   77.2  1975   70.2  1876   78.8  1869   90.4  1936   95.1  1988   96.9  1999   92.3  1960  107.4  1932   96.0  1946   98.5  1911   210.6  2020   181.3  1877   239.5  1917   246.8  1935   745.2  1937
   81.7  1922   72.5  1883   75.0  1988   69.8  1907   74.7  1955   90.0  1927   94.8  1946   95.1  2014   91.8  1974  103.7  1949   95.3  1906   98.1  1919   208.5  1912   180.9  1867   235.0  1888   246.2  1992   744.5  1958
   81.7  1936   71.1  1879   71.9  1876   69.2  1877   74.3  1910   87.8  2019   92.5  1890   95.0  1891   91.6  1975   99.6  1974   95.0  1996   98.0  2012   205.7  1977   180.0  1916   234.3  1954   245.8  1872   738.9  1877
   80.3  2003   68.7  1915   71.8  1964   69.0  1981   74.2  1886   87.6  1999   92.3  1867   94.6  1946   91.5  1880   99.2  1924   94.5  1952   96.1  1979   202.3  2001   179.2  1889   234.1  1865   244.8  1982   736.3  2014
   77.7  1867   68.5  1919   71.7  1909   69.0  1908   73.6  1862   87.1  1905   90.6  1930   91.6  1987   90.6  1935   98.6  1993   92.4  1935   95.7  1934   200.0  1935   177.3  1878   230.2  1909   239.8  1903   736.0  1880
   76.1  1865   67.3  1927   70.7  1888   68.4  1937   73.3  1937   84.9  1991   90.4  1886   90.5  1931   87.6  1976   98.1  1976   91.0  1930   95.1  1886   199.9  1883   177.1  1969   228.8  1936   234.8  1896   732.7  1951
   76.0  1919   66.4  1995   70.6  2018   67.6  1970   73.2  1902   84.1  1980   89.5  1895   90.2  1916   86.2  1957   97.9  1909   90.9  1944   94.5  1909   198.9  1873   177.1  1872   227.1  2007   233.7  1865   730.6  1876
   74.4  1872   65.8  1881   69.7  1952   67.5  1919   73.1  1867   81.2  1883   89.2  1893   90.2  1903   85.5  2001   96.7  2013   90.7  1951   90.2  1870   198.5  1994   177.0  1924   225.9  2004   232.8  1940   726.3  1924
   74.3  1900   65.5  1893   68.7  1897   67.4  1935   73.1  1891   77.6  1880   87.8  1894   89.0  1948   83.3  1992   94.7  1923   89.4  1926   89.8  2017   198.3  1910   173.6  2018   224.5  1966   228.7  1998   720.6  1875
   74.2  1912   65.4  2007   68.2  1912   66.4  1993   72.9  1984   77.0  1871   86.2  1968   88.0  1968   81.7  1866   93.2  1998   87.7  2014   87.1  1959   197.3  1966   172.5  1869   218.6  1892   228.6  1924   718.7  1993
   73.2  1915   64.8  1904   67.8  1940   65.6  2018   71.5  1885   76.1  1892   85.9  1931   86.5  1986   81.1  1944   92.9  1889   87.6  1992   87.1  1901   197.1  2003   169.5  2016   218.1  1891   227.2  2019   715.6  1946
