Areal values from HadUK-Grid 1km gridded climate data from land surface network
Source: Met Office National Climate Information Centre
Monthly, seasonal and annual total duration of bright sunshine for East Anglia
Areal series, starting in 1919
Last updated 01-Jan-2022 10:59
    jan  year    feb  year    mar  year    apr  year    may  year    jun  year    jul  year    aug  year    sep  year    oct  year    nov  year    dec  year     win  year     spr  year     sum  year     aut  year     ann  year
   85.5  2001  137.2  2019  185.8  1995  249.0  2020  309.3  2020  283.2  1976  285.6  1935  286.0  1947  209.7  1928  165.9  1920  103.3  2006   80.6  1962   253.1  2000   726.0  2020   818.7  1976   431.9  2003  1867.8  2003
   83.8  1984  123.5  1949  185.0  1933  237.9  1942  298.7  1989  277.5  1957  284.2  2006  272.2  1995  209.1  2003  162.9  1959  102.6  1989   79.7  2014   249.8  2019   643.9  1990   762.3  1989   420.2  2018  1822.9  1959
   77.7  1959  123.0  2008  171.3  1967  232.4  1990  276.6  1922  271.2  1950  282.5  2018  255.1  1976  201.5  1964  158.4  2018   96.1  1973   77.5  2001   240.1  1949   619.9  1948   739.7  1959   414.9  1959  1820.9  1990
   76.9  1952  117.3  1998  169.9  1938  223.7  1984  267.8  1919  269.1  1975  280.4  1976  254.6  1990  192.0  1929  152.1  2011   94.4  2005   73.4  1999   239.5  2015   590.6  1921   729.7  1975   398.0  1971  1817.7  1995
   75.5  1991  117.2  1988  169.4  1931  221.9  2021  266.8  1943  268.9  1973  277.5  1928  251.2  1989  191.2  1959  150.9  2003   94.3  1996   69.0  1961   235.1  2008   580.9  1995   724.3  2018   395.4  1928  1816.0  2018
   74.5  2005  110.2  2003  169.3  2003  217.1  1948  265.1  1992  266.6  1970  271.7  1959  245.1  1923  185.0  1934  148.2  1921   93.0  1923   68.2  2008   229.1  2014   570.0  1943   717.5  1933   390.9  2011  1810.9  2020
   74.2  1965  107.1  2000  168.8  2007  215.9  2011  260.0  1990  263.4  1940  268.4  1934  243.7  1933  184.6  1991  147.3  1997   91.2  1985   66.8  1929   222.2  2018   567.2  2003   715.5  1995   390.5  1921  1807.6  1989
   72.7  2000  104.5  1939  168.2  1924  215.8  2015  256.7  2018  261.6  1969  266.6  1995  241.7  2019  183.8  1923  143.5  1995   88.5  2021   66.6  2011   222.1  2012   564.6  1982   715.4  1935   388.7  1964  1798.8  1921
   72.5  1962  102.2  2014  167.7  2020  215.6  2007  246.6  1997  259.9  1962  263.3  2013  241.0  1975  183.6  1979  140.3  1971   88.3  1977   66.4  2019   216.5  2020   562.7  2011   693.9  1947   384.0  2006  1786.1  1949
   72.2  1940  102.2  1922  166.6  1948  215.5  2010  245.5  1921  258.9  1960  262.5  1921  240.5  2016  180.4  1933  137.9  1996   87.4  1988   65.8  1994   214.9  1989   559.2  1929   692.1  1928   375.7  1929  1739.3  1933
   72.0  2012  101.6  1970  165.7  1929  209.6  1946  245.2  1929  250.3  1925  261.4  1989  234.8  1991  179.0  2012  137.9  1999   86.8  1971   65.5  2005   214.0  2002   557.1  1997   685.8  1949   372.2  1997  1737.7  2019
   71.6  2015   99.7  1934  164.5  1961  206.7  1921  245.2  1940  249.8  1989  258.9  1990  228.3  2003  178.1  2019  137.4  1930   86.7  2017   65.0  2009   212.4  1963   554.0  2015   675.6  1994   369.4  1923  1716.7  1929
   71.2  1994   99.2  2018  160.3  1982  205.6  2002  244.7  2001  249.3  1951  251.9  1994  223.2  1949  176.9  2020  134.2  1922   86.5  2016   64.5  1984   212.2  1952   552.8  1956   673.1  2006   368.6  1947  1707.1  1976
   70.8  1986   97.5  1989  157.7  2014  198.3  2003  241.3  1956  248.6  1959  250.4  1999  221.0  1998  176.8  2018  132.4  1919   85.0  2018   64.1  1967   210.7  1962   549.3  2009   668.2  1996   367.9  1979  1697.9  1928
   69.2  1989   96.6  1990  155.5  2012  195.5  1949  238.1  1944  246.9  1996  239.6  1983  220.5  1930  174.7  2011  132.0  1965   84.1  1965   63.3  1946   209.3  1984   547.2  1922   654.8  1950   367.7  1996  1690.4  1999
   68.7  1980   96.1  1928  155.5  1955  193.5  2013  237.8  1982  241.1  2018  239.2  1955  219.5  1997  172.0  1921  131.2  1961   83.1  1925   62.4  2013   208.5  2001   544.3  2010   652.1  1990   365.1  1973  1683.1  2014
   68.5  1999   93.5  2016  151.5  1990  192.1  2019  236.3  1948  238.2  2006  238.4  1929  219.4  1959  171.9  1947  129.6  1980   82.7  1978   61.6  1951   207.6  1995   534.6  2019   650.9  1921   360.3  1999  1681.7  1943
   68.0  1947   90.9  1999  148.3  1972  188.3  1969  235.7  1980  236.0  1949  238.4  1933  218.5  2000  171.7  1953  128.9  2008   82.6  1920   61.2  1976   206.1  1998   534.4  1942   650.9  1934   359.5  1986  1675.6  1997
   67.3  2017   90.4  2020  144.7  2015  185.1  2009  234.3  1920  235.4  1933  236.0  1924  217.1  2013  170.8  1971  128.1  1981   81.4  1947   60.7  1986   204.7  1933   524.2  1989   649.9  2013   358.2  2005  1673.5  1935
   64.5  1982   88.9  1920  144.5  1956  184.7  1951  233.2  2011  234.5  1942  235.9  1941  216.2  1919  170.7  2015  126.7  1990   80.1  2009   60.6  2017   200.1  1999   523.9  2007   640.2  2003   355.8  1920  1670.8  2009
   64.5  2014   88.3  2015  143.1  2009  183.6  1968  230.0  1935  234.1  1994  229.0  2014  215.7  1953  170.3  1986  126.1  1977   78.7  2001   60.4  1936   200.0  1988   513.0  1946   640.2  2014   355.1  1949  1662.3  2015
   64.3  1967   88.0  1996  141.6  1920  182.8  2017  228.5  1959  232.1  1961  227.3  1996  211.2  1935  169.3  2004  124.9  1938   78.2  1940   59.9  1925   199.3  1939   512.7  1953   636.6  1940   351.4  1981  1651.2  1947
   63.5  1933   87.5  1933  139.4  1943  177.3  1952  227.6  1971  231.6  1930  227.1  1971  211.0  2009  168.3  2006  124.7  1983   77.9  1998   59.7  1952   198.5  1934   511.5  1955   632.0  1951   350.1  1940  1641.4  2016
   63.1  1990   87.4  1983  138.6  1945  175.7  2016  227.2  1952  229.9  2010  226.6  1949  208.4  1983  167.9  1997  124.2  1955   77.5  2007   59.5  1979   195.7  1983   508.5  2016   629.7  1983   348.6  1919  1638.8  2006
   63.0  2007   85.3  2002  138.4  1921  173.5  1997  223.5  1953  229.0  1920  226.5  2016  207.4  1993  167.9  1940  123.3  1931   77.4  1972   59.3  1954   195.1  2003   508.4  1927   624.9  1930   346.7  2021  1626.6  2011
   62.5  2018   85.1  1995  137.1  1997  173.4  1999  222.2  1995  229.0  1986  225.5  1923  206.6  1944  167.9  1973  123.1  1949   76.5  1943   57.6  2003   194.2  2005   506.9  1944   623.8  2019   345.2  2012  1619.5  1955
   61.7  1923   84.9  1943  134.4  1932  172.8  1995  221.2  2009  227.5  2015  222.2  1967  206.4  1964  165.6  1981  121.6  1964   76.4  2013   57.5  1973   193.2  1994   506.4  1949   623.5  1999   344.7  1965  1618.8  1994
   61.6  1949   83.5  2012  133.3  2019  171.6  1945  220.9  1925  227.4  1922  221.0  1997  205.5  1984  164.4  1919  121.0  1987   74.2  2012   57.0  2004   192.0  2016   506.3  1933   622.4  1973   344.0  1995  1617.9  1973
   61.6  1928   81.5  1967  130.6  1973  170.2  1939  220.9  1964  225.1  1919  220.7  1946  204.9  1926  164.4  1954  121.0  1951   72.7  1930   56.6  1996   190.7  1928   505.0  2021   622.4  1970   343.1  1985  1614.9  1940
   61.5  1963   80.4  2021  129.9  1930  169.9  1976  220.8  1977  222.2  1928  219.6  1975  201.9  1988  163.0  1949  120.1  1986   71.9  2003   56.6  1926   190.5  1985   503.7  2002   621.7  2009   340.1  1977  1610.2  1996
   61.1  1954   80.0  1985  129.4  1958  169.8  1994  219.5  1947  219.8  1992  218.6  1985  200.8  2018  160.6  2007  119.0  1928   71.9  1999   55.9  1955   186.5  1990   499.8  1924   620.5  1929   338.9  1975  1609.1  1952
   60.8  2003   80.0  1957  129.1  1993  169.8  1947  218.4  1961  218.6  1935  217.2  1943  200.1  2014  160.1  1955  118.8  1929   71.6  2000   55.5  1983   184.2  1943   498.7  2014   614.3  1941   338.1  1978  1608.0  2001
   60.7  1931   79.3  1955  129.0  2016  167.7  1927  217.3  2005  216.5  1947  213.1  1951  199.3  2001  159.8  1982  118.2  1985   71.1  2020   55.3  2007   183.1  1930   498.0  1945   612.7  1984   336.2  1980  1602.6  1948
   60.1  2019   78.3  1994  128.7  1994  167.1  1956  214.1  1927  216.0  2020  212.7  1991  197.7  1966  159.8  1978  117.1  1993   70.9  1938   55.0  1948   182.7  2004   497.6  1961   611.4  1969   335.5  2007  1599.6  1934
   59.7  2020   78.2  1936  128.4  2017  167.0  1922  213.1  2010  214.5  1939  212.2  2008  196.8  2005  158.0  2021  116.8  1994   70.5  1957   54.0  1957   182.6  1980   497.2  1938   606.9  1993   334.8  1930  1598.0  1961
   59.6  1956   78.1  1921  127.6  1950  166.5  1982  211.6  1998  214.2  1941  210.8  1969  194.0  1996  157.9  1970  116.0  1952   70.3  1921   53.8  1932   182.4  1967   494.6  2017   604.6  2001   334.5  1955  1590.0  2013
   59.4  1924   76.4  2001  126.8  1953  165.9  1955  209.2  2019  212.1  1999  207.8  1964  193.7  1973  157.7  1966  116.0  1979   69.2  1975   53.7  1949   181.8  1956   494.1  1952   602.9  1955   332.8  2016  1582.5  1986
   58.9  1957   75.6  1973  126.7  1968  165.9  1954  208.6  1966  211.3  1993  206.1  2009  193.7  1974  156.7  2009  115.3  1947   69.1  1986   53.5  2016   181.4  2006   491.9  1940   601.0  1923   329.2  1961  1576.1  1922
   56.9  1927   74.6  1938  126.6  1927  165.5  1980  208.4  1993  211.1  2014  205.6  1984  192.4  1928  156.2  2005  114.6  1950   68.9  1949   52.5  2018   180.6  2009   490.8  1959   599.0  2016   328.8  1988  1575.1  1967
   56.8  2008   74.6  1960  126.0  1935  164.9  2008  207.2  1934  210.6  1921  205.3  1963  191.5  2017  155.6  1975  114.1  1975   68.3  1979   52.3  1982   180.5  1959   490.1  1935   596.9  1943   328.8  1954  1573.8  2007
   56.7  1934   73.8  1950  125.7  1965  163.8  1943  206.4  1942  210.2  2017  205.1  2019  190.8  1981  155.4  1974  113.8  1926   67.8  1961   52.3  1980   180.5  1922   488.9  1967   596.8  1997   327.5  1989  1569.0  2017
   56.7  1995   73.7  1952  125.6  1986  162.4  1950  205.5  2008  210.0  2003  202.9  2015  190.6  1955  155.1  1987  113.3  2014   67.5  1952   51.8  1928   178.4  1937   482.9  1977   596.7  1924   326.9  1970  1568.9  1975
   56.3  1976   71.9  1948  122.3  1940  162.3  1953  205.2  1949  208.9  2011  201.9  2003  189.6  1994  154.0  1935  112.6  1956   67.4  1948   51.7  1965   177.0  2017   482.0  1980   594.0  2015   325.5  1943  1566.1  1951
   56.3  1946   71.7  1946  121.3  1926  161.6  1991  204.7  1986  207.1  1945  201.8  2001  188.9  2012  151.6  1944  112.3  2006   66.7  1928   51.6  1977   176.9  1974   481.0  2008   592.4  1967   325.4  1991  1565.8  2008
   55.9  1983   70.4  1971  119.2  1944  161.0  1957  204.5  1974  206.3  1963  200.0  1945  186.8  1952  151.2  1937  112.3  1935   66.5  1960   51.6  1991   175.1  1977   477.8  1976   590.3  1957   325.0  2004  1547.4  2010
   55.6  1930   70.3  2004  118.6  1934  161.0  1960  203.8  2016  205.8  2021  199.6  1950  186.6  1934  151.0  1943  111.5  2001   66.5  1969   51.3  2012   174.0  1955   476.9  1958   590.2  2017   324.2  1935  1546.3  1982
   55.5  1974   70.3  1963  118.5  1978  160.1  1996  203.6  1957  205.0  1943  197.3  1952  186.2  1970  150.9  2002  111.0  1962   65.6  1964   50.5  1943   173.1  1920   473.8  1999   589.8  1925   322.5  1987  1541.9  1950
   54.8  2004   70.0  1984  117.0  1966  158.1  1977  202.3  1970  204.7  2009  192.3  1925  185.4  1932  150.6  1958  109.1  1984   65.3  1992   49.7  1992   172.7  1992   473.6  1919   588.6  1952   322.4  1933  1539.3  1970
   54.2  2016   69.6  1969  116.0  2002  158.0  1938  202.2  1946  204.5  1952  191.8  1953  184.5  1929  150.5  1999  108.4  1936   65.0  1929   49.4  1972   171.3  1981   471.2  1957   586.5  1961   322.2  2009  1539.1  2005
   54.0  1988   69.2  1962  115.7  2010  156.0  1959  200.2  1979  204.3  1938  191.5  1940  184.5  1965  150.3  1980  108.4  1969   64.4  1967   48.9  1963   171.3  1946   468.3  1920   581.9  1960   322.0  1934  1531.5  1920
   54.0  1979   68.8  1975  114.9  1941  155.7  2014  199.6  2003  203.5  2001  191.4  1947  184.4  1972  147.8  1948  107.8  1941   64.2  2011   48.8  1974   170.8  2010   466.7  1968   580.6  1991   319.8  1990  1526.5  1923
   53.9  1943   68.7  1925  114.5  1976  154.4  1958  196.0  1999  203.5  1936  191.3  2010  184.0  1950  144.2  2013  107.6  2005   63.5  1993   48.1  1988   170.7  2021   463.8  1992   577.8  2020   318.9  1922  1526.1  1957
   53.5  1992   68.6  1945  113.6  2011  154.0  1933  195.6  1963  201.6  1984  190.9  1977  183.7  2007  143.0  1939  107.5  1970   63.3  1995   47.9  1924   170.6  1986   463.1  1986   577.5  1964   316.5  1938  1525.8  2021
   53.5  1925   68.4  1961  113.0  2006  152.0  2006  195.3  1939  201.3  1967  189.8  2007  182.2  2020  142.4  1926  106.7  1992   63.2  1976   47.4  1944   170.1  1925   462.8  1931   572.8  1942   316.0  1952  1524.3  1925
   53.4  2009   68.0  1977  111.2  2021  151.6  1987  193.5  1976  199.1  2008  188.5  2017  181.9  2004  140.9  2016  105.6  2010   63.0  1956   47.4  1922   170.1  1997   462.6  2012   572.1  1926   315.6  2019  1522.7  1930
   53.1  1920   67.6  1992  110.6  2008  150.5  1974  193.4  2015  197.5  1924  188.2  1993  181.9  1961  137.4  1988  105.3  2016   62.7  1982   46.7  1938   169.8  2007   462.2  1972   566.3  2010   313.7  2013  1522.1  1964
   52.7  1998   67.3  1937  109.9  2000  150.4  1936  193.4  2013  197.5  1929  186.9  2021  181.7  1940  137.3  1995  104.5  1954   61.5  1970   46.6  2000   169.5  1987   462.0  2001   565.6  1962   312.9  1948  1521.7  2012
   52.5  1981   66.5  1981  108.4  1962  150.2  2004  193.0  1958  197.0  2004  185.7  1986  181.6  1927  136.4  1990  104.1  1967   60.9  1963   46.1  2020   167.4  1991   460.8  1993   565.2  1974   312.5  1944  1520.6  1946
