Areal values from HadUK-Grid 1km gridded climate data from land surface network
Source: Met Office National Climate Information Centre
Monthly, seasonal and annual number of days in the month with air frost (minimum temperature below zero) for England
Areal series, starting in 1960
Last updated 01-Jan-2022 10:59
    jan  year    feb  year    mar  year    apr  year    may  year    jun  year    jul  year    aug  year    sep  year    oct  year    nov  year    dec  year     win  year     spr  year     sum  year     aut  year     ann  year
   28.3  1963   26.7  1963   21.1  1962   12.8  2021    4.3  1979    0.6  1962    0.0  1965    0.0  1977    0.4  1986    5.0  1993   13.4  1965   23.7  2010    75.3  1963    26.7  2013     0.6  1962    16.5  1993    83.5  2010
   26.1  1979   24.4  1986   18.0  2013    9.3  1968    3.1  1996    0.2  1991    0.0  2000    0.0  1964    0.3  1969    4.9  1997   13.2  1985   21.2  1981    60.3  1979    25.0  1970     0.2  1991    14.5  1988    83.0  1963
   24.0  1985   21.0  1979   16.3  1970    8.7  1970    1.8  2021    0.1  1975    0.0  1960    0.0  2012    0.2  1974    4.3  1992   12.4  1988   20.2  1962    49.0  2010    24.7  1962     0.1  1975    13.7  1965    81.3  1979
   20.3  1987   20.4  1968   15.3  1987    8.0  2013    1.8  1982    0.1  1989    0.0  1962    0.0  1962    0.2  1979    3.7  2003   12.4  1996   19.1  1961    48.3  1985    21.9  1969     0.1  1989    13.4  1985    75.4  1962
   18.8  1997   19.5  1983   14.6  1969    7.4  1984    1.8  1967    0.0  1974    0.0  1961    0.0  1983    0.2  1975    3.4  1983   11.5  2005   18.6  1976    46.1  1968    18.6  2021     0.0  1974    12.8  1973    74.9  1985
   18.4  1980   19.4  1969   13.0  1995    7.1  1969    1.7  2010    0.0  1971    0.0  1973    0.0  1961    0.1  1972    3.0  1981   11.4  1993   17.6  2001    45.4  1965    18.6  1995     0.0  1977    12.5  1996    73.8  1969
   18.1  2010   19.4  1991   12.9  1985    6.6  1978    1.6  1984    0.0  1977    0.0  1990    0.0  1993    0.1  1964    2.6  2008   11.0  1971   16.6  1964    44.6  1986    18.6  1979     0.0  1971    12.0  1971    72.0  1996
   16.7  2021   18.9  1996   12.6  1965    6.5  1986    1.5  2020    0.0  2001    0.0  1971    0.0  1994    0.1  1995    2.6  1973   10.2  1973   15.6  1995    43.5  1982    18.1  1996     0.0  2001    11.9  2010    68.3  1965
   15.7  1977   18.2  1981   12.4  1976    6.2  1990    1.5  1995    0.0  1978    0.0  1966    0.0  1965    0.1  1988    2.6  2018   10.0  1969   15.4  1963    43.2  1991    16.9  1976     0.0  1978    11.6  2005    68.1  1968
   15.6  1966   16.2  1978   12.4  2006    6.1  1977    1.4  1981    0.0  2015    0.0  1972    0.0  1999    0.1  2003    2.4  1964    9.8  2010   15.3  2009    42.4  1996    16.7  1968     0.0  2015    10.4  1969    67.4  1970
