Areal values from HadUK-Grid 1km gridded climate data from land surface network
Source: Met Office National Climate Information Centre
Monthly, seasonal and annual total precipitation amount for England
Areal series, starting in 1862
Last updated 01-Jan-2022 10:59
    jan  year    feb  year    mar  year    apr  year    may  year    jun  year    jul  year    aug  year    sep  year    oct  year    nov  year    dec  year     win  year     spr  year     sum  year     aut  year     ann  year
  160.0  2014  161.0  2020  149.4  1947  136.5  2012  128.4  1967  148.1  2012  143.8  1888  170.3  1912  168.5  1918  195.5  1903  174.8  1929  179.0  1914   401.3  2014   288.8  1979   376.7  1912   443.7  2000  1175.5  1872
  157.2  1948  134.4  1923  138.5  1981  131.9  2000  119.6  1932  145.8  2007  136.4  1880  156.3  1917  145.3  1866  166.8  2000  170.8  2009  177.3  1876   392.4  1915   281.1  1981   366.2  1879   397.5  1960  1125.9  2012
  144.9  1995  130.2  1990  117.0  1979  117.7  1998  117.6  1924  125.2  1879  130.7  1875  147.3  2004  142.0  1976  164.4  1960  168.7  1940  168.0  1915   378.8  1877   274.1  1947   351.1  2012   377.7  1935  1109.0  2000
  142.8  1939  126.2  1950  108.5  1919  106.9  1920  116.9  1878  122.9  1997  128.6  2009  145.7  1956  139.9  1896  164.1  1865  167.3  1951  167.5  1868   368.2  1990   269.0  1983   324.4  2007   361.1  2019  1069.1  1960
  141.9  1928  123.4  2014  108.4  1912  102.5  1882  111.4  2021  117.0  1982  126.3  1936  139.3  1878  139.6  1968  154.1  1967  160.1  2000  166.1  1929   365.6  1995   252.2  1862   308.1  1956   360.8  1976  1060.4  1903
  140.5  1988  122.9  1977  104.9  1914  101.9  1983  110.8  1886  116.8  1980  124.7  2007  139.1  1891  136.6  1927  153.1  1987  155.8  1970  160.2  1934   345.1  1869   250.8  1932   307.8  1931   356.5  1875  1031.1  1882
  136.6  1877  122.3  1937  103.1  1862   96.2  1966  109.5  1979  116.2  1912  123.2  1988  131.8  1879  132.9  1871  151.0  1891  151.8  1954  159.7  1911   340.7  2020   249.7  1913   303.0  1927   351.3  1872  1017.2  1877
  136.5  1943  121.6  1900  103.1  2018   91.4  2001  107.2  1983  116.1  1998  123.1  1920  131.6  1881  131.3  1974  146.1  1882  148.5  1926  155.7  1978   340.3  2021   249.5  1920   286.8  1958   348.1  1903  1016.1  1912
  131.8  1984  120.8  2002  102.5  1897   91.2  1935  107.2  2007  107.3  2019  119.8  1915  127.1  1946  128.8  1981  145.4  1998  145.6  1946  150.4  1959   337.8  1916   249.0  2000   285.6  1872   344.5  1954  1006.4  2002
  129.2  2008  120.4  1916  102.4  1951   90.0  1993  106.2  1869  105.6  1958  116.1  1939  121.0  1927  128.5  1965  144.0  2020  144.2  1963  148.9  2012   337.5  1960   246.4  1951   281.7  1917   344.4  1944   993.6  1951
  128.6  1872  116.6  1915  101.2  1903   89.7  1913  104.6  1969  102.4  1987  113.6  2012  120.1  1951  127.9  1883  142.0  1907  142.0  2002  144.8  1993   330.4  2016   237.4  1886   279.2  1954   336.6  1880   992.1  1954
  128.3  2021  114.8  1966   99.5  1916   89.1  1871  100.8  2006  102.2  1882  113.4  1922  118.6  1877  126.3  1876  141.7  1976  140.4  1944  143.9  1979   328.0  1994   234.7  1998   279.0  1903   334.4  1974   990.1  1927
  124.2  2016  107.1  1925   98.2  1913   88.7  1961   95.7  2014   96.5  1863  112.5  1872  116.1  1954  122.9  1935  141.7  1880  139.6  1888  143.8  1965   319.8  1937   234.4  1903   279.0  1888   332.6  1882   989.2  2020
  118.9  1906  105.1  1958   97.1  1909   86.9  1931   94.8  1955   95.8  1872  109.3  1895  115.7  1865  122.1  1869  141.2  1932  137.6  1950  137.2  1999   316.7  1912   233.6  1937   278.6  1946   330.6  1885   983.4  2014
  118.5  1999  104.3  1951   92.6  1963   82.9  1877   94.2  1925   95.5  2016  109.2  1879  115.1  1992  116.8  2000  141.1  1949  137.1  1939  136.9  2020   310.1  1966   232.6  1986   276.8  1882   327.0  1984   981.4  2008
  116.7  1937  102.3  1997   92.3  1876   81.7  1867   90.7  1942   93.2  1971  108.4  1871  114.5  2020  115.2  1946  139.7  1875  134.9  1935  133.6  2015   308.0  1910   227.9  1969   271.9  2020   315.1  2012   979.3  2019
  115.8  1960  100.6  1995   92.2  1980   80.8  1989   84.9  2002   91.7  1927  107.6  1960  112.2  1986  114.8  1950  138.1  1870  133.3  1984  129.1  1919   306.1  1930   226.7  1889   270.2  1875   315.0  1883   966.5  1998
  115.3  1930   98.5  1910   91.9  1982   80.2  1986   84.4  1981   91.2  2020  106.8  1940  111.3  1931  113.5  2019  136.7  2013  130.2  1875  127.0  1901   299.3  1977   226.4  2018   270.0  2004   312.7  1940   964.1  1924
  114.5  1990   97.2  1904   91.8  2008   79.0  1970   84.1  1862   90.7  1991  106.2  1931  110.6  1941  112.2  1885  136.3  1906  130.1  1960  126.7  1909   299.1  2007   224.3  1967   269.7  1881   311.5  1967   962.4  1946
  112.9  2004   97.1  1893   91.6  1988   78.4  2018   83.3  1907   90.3  1931  106.0  1918  109.6  1950  111.8  1880  131.8  1885  128.7  1872  125.6  1886   296.7  1923   224.2  2006   267.0  1891   310.5  1929   959.6  1876
  112.7  1936   96.4  1866   91.3  1896   78.2  2004   83.1  2000   88.9  1928  105.1  1930  109.5  1903  110.6  1957  130.9  2004  127.3  1877  124.0  1910   296.3  1980   222.7  1877   265.7  2008   308.4  1998   949.3  1966
  110.6  1994   95.5  1883   90.5  1905   78.0  1876   81.5  1898   88.7  1936  103.3  1882  107.4  1948  110.6  1993  130.3  1872  124.8  1992  123.9  1986   294.8  1939   219.6  1867   265.4  1980   302.0  1981   948.2  1866
  110.5  1919   95.4  1881   88.5  1964   76.3  1932   81.1  1986   87.7  1935  101.3  1924  107.4  2014  108.9  1995  130.3  1892  123.2  1969  123.5  1989   293.9  1900   218.8  2001   261.4  2019   299.3  2002   947.2  1930
  110.5  1913   95.2  1974   88.5  1888   75.0  1907   80.3  1903   87.4  1985  100.5  2008  106.0  2008  107.6  1999  129.4  1928  119.6  2019  123.5  1872   292.1  1935   218.0  2008   259.6  1985   298.9  1930   946.5  1958
  110.1  1986   93.8  2007   88.2  2019   74.6  1922   80.1  1931   85.6  1948   98.2  1957  105.4  1900  107.1  1984  128.0  2019  119.5  2012  121.8  2002   291.3  1883   218.0  1924   256.4  1997   296.1  1946   941.1  1916
  109.8  1974   91.3  1941   87.5  2001   74.2  1889   80.0  1889   83.5  1999   97.0  1968  104.2  1962  103.8  1958  127.4  1909  118.0  1996  120.7  2000   288.8  1979   216.9  2012   256.0  1960   294.2  1927   935.5  1999
  109.6  1956   90.7  2001   86.4  1937   73.7  1899   79.9  1993   83.3  1907   96.4  1867  103.9  1985  103.0  1960  124.6  2021  117.5  2015  120.0  1994   287.3  1925   216.9  1878   254.9  1877   294.2  1891   933.3  2007
  109.4  1975   90.5  1935   84.8  1908   73.3  1937   79.6  2015   82.7  1909   96.0  1877  103.0  1971  101.5  1930  122.9  2002  116.9  1931  119.6  1896   285.8  1928   212.9  1963   252.7  1880   292.8  1992   932.8  1886
  108.9  1886   90.4  1879   83.9  1941   73.0  1947   78.9  1865   82.1  2017   95.9  1903  103.0  1897  100.1  1944  122.3  1923  116.8  1974  117.8  2013   285.5  1984   211.1  1908   252.1  1966   292.6  1982   928.8  1875
  106.9  1875   89.4  1933   83.8  1998   72.9  1959   77.4  1951   81.2  1954   95.5  1965  101.8  1930   99.1  1994  122.2  1916  116.0  1930  117.7  1891   283.0  1919   206.4  1872   247.8  1950   291.7  1918   923.0  1880
  105.5  1961   86.7  1957   81.8  1987   72.7  1963   76.3  1958   80.9  1883   95.1  1956  101.4  1960   98.5  1975  121.8  1886  113.9  1895  114.6  1900   281.3  2001   206.0  1916   246.4  1936   290.4  1950   920.4  1928
  104.5  1900   86.5  1876   80.9  2006   71.5  1908   75.6  1943   80.2  1977   94.3  1894  101.0  1910   98.4  1924  120.7  1980  113.4  1882  114.5  1985   271.7  1961   205.7  1964   245.4  1910   289.4  1968   919.8  1974
  104.0  1998   85.1  2000   78.9  1989   69.6  1992   75.5  1945   80.1  1875   94.1  1950  100.9  1966   98.3  1874  119.9  1935  112.8  1982  114.4  1869   271.3  1948   204.1  1994   245.3  1924   287.6  1949   919.3  1939
