Areal values from HadUK-Grid 1km gridded climate data from land surface network
Source: Met Office National Climate Information Centre
Monthly, seasonal and annual total duration of bright sunshine for England
Areal series, starting in 1919
Last updated 01-Jan-2022 10:59
    jan  year    feb  year    mar  year    apr  year    may  year    jun  year    jul  year    aug  year    sep  year    oct  year    nov  year    dec  year     win  year     spr  year     sum  year     aut  year     ann  year
   77.5  1959  120.1  2019  171.7  1929  236.7  2020  299.4  2020  284.9  1957  288.3  2006  269.4  1995  191.7  1959  137.7  1959   93.5  2006   75.4  2001   225.5  2000   692.6  2020   758.8  1976   381.9  1959  1746.7  2003
   75.0  2001  118.1  2008  167.5  2012  229.8  2021  269.7  1989  277.4  1940  270.6  2013  268.0  1947  179.8  1929  133.7  1921   92.7  2005   72.5  2014   224.7  2015   594.4  1948   731.6  1989   380.2  1971  1726.2  1995
   73.7  1952  109.2  1988  165.4  2003  220.6  2015  254.1  2018  268.9  1975  269.3  2018  250.8  1976  179.7  1964  133.6  2003   86.7  1988   67.9  2008   220.8  2019   591.6  1990   696.5  1995   374.0  2003  1719.0  1989
   71.0  2003  108.4  1949  163.5  1933  218.6  1984  249.7  1992  259.2  1925  261.9  1989  235.3  1989  176.1  1928  130.4  2018   85.3  1996   66.6  1962   216.3  2008   557.6  2011   696.5  1975   357.5  1921  1696.2  1959
   69.8  2012  101.6  2018  160.8  1995  218.2  2011  245.4  1990  256.6  1960  261.3  1990  222.9  1975  173.7  1991  130.1  1997   84.8  1973   62.9  2009   215.3  1949   549.7  1929   680.8  2018   353.1  1999  1692.5  1949
   69.4  2000   98.8  1970  158.3  2009  215.9  2007  244.2  1948  250.5  1969  260.9  1955  221.2  1933  171.8  2003  129.7  1919   84.7  1971   60.4  1999   212.4  2018   549.1  2009   679.9  1959   352.6  2018  1691.8  2018
   69.3  2015   96.5  2003  157.3  1948  209.7  1942  240.3  1922  249.3  1976  258.7  1976  217.1  1990  168.8  2015  129.4  1971   84.3  1989   59.2  2005   209.1  2001   548.7  2003   671.1  1949   351.6  1986  1675.4  2020
   67.8  1984   95.7  2000  156.5  2020  207.6  1990  237.6  1956  245.5  1949  255.9  1934  215.2  1983  168.1  1933  125.1  1999   84.2  1977   58.9  1946   205.7  1952   545.7  1995   667.3  2006   349.7  1964  1672.5  1990
   67.6  1991   93.4  2016  155.2  2007  200.3  2010  235.7  1997  243.5  1970  252.8  1935  212.2  1991  166.9  1986  125.0  2008   83.3  2017   57.6  2019   203.1  1963   539.0  1921   665.6  1933   348.6  1929  1648.6  1921
   66.0  1965   91.8  1989  155.1  1967  198.4  1921  235.3  1943  242.1  2018  245.8  1928  211.4  2003  166.1  1971  122.2  1995   82.7  1925   57.2  1967   200.9  2003   537.9  1982   656.9  1996   345.2  2006  1627.1  1929
