Areal values from HadUK-Grid 1km gridded climate data from land surface network
Source: Met Office National Climate Information Centre
Monthly, seasonal and annual number of days in the month with air frost (minimum temperature below zero) for England E and NE
Areal series, starting in 1960
Last updated 01-Jan-2022 10:59
    jan  year    feb  year    mar  year    apr  year    may  year    jun  year    jul  year    aug  year    sep  year    oct  year    nov  year    dec  year     win  year     spr  year     sum  year     aut  year     ann  year
   26.4  1979   27.9  1963   22.1  1962   16.1  2021    5.2  1979    0.6  1962    0.0  1965    0.0  1977    0.7  1986    5.5  1993   15.5  1965   23.7  1981    77.6  1963    29.7  1970     0.6  1962    18.1  1993    89.8  1979
   26.4  1963   24.2  1986   18.5  2013   11.3  1970    3.6  1996    0.3  1991    0.0  2000    0.0  2012    0.7  1974    5.4  1992   14.7  1985   23.3  1962    63.8  1979    27.5  1962     0.3  1991    15.7  1965    86.4  2010
   24.1  1985   22.8  1979   18.3  1970    9.9  1968    2.8  2010    0.3  1975    0.0  1962    0.0  1964    0.5  1979    5.1  1981   14.1  1996   22.9  2010    52.7  2010    26.3  1969     0.3  1975    15.5  1973    86.2  1969
   20.8  1997   22.0  1968   16.9  1969    9.0  1984    2.7  2021    0.2  1974    0.0  1973    0.0  1983    0.4  1972    4.7  1997   13.6  1969   21.7  1961    51.3  1968    26.1  2013     0.2  1974    14.8  1985    84.9  1962
   20.4  1987   20.9  1969   16.6  1987    9.0  1969    2.5  1995    0.1  1971    0.0  1960    0.0  1994    0.3  1964    4.2  1983   12.3  1993   20.6  1976    51.1  1985    24.7  1995     0.1  1977    14.2  1996    82.9  1963
   19.1  1980   20.7  1983   15.7  1995    8.4  1983    2.5  1984    0.1  1989    0.0  1966    0.0  1962    0.3  1995    3.5  1980   12.3  1973   18.2  2001    49.0  1982    22.9  2021     0.1  1971    13.9  1971    82.5  1985
   18.9  1991   19.6  1996   15.3  1965    8.1  1986    2.4  1997    0.1  1978    0.0  1971    0.0  1965    0.2  1993    3.3  1964   12.1  1971   18.1  1964    48.8  1986    22.9  1979     0.1  1989    13.8  1969    78.2  1981
   18.6  2021   19.0  1991   14.2  2006    7.2  1990    2.3  1967    0.1  1977    0.0  1972    0.0  1969    0.2  1988    3.2  1973   11.6  2005   16.7  2009    46.2  1965    20.8  1965     0.1  1978    13.6  1988    77.7  1965
   18.0  1978   18.1  2010   14.1  1985    7.1  1978    2.2  1982    0.1  2015    0.0  2006    0.0  1961    0.2  1987    3.2  2008   11.0  1988   16.5  1995    46.2  1969    20.4  1996     0.1  2015    12.2  1962    76.4  1996
   17.9  2010   17.9  1978   13.2  1976    7.0  2013    2.2  1975    0.1  2001    0.0  2005    0.0  1999    0.1  1975    3.1  2002   10.2  1962   15.9  1982    46.0  1977    20.0  1975     0.1  2001    11.8  1992    76.2  1970
   17.8  1984   17.6  1981   13.0  2018    6.7  1989    2.1  1981    0.1  1969    0.0  2004    0.0  1963    0.1  2012    2.7  2018   10.0  1975   15.5  1968    45.6  1991    19.8  1968     0.1  1969    11.7  2005    75.7  1968
   17.3  1977   17.5  1970   12.8  1979    6.6  1977    2.0  2020    0.0  1973    0.0  2003    0.0  1982    0.1  1976    2.7  2003    9.8  2010   15.4  1969    45.4  1970    19.6  1984     0.1  1973    11.3  2010    75.1  2001
   16.8  2001   17.4  1985   12.5  2001    6.5  1995    2.0  2012    0.0  2005    0.0  2002    0.0  1968    0.1  1991    2.4  1988    9.4  1967   15.3  2008    45.1  1987    18.8  1986     0.0  2005    11.1  1975    70.5  1986
   16.5  1965   17.0  2018   12.1  1980    6.5  1996    1.9  1977    0.0  1987    0.0  2001    0.0  1966    0.1  2007    2.3  1987    9.2  1976   15.1  1992    44.4  2001    18.4  1987     0.0  1987    10.8  1983    70.5  1978
   16.2  1966   17.0  1994   12.0  1975    6.4  1973    1.8  1968    0.0  1985    0.0  2008    0.0  1980    0.1  1969    2.0  1962    8.8  1972   14.9  2003    43.7  1996    18.4  2006     0.0  1965    10.5  1998    70.3  1973
   16.1  1992   16.9  2001   11.2  1971    6.3  2008    1.7  1971    0.0  1967    0.0  1999    0.0  1993    0.1  1983    1.9  1971    8.7  1998   14.7  1960    42.9  1962    18.1  1971     0.0  1964    10.1  1972    69.8  1995
   16.1  1986   16.7  1960   10.9  1964    6.0  1966    1.7  1973    0.0  2009    0.0  1998    0.0  2004    0.1  2020    1.8  1998    8.3  2016   14.6  1978    42.9  2009    18.1  1976     0.0  1985     9.9  1964    69.5  1991
   15.7  1995   15.7  2003   10.7  1986    5.9  2016    1.6  1980    0.0  1996    0.0  1997    0.0  2003    0.1  2005    1.7  1974    8.1  1966   14.6  2017    42.6  1981    17.7  1973     0.0  2012     9.7  1967    67.9  1976
   15.6  1960   15.7  1987   10.3  1996    5.8  1975    1.3  1965    0.0  1981    0.0  1996    0.0  2002    0.1  2003    1.6  2012    7.8  1979   14.5  1996    42.5  1983    17.7  2001     0.0  2009     9.6  1980    67.8  1987
   15.6  1961   15.0  2013   10.1  2010    5.5  2019    1.2  2015    0.0  1998    0.0  2007    0.0  2005    0.0  1977    1.4  2010    7.5  1991   14.3  1973    41.6  2011    17.7  1985     0.0  1967     9.6  1981    67.2  2013
   15.3  1982   13.6  1984    9.9  1988    5.3  1991    1.2  1974    0.0  2020    0.0  2011    0.0  2008    0.0  2018    1.2  2007    7.4  1977   14.2  1967    41.3  2013    17.5  1980     0.0  1996     9.4  1976    65.7  1964
   15.1  2011   13.4  2012    9.6  1973    5.3  1971    1.2  2019    0.0  2004    0.0  2009    0.0  2006    0.0  1971    1.2  1982    7.4  2013   13.5  1999    41.2  1994    16.2  2010     0.0  1981     9.3  2008    64.6  2021
   15.0  1968   13.2  2009    9.3  1963    5.2  1974    1.1  2005    0.0  2019    0.0  2010    0.0  2001    0.0  1990    1.1  1966    7.2  1961   13.0  1965    40.5  1978    15.1  1988     0.0  2000     9.2  1966    63.0  1980
   15.0  2017   13.2  2016    9.0  1993    5.1  1988    1.1  1987    0.0  1964    0.0  1994    0.0  2000    0.0  1962    1.1  2019    6.7  1989   12.6  1993    40.5  1966    15.0  2018     0.0  1983     8.8  1979    62.3  1982
   15.0  2013   13.0  1973    8.5  2003    5.0  2012    0.9  2011    0.0  2011    0.0  2012    0.0  2007    0.0  1963    1.0  1975    6.6  2017   12.5  1963    40.4  1997    14.6  1974     0.0  1998     8.4  2016    62.2  2003
   14.6  1981   11.8  2008    8.3  2005    5.0  2000    0.8  2018    0.0  1997    0.0  2013    0.0  1960    0.0  1973    0.9  1972    6.5  1983   12.5  1991    39.8  1984    14.5  2008     0.0  2020     8.3  1991    61.7  1984
   14.3  2009   11.7  2015    8.3  1974    4.9  2003    0.8  2001    0.0  1993    0.0  2014    0.0  2009    0.0  1982    0.9  1994    6.4  2012   12.1  2014    39.3  2018    14.5  1989     0.0  2004     8.2  2012    60.5  1966
   14.0  2019   11.6  1964    8.2  2020    4.9  1979    0.7  1994    0.0  2016    0.0  2015    0.0  2010    0.0  1989    0.8  1999    6.4  1964   12.0  2007    38.4  2021    14.1  1982     0.0  2019     7.9  1974    59.3  1960
