Areal values from HadUK-Grid 1km gridded climate data from land surface network
Source: Met Office National Climate Information Centre
Monthly, seasonal and annual total precipitation amount for England E and NE
Areal series, starting in 1862
Last updated 01-Jan-2022 10:59
    jan  year    feb  year    mar  year    apr  year    may  year    jun  year    jul  year    aug  year    sep  year    oct  year    nov  year    dec  year     win  year     spr  year     sum  year     aut  year     ann  year
  167.4  1948  141.8  2020  125.4  1981  141.2  2012  128.8  1967  181.3  2007  156.9  1940  172.9  1956  159.1  1976  205.5  1903  152.2  1951  178.1  1978   343.1  1877   279.6  1979   366.5  1912   386.6  2000  1120.1  1872
  137.1  2008  132.6  1900  124.1  1947  138.5  2000  116.1  1932  148.0  1997  141.3  1930  169.9  1917  141.3  1918  167.0  1960  151.1  2000  175.0  1876   335.1  2021   259.6  1983   344.7  1956   364.2  1872  1043.4  2012
  132.0  2021  113.6  1941  120.0  1979  121.6  1998  112.8  1924  141.6  2012  140.5  1880  166.3  2004  135.6  1965  155.3  1892  148.3  2009  156.6  1868   321.2  2016   257.1  1981   338.4  2007   356.4  2019   999.7  2000
  126.2  1939  112.9  1966  114.9  1909  102.8  1993  110.7  1979  130.4  1982  138.9  1888  143.3  1927  133.8  1944  146.2  1865  140.1  1875  152.6  1915   317.2  1915   254.9  1920   326.2  2012   354.4  1903   965.6  1903
  126.1  1960  110.3  1923  105.6  1916  100.7  1882  104.5  2014  129.3  1912  135.0  1895  139.4  1954  131.9  1871  141.9  1880  140.0  1946  147.4  1914   310.3  1900   250.6  1947   320.9  2004   345.7  1935   955.3  1882
  120.5  2016  107.4  1950   93.7  2018  100.3  1983  101.3  1886  126.2  1980  133.7  2009  136.9  1878  127.5  1883  141.5  1907  133.1  1878  147.3  2015   304.8  1869   246.3  1998   317.3  1927   345.7  1944   951.8  2008
  118.9  2014  105.6  2002   93.5  1897   96.5  1920   99.6  1951  116.0  2019  133.1  1988  135.6  1912  127.4  1880  141.2  1906  132.7  1984  130.7  1929   303.9  1960   243.7  2000   311.3  1931   345.1  1880   946.3  1960
  116.6  1895  104.3  1958   93.4  1888   96.1  1877   99.0  2021  115.8  2017  121.0  1922  134.9  1900  121.7  1968  140.5  1896  132.6  1965  128.0  2012   292.3  1916   242.4  1937   303.2  1879   341.6  1960   932.6  1877
  116.5  1928  101.5  1977   93.2  1862   95.1  1986   98.9  1983  108.2  1882  119.6  1915  134.2  1877  119.9  1927  140.5  1976  131.8  1944  123.7  1979   288.3  1979   240.8  1986   293.1  2008   338.2  1976   926.1  1912
  113.1  1984   99.5  1990   92.2  1980   87.8  2001   97.4  1907  107.8  1998  114.1  2007  133.7  1881  117.9  1872  136.1  1870  130.1  1950  120.2  1901   287.0  1995   240.5  1951   285.2  2019   328.0  1875   925.3  2019
  108.8  1956   98.6  1916   91.7  1951   87.1  1931   96.1  2006  105.7  1928  110.7  1879  127.6  1951  116.7  1935  133.3  1885  128.5  2019  118.3  2020   277.9  2014   235.5  1932   284.5  1930   314.7  1954   922.1  1900
  108.5  1945   96.3  2001   91.3  1999   86.6  1966   94.4  1869  104.9  1948  109.7  1931  122.0  1986  114.0  1993  126.3  2004  127.2  1969  116.6  1909   274.1  1980   232.3  1886   281.0  1980   299.7  1965   918.8  1954
  107.6  1995   96.0  1933   90.9  1913   84.4  1871   91.9  1878  100.9  1911  109.5  1872  117.9  1891  112.4  2000  124.8  1882  126.8  1963  116.1  1934   273.5  1939   230.4  1969   279.9  1881   295.8  1984   910.0  1930
