Areal values from HadUK-Grid 1km gridded climate data from land surface network
Source: Met Office National Climate Information Centre
Monthly, seasonal and annual total duration of bright sunshine for England E and NE
Areal series, starting in 1919
Last updated 01-Jan-2022 10:59
    jan  year    feb  year    mar  year    apr  year    may  year    jun  year    jul  year    aug  year    sep  year    oct  year    nov  year    dec  year     win  year     spr  year     sum  year     aut  year     ann  year
   81.9  1959  122.6  2019  176.0  2012  235.1  2021  276.1  2020  282.2  1940  291.9  2006  250.9  1995  184.7  1986  134.2  1931  100.0  2005   77.3  2014   247.9  2015   653.3  2020   728.0  1976   384.5  1986  1725.3  2003
   77.5  2000  112.9  2008  168.2  2003  224.2  2015  261.6  2018  271.9  1957  257.6  1976  240.6  1947  167.8  1991  133.4  1981   94.3  2006   65.2  1999   246.4  2019   558.9  2011   694.2  1989   357.6  2003  1669.1  1989
   76.2  2015  107.8  1988  161.8  2009  223.6  2020  253.6  1989  248.4  1960  252.9  1955  228.2  1975  165.2  1959  132.4  1959   92.4  1947   65.2  2017   239.4  2000   550.0  2009   655.9  1975   344.9  1981  1658.4  1995
   73.7  1991  106.1  1949  157.4  1929  216.8  2011  249.5  2001  245.0  1975  247.3  1989  228.1  1976  163.0  1929  129.1  2003   89.6  1973   65.1  2009   220.5  2001   548.1  2003   653.9  1995   343.8  2006  1640.8  2018
   73.3  2012  103.0  2016  153.9  1995  208.1  1942  233.8  1992  243.0  1970  246.2  1935  219.1  1989  162.7  2003  126.9  2008   89.3  1988   64.6  2001   218.2  2020   543.5  1990   645.0  1933   343.8  1959  1622.1  2019
   72.9  2007   99.8  2003  153.6  2020  200.2  1984  230.3  2009  242.3  1976  246.1  2018  209.4  1990  161.9  2019  126.2  1995   88.5  2017   63.1  2004   212.0  1989   539.3  2015   637.9  2018   341.0  1921  1607.8  2015
   72.7  2001   98.7  1943  152.7  1933  200.2  2007  227.8  1956  238.2  1969  242.3  2013  208.7  2003  161.8  1979  125.6  2018   87.3  2013   62.2  1962   210.6  2007   532.2  1982   630.7  2006   340.7  1971  1601.3  2006
   70.2  2019   98.6  1970  147.8  1967  196.3  1990  225.7  1921  235.5  1949  240.4  1934  206.4  1933  160.0  2006  123.5  1986   84.8  1996   61.2  2006   207.9  2018   526.5  2019   625.8  1959   336.3  1929  1581.6  1959
   67.3  2020   97.6  1999  145.6  1982  192.4  2003  223.1  1982  232.8  1950  236.0  1990  202.5  2016  159.7  1964  122.0  1921   84.4  1985   61.2  2003   202.7  2008   526.4  1948   611.9  1996   335.1  2018  1578.2  2009
   66.5  1952   96.7  2000  141.0  2019  190.2  2002  222.3  1943  228.1  1933  234.9  1928  199.5  2007  159.0  2015  119.9  1955   82.2  2016   60.7  2019   201.6  1949   518.5  2017   607.3  1949   334.8  2007  1576.3  2020
   66.1  1962   96.7  1973  140.9  1948  189.3  2019  221.6  1971  227.8  1989  228.2  2014  196.8  2019  158.5  1954  117.7  1971   80.0  1977   59.2  1967   201.0  1999   517.6  1995   604.9  1935   332.6  2012  1555.4  1955
   65.3  1932   96.4  1989  137.5  2007  183.4  1968  220.1  1980  223.3  1996  219.6  1995  196.1  1991  157.4  1997  116.9  2007   76.9  1930   59.2  2010   199.9  2012   512.2  2021   601.0  2003   327.9  1979  1545.5  2011
   65.2  1967   95.5  1934  137.0  1931  179.4  1921  217.8  1997  223.2  2018  216.4  1959  196.1  1959  157.4  1999  116.7  1930   76.3  1989   58.1  2013   199.6  1995   510.7  1921   599.0  2013   326.4  1999  1537.2  1949
   64.5  1931   94.4  2015  135.4  2017  177.4  2017  217.1  2005  220.0  2010  213.2  1999  192.2  1926  157.3  1987  114.5  1926   76.3  1986   57.9  2012   198.7  2004   508.2  2010   596.7  1940   326.0  2016  1536.2  1990
