Areal values from HadUK-Grid 1km gridded climate data from land surface network
Source: Met Office National Climate Information Centre
Monthly, seasonal and annual number of days in the month with air frost (minimum temperature below zero) for England N
Areal series, starting in 1960
Last updated 01-Jan-2022 10:59
    jan  year    feb  year    mar  year    apr  year    may  year    jun  year    jul  year    aug  year    sep  year    oct  year    nov  year    dec  year     win  year     spr  year     sum  year     aut  year     ann  year
   26.9  1963   27.7  1963   22.1  1962   15.0  2021    4.9  1979    0.6  1962    0.0  1965    0.0  1977    0.8  1986    6.1  1993   15.8  1965   23.7  1981    75.9  1963    28.6  1970     0.6  1962    19.7  1993    89.9  1979
   26.9  1979   24.6  1986   19.9  2013   10.6  1970    3.8  1996    0.4  1991    0.0  2000    0.0  1964    0.6  1974    6.1  1992   15.1  1985   23.0  2010    64.8  1979    28.5  2013     0.4  1991    15.9  1965    89.4  2010
   24.8  1985   22.7  1968   18.1  1969   10.2  1968    2.7  2010    0.3  1975    0.0  1960    0.0  2012    0.5  1979    5.1  1981   14.4  1996   21.4  1961    54.6  2010    27.5  1969     0.3  1975    15.2  1985    88.0  1969
   21.1  1987   22.4  1979   18.0  1970    8.9  1969    2.5  1984    0.1  1989    0.0  1962    0.0  1962    0.4  1972    4.6  1997   13.3  1993   21.3  1962    50.7  1968    27.2  1962     0.1  1989    14.9  1973    83.6  1963
   20.4  1997   21.0  1983   16.4  1987    8.1  1984    2.5  2021    0.1  1974    0.0  1973    0.0  1983    0.3  1964    4.3  1983   13.3  1969   20.0  1976    50.2  1985    22.8  1979     0.1  1974    14.4  1996    82.0  1985
   19.0  1980   20.9  1969   14.9  1965    8.1  1986    2.5  1995    0.1  1971    0.0  1971    0.0  1961    0.2  1995    3.6  1973   12.2  2005   18.6  2001    49.2  1986    22.7  1995     0.1  1977    13.6  1971    81.0  1962
   18.6  1991   20.2  1996   14.6  1995    8.0  1983    2.3  1967    0.1  1977    0.0  1966    0.0  1993    0.2  1988    3.4  2003   12.1  1971   17.4  1964    48.8  1982    22.2  2021     0.1  1971    13.6  1988    78.0  1996
   18.5  2021   19.6  1991   14.4  2006    7.9  2013    2.2  1982    0.1  1978    0.0  1972    0.0  1994    0.2  1993    3.0  2002   11.3  1973   17.2  2009    47.4  1991    20.6  1975     0.1  1978    13.4  1969    77.5  1981
   17.8  2010   19.6  2010   13.7  1985    7.0  1978    2.2  1997    0.1  2001    0.0  1996    0.0  1965    0.2  1987    3.0  2018   10.7  1988   16.8  1995    46.3  1970    20.3  1965     0.1  2001    12.3  2005    76.7  1965
   17.6  1977   18.0  1981   13.7  1976    6.8  1989    2.1  1975    0.1  2015    0.0  1969    0.0  1969    0.2  2012    3.0  2008   10.2  2010   16.5  1969    46.2  1969    20.1  1996     0.1  2015    12.0  2010    76.7  1968
