Areal values from HadUK-Grid 1km gridded climate data from land surface network
Source: Met Office National Climate Information Centre
Monthly, seasonal and annual total duration of bright sunshine for England N
Areal series, starting in 1919
Last updated 01-Jan-2022 10:59
    jan  year    feb  year    mar  year    apr  year    may  year    jun  year    jul  year    aug  year    sep  year    oct  year    nov  year    dec  year     win  year     spr  year     sum  year     aut  year     ann  year
   76.6  1959  113.9  2019  166.6  2003  235.6  2021  272.6  2020  284.2  1940  285.4  2006  252.1  1947  174.3  1986  125.2  2003   94.5  2005   65.8  2001   219.2  2019   641.9  2020   708.3  1976   358.1  1986  1668.3  2003
   69.0  2001  111.5  2008  164.4  2012  225.0  2020  263.0  2018  277.3  1957  260.9  1955  251.8  1995  168.1  1991  122.8  1931   85.6  1988   65.2  2014   211.9  2015   540.6  2003   670.4  1989   337.0  2003  1608.5  1995
   67.7  2000   98.7  1988  160.2  1929  216.9  2015  249.5  1989  249.9  1960  250.2  1976  229.3  1976  165.9  1959  122.5  1959   85.0  1947   58.4  2010   211.7  2000   539.5  2011   653.3  1995   330.4  1971  1600.0  1989
   65.9  2012   98.3  2003  151.1  2009  215.2  2011  234.2  2001  249.2  1975  248.5  2013  220.9  1975  157.2  1933  122.2  1981   84.4  2006   58.3  2004   206.9  2001   531.2  1948   644.0  1975   330.2  1959  1585.4  2018
   65.2  1991   96.9  2004  144.4  2020  203.7  2007  232.4  1992  239.4  1970  246.0  1989  204.0  1989  156.3  2015  117.0  2008   82.7  1973   56.9  2003   195.5  2004   526.8  2009   628.7  2018   325.7  2006  1549.2  2006
   64.1  2015   95.6  1949  140.4  1948  202.8  1942  230.3  1935  239.2  1949  245.4  2018  198.5  2003  154.5  2006  114.4  2018   82.3  2013   56.9  2009   194.4  2008   521.3  1982   613.3  2006   321.3  1981  1539.5  2019
   64.0  2007   94.9  1970  139.7  1933  200.5  1984  228.4  1948  235.9  1969  235.6  1990  197.1  1983  154.0  1929  113.5  1995   81.8  2017   56.8  1967   193.0  2018   517.4  1990   606.7  1933   318.3  1999  1529.7  1955
   61.3  2003   93.0  2016  138.8  1995  193.0  2003  226.7  1956  230.4  2018  232.7  1934  193.5  1933  152.8  1999  113.1  1971   78.3  1985   56.2  2008   192.7  2003   515.7  1929   606.5  1959   317.6  1921  1521.5  1959
   60.6  2019   88.7  2000  136.1  1982  188.0  2019  225.6  1980  228.8  1976  231.5  2014  189.8  1959  152.0  2019  112.5  1986   76.8  1996   56.2  1962   191.8  2007   509.3  2017   602.8  1949   316.2  2007  1512.3  2020
   60.4  1967   88.3  1989  135.4  1955  185.6  1990  220.4  1943  221.6  1950  229.6  1935  189.7  2007  151.7  1921  111.7  2007   76.7  2016   55.3  1999   189.8  1989   506.7  2021   599.5  1955   313.4  2010  1505.2  1949
   58.8  1952   88.2  2001  135.1  2007  184.1  2002  218.3  1959  221.0  1925  226.1  1984  187.9  1984  151.7  1987  111.5  1955   75.1  2010   55.1  2005   186.6  1963   505.2  2015   595.6  2013   311.9  1988  1501.9  1975
   58.0  1965   87.0  2018  134.5  1967  178.9  1921  217.7  1982  220.5  1989  217.6  1928  186.8  2016  150.8  2003  110.0  1997   73.1  1977   54.8  2017   184.4  2020   503.6  2019   595.2  1996   311.8  2016  1497.1  2015
   57.7  1999   86.7  1973  132.9  2011  176.0  1968  217.5  1977  218.3  1996  211.2  1971  186.2  1990  150.4  1979  108.3  2010   72.6  1925   54.1  2012   183.6  1999   503.1  2007   592.4  1984   307.4  2018  1495.7  2007
   57.5  1962   86.5  1999  132.5  1931  173.3  1945  217.3  1971  216.8  1921  209.7  1995  185.9  1997  150.3  1971  107.6  1921   71.9  1975   51.3  2019   181.8  1949   498.0  1995   587.3  1940   306.4  1964  1482.2  2011
   57.0  2017   83.7  1943  130.1  2017  170.5  2010  217.1  1921  216.0  2010  208.6  1999  184.8  2005  150.2  2004  107.3  1956   71.3  1986   51.3  2006   179.6  2005   495.7  1956   577.8  1935   306.1  2012  1478.8  2009
   56.7  1963   82.6  2015  128.8  1953  170.0  1995  216.5  1949  215.9  1933  206.8  1997  184.4  2019  149.5  1964  106.7  1919   68.2  1989   50.4  1976   178.2  1952   491.7  2010   574.3  2003   304.3  1979  1478.4  2010
   56.5  1932   81.3  1946  126.9  2014  169.6  1951  216.3  2005  213.5  1967  205.5  1959  182.7  1991  148.9  2020  103.8  1926   67.1  1969   49.8  2000   178.1  2002   489.6  1921   571.7  2014   304.1  1929  1467.0  2021
   56.3  1989   80.5  1957  125.2  2008  168.7  1936  216.2  2009  211.4  1939  204.4  1943  182.3  1926  148.1  1981  102.6  1999   67.1  2021   49.7  2013   175.0  1995   489.3  1943   567.6  1969   300.9  1947  1467.0  1921
   55.4  2011   79.8  1934  123.4  1924  168.6  2006  214.5  1997  211.2  1959  203.6  1996  180.1  1935  147.5  1963  102.6  1998   66.9  1971   48.2  1994   174.4  1967   482.0  1953   564.2  1934   298.5  1955  1452.1  2013
   55.3  2010   79.1  2020  123.3  2019  167.7  2017  212.3  1990  208.1  2003  197.6  1983  179.9  2014  145.6  1940  102.5  2001   66.7  1930   47.5  2016   173.5  1988   481.5  1989   551.2  1983   296.6  1975  1450.5  1990
   54.5  1994   78.9  2013  120.7  2010  167.5  1982  211.5  2017  201.9  1922  197.5  1994  179.1  1955  144.9  1954  102.5  2012   66.5  1952   47.1  1973   172.6  2012   481.2  1955   550.3  1947   296.6  1991  1449.6  2017
