Areal values from HadUK-Grid 1km gridded climate data from land surface network
Source: Met Office National Climate Information Centre
Monthly, seasonal and annual number of days in the month with air frost (minimum temperature below zero) for England NW and N Wales
Areal series, starting in 1960
Last updated 01-Jan-2022 10:59
    jan  year    feb  year    mar  year    apr  year    may  year    jun  year    jul  year    aug  year    sep  year    oct  year    nov  year    dec  year     win  year     spr  year     sum  year     aut  year     ann  year
   27.8  1963   27.0  1963   22.1  1962   12.9  2021    4.3  1996    0.6  1991    0.0  1965    0.0  1977    1.1  1986    6.8  1993   14.1  1965   23.7  2010    72.1  1963    31.0  2013     0.6  1991    20.5  1993    94.1  2010
   25.7  1979   24.8  1986   20.9  2013   10.1  1968    4.1  1979    0.3  1962    0.0  1960    0.0  1976    0.5  1979    5.6  1992   13.6  1985   22.6  1981    61.5  1979    26.8  1962     0.3  1962    14.2  1965    84.4  1979
   25.1  1985   22.3  1968   16.7  1969    9.0  1970    2.8  1982    0.2  1975    0.0  1973    0.0  1962    0.5  1974    4.5  1997   13.5  1993   20.0  1961    55.4  2010    26.5  1969     0.2  1975    13.8  1985    83.6  1969
   20.9  1987   20.9  1979   16.1  1970    9.0  2013    2.7  2021    0.2  1969    0.0  2001    0.0  1964    0.4  1972    4.4  2003   12.5  1996   18.2  1976    46.9  1986    25.1  1970     0.2  1977    13.2  1988    83.3  1963
   18.8  1997   20.4  2010   14.8  1987    8.6  1969    2.6  1984    0.1  1977    0.0  1971    0.0  1993    0.3  1964    4.0  1981   11.9  2005   17.6  2001    46.9  1991    21.8  2021     0.2  1969    13.0  2010    76.3  1996
   18.5  1980   20.0  1996   13.4  1976    7.7  1986    2.4  1995    0.1  1971    0.0  1962    0.0  1961    0.2  1969    3.9  1983   11.4  1969   17.3  1962    46.3  1982    21.2  1979     0.1  1971    12.6  1996    76.2  1985
   17.8  2010   19.9  1983   13.2  2006    7.1  1978    2.4  2010    0.1  1989    0.0  1984    0.0  1971    0.2  1988    3.5  1973   10.7  1971   17.2  2009    45.7  1968    20.5  1975     0.1  1973    12.3  1973    73.4  1968
   17.0  2021   19.5  1991   12.8  1965    6.7  1983    2.1  1975    0.1  1973    0.0  1996    0.0  1983    0.2  2007    3.3  2018   10.4  2010   17.0  1969    45.7  1985    19.4  1968     0.1  1989    12.0  2005    72.3  2013
   16.6  1991   19.4  1969   12.6  1985    6.6  1984    2.0  1967    0.1  2011    0.0  1986    0.0  1999    0.2  1987    2.7  1988   10.2  1988   16.7  1995    45.5  1996    19.2  2010     0.1  2011    11.8  1971    72.0  1962
   16.3  1977   17.6  1981   12.5  2018    6.6  1966    1.9  2020    0.1  1985    0.0  1964    0.0  1966    0.2  2012    2.7  2002   10.0  1967   16.5  2008    44.6  1970    18.6  1965     0.1  2001    11.7  1969    70.6  1965
