Areal values from HadUK-Grid 1km gridded climate data from land surface network
Source: Met Office National Climate Information Centre
Monthly, seasonal and annual total duration of bright sunshine for England NW and N Wales
Areal series, starting in 1919
Last updated 01-Jan-2022 10:59
    jan  year    feb  year    mar  year    apr  year    may  year    jun  year    jul  year    aug  year    sep  year    oct  year    nov  year    dec  year     win  year     spr  year     sum  year     aut  year     ann  year
   70.5  1959  106.9  2008  185.9  1929  237.6  2021  271.9  2020  288.4  1940  289.1  1955  271.4  1947  177.2  1959  115.0  2003   82.1  1925   66.4  2001   219.1  1963   634.6  2020   684.6  1976   333.3  1959  1574.6  2003
   68.2  2001  104.3  2019  166.8  2003  226.5  2020  255.5  2018  283.8  1957  267.6  2006  255.9  1995  170.2  1933  114.7  1959   80.6  1988   57.0  1962   199.0  2003   580.7  1929   668.4  1995   326.1  1971  1572.7  1995
   66.9  1963  100.6  2004  154.0  1948  211.2  2011  254.7  1948  259.5  1975  267.0  2013  243.0  1976  167.2  1991  114.1  1965   78.8  2005   55.1  2008   185.9  2008   567.8  1948   646.1  1989   325.7  1986  1571.7  1955
   65.5  2003   95.3  1986  149.4  1955  210.8  2007  248.1  1935  257.6  2018  249.9  1984  211.9  1955  160.5  2015  113.0  1920   74.3  2010   51.2  1996   184.3  2001   530.2  2003   644.0  1955   312.8  1975  1555.5  1975
   58.1  1991   95.2  1963  148.6  2012  210.2  2015  246.2  1989  256.2  1925  248.5  1990  208.0  1983  160.2  1986  112.5  2010   71.2  1965   50.6  1961   182.2  2004   521.9  2011   639.2  2018   312.7  2010  1535.3  1949
   56.3  1933   94.4  2003  141.8  2011  205.3  1984  244.6  1977  253.2  1949  246.8  2018  203.7  1975  155.1  1971  112.0  1931   70.1  1975   50.4  1967   176.5  1949   521.1  2007   628.6  1975   310.8  1999  1534.2  2018
   56.3  1940   93.6  2018  136.2  2020  199.0  1942  239.5  1992  250.6  1960  245.1  1989  192.0  1984  153.4  1921  110.3  1971   69.3  2006   50.2  1960   175.4  2019   518.0  1956   623.8  1949   306.8  2003  1531.0  1989
   55.3  2010   88.9  1970  133.6  1924  192.1  2003  237.0  1980  239.2  1969  236.8  2014  189.0  2005  148.6  2006  110.1  1997   68.2  1985   50.2  2004   169.9  2006   512.4  2021   606.7  1984   305.2  2006  1526.4  1929
   55.3  1982   88.1  1975  133.6  1953  185.7  1921  234.5  1975  234.6  1970  226.0  1976  189.0  1989  147.7  1929  107.1  1922   68.1  2016   50.1  1948   169.0  2018   509.7  1953   598.7  2013   305.0  1921  1513.8  1959
   55.2  1987   87.7  1949  133.3  2007  185.2  1954  232.4  1929  231.2  1939  225.7  1934  185.6  1997  147.4  2020  106.9  1975   67.9  1947   49.3  1970   168.9  1986   503.1  1982   595.5  1959   300.3  1964  1475.3  2006
