Areal values from HadUK-Grid 1km gridded climate data from land surface network
Source: Met Office National Climate Information Centre
Monthly, seasonal and annual number of days in the month with air frost (minimum temperature below zero) for England S
Areal series, starting in 1960
Last updated 01-Jan-2022 10:59
    jan  year    feb  year    mar  year    apr  year    may  year    jun  year    jul  year    aug  year    sep  year    oct  year    nov  year    dec  year     win  year     spr  year     sum  year     aut  year     ann  year
   29.1  1963   26.2  1963   20.5  1962   11.6  2021    4.0  1979    0.7  1962    0.0  1965    0.0  1964    0.5  1969    5.0  1997   13.3  1988   24.0  2010    75.0  1963    25.7  2013     0.7  1962    15.0  1988    82.7  1963
   25.8  1979   24.3  1986   17.1  2013    8.9  1968    2.8  1996    0.1  1991    0.0  1961    0.0  1960    0.2  1986    4.4  1993   12.3  1985   19.9  1981    57.9  1979    23.3  1962     0.1  1991    14.8  1993    80.5  2010
   23.6  1985   20.2  1979   15.4  1970    8.1  2013    1.6  1982    0.0  1989    0.0  1960    0.0  1980    0.2  1975    3.9  2003   12.1  1965   19.7  1962    47.3  1985    23.0  1970     0.0  1989    12.5  1985    76.8  1979
   19.9  1987   19.2  1991   14.8  1987    7.7  1970    1.5  1967    0.0  1975    0.0  1990    0.0  1972    0.1  2003    3.3  1992   11.4  1996   17.9  1976    46.0  2010    19.0  1969     0.0  1975    12.5  1965    72.4  1962
   18.3  2010   19.1  1968   12.7  1969    7.0  1984    1.4  2021    0.0  2001    0.0  1962    0.0  1962    0.0  2018    3.0  1983   11.2  2005   17.9  1961    45.1  1965    17.1  1996     0.0  2001    11.8  2010    71.2  1985
   18.1  1980   18.6  1983   12.5  1985    6.4  1978    1.3  1981    0.0  1961    0.0  2000    0.0  2001    0.0  1974    2.4  2008   10.4  1993   17.1  2001    43.7  1968    16.7  2021     0.0  1961    11.8  1973    68.8  1996
   17.9  1997   18.6  1969   12.1  1995    6.2  1969    1.3  2020    0.0  1969    0.0  2004    0.0  2005    0.0  1987    2.3  2018   10.4  1971   16.6  1963    42.1  1986    16.4  1995     0.0  1969    11.4  1996    66.3  1969
   15.7  2021   18.2  1981   11.8  1976    6.2  1990    1.2  1971    0.0  1977    0.0  2003    0.0  2004    0.0  1972    2.2  1964    9.7  1973   16.1  1964    41.1  2009    16.3  1979     0.0  1977    11.2  2005    63.9  1965
   15.1  2009   18.2  1996   11.4  1965    6.2  1977    1.2  1962    0.0  1967    0.0  2002    0.0  2003    0.0  1979    2.2  2010    9.6  2010   15.0  1995    41.0  1991    16.1  1976     0.0  1964    11.1  1971    63.5  1968
   15.1  1966   15.4  1978   11.3  2006    6.0  1975    1.2  2010    0.0  2011    0.0  2001    0.0  2002    0.0  1988    2.1  1973    8.7  1962   14.3  1996    40.9  1996    15.4  1987     0.0  1967     9.7  1962    63.4  1970
