Areal values from HadUK-Grid 1km gridded climate data from land surface network
Source: Met Office National Climate Information Centre
Monthly, seasonal and annual total precipitation amount for England S
Areal series, starting in 1862
Last updated 01-Jan-2022 10:59
    jan  year    feb  year    mar  year    apr  year    may  year    jun  year    jul  year    aug  year    sep  year    oct  year    nov  year    dec  year     win  year     spr  year     sum  year     aut  year     ann  year
  167.8  2014  136.5  2020  152.7  1947  137.1  2012  123.0  1878  137.9  2012  142.4  1875  181.2  1912  152.7  1918  177.2  1903  185.7  1940  182.7  1914   413.6  2014   275.4  1979   369.2  1879   418.2  2000  1106.3  1872
  142.3  1939  132.8  1923  126.2  1981  134.8  2000  119.5  2007  130.2  1879  138.6  1888  142.3  1917  144.7  1866  175.7  1865  184.8  1929  175.1  1876   388.6  1915   269.5  1981   364.1  1912   407.5  1960  1047.8  1960
  142.3  1988  126.3  1990  112.9  1914  119.2  1998  119.3  1967  123.6  2007  134.3  1936  136.7  1879  144.0  1896  173.5  1960  163.5  1970  169.6  1934   369.2  1990   255.5  1947   327.7  2012   355.8  1875  1046.5  2012
  142.1  1995  125.9  2014  109.9  1979  103.2  1920  118.0  1932  119.9  1997  132.0  1880  135.7  1878  137.5  1974  170.5  1891  153.9  1951  163.1  1929   360.5  1877   253.3  1983   297.9  2007   354.3  1976  1038.1  2000
  139.5  1943  124.5  1950  109.2  2018  101.6  1983  114.7  1869  110.1  1998  121.1  2007  129.1  1891  136.2  1871  162.9  2000  153.7  1926  162.7  1911   344.0  1995   250.8  1862   285.2  1917   349.3  1935   992.4  1903
  136.2  1948  122.8  1916  107.8  1862   98.7  1882  112.0  1924  107.4  1982  118.3  1915  125.1  1881  135.4  1876  160.3  1882  152.9  2009  160.7  1915   327.7  1869   246.9  2000   284.2  1903   344.6  1882   977.7  1882
  130.7  1877  121.4  1977  106.6  1919   97.9  1966  108.3  2021  105.9  1958  115.3  2009  123.4  1946  132.4  1976  159.8  1987  150.9  2002  158.1  1868   322.3  1916   244.9  1951   276.8  1931   339.7  2019   972.5  1912
  130.2  1872  121.0  1937  106.5  1912   95.0  1935  108.2  1969  105.2  1980  114.9  1920  122.2  2004  129.9  1927  154.3  1949  147.9  2000  150.0  1959   321.5  2020   240.3  1932   276.6  1958   339.1  1974   959.3  2014
  125.7  1984  120.4  1900  104.9  2001   92.1  1871  105.7  1983  104.9  1971  111.9  2012  117.8  1865  127.4  1968  150.9  1880  146.7  1954  147.4  1978   318.5  1912   237.3  1937   272.6  1927   337.4  1885   951.3  1924
  122.3  1937  114.8  1915  101.9  1916   89.8  1961  105.1  1886  104.0  2019  108.5  1872  114.9  1992  124.4  1981  148.5  1875  139.5  1939  142.6  2012   317.2  1937   236.1  2018   272.4  1875   327.4  1880   948.2  1951
