Areal values from HadUK-Grid 1km gridded climate data from land surface network
Source: Met Office National Climate Information Centre
Monthly, seasonal and annual total duration of bright sunshine for England S
Areal series, starting in 1919
Last updated 01-Jan-2022 10:59
    jan  year    feb  year    mar  year    apr  year    may  year    jun  year    jul  year    aug  year    sep  year    oct  year    nov  year    dec  year     win  year     spr  year     sum  year     aut  year     ann  year
   81.6  1952  123.3  2019  177.7  1929  242.9  2020  313.7  2020  289.0  1957  289.9  2006  278.8  1995  205.4  1959  147.6  1921   98.4  2006   80.5  2001   233.0  1949   719.4  2020   785.5  1976   409.3  1959  1791.7  1949
   78.1  2001  121.6  2008  176.1  1933  228.3  1984  280.4  1989  279.4  1925  282.3  2013  276.4  1947  195.7  1964  145.7  1959   94.1  1971   76.3  2014   232.9  2000   630.8  1990   763.9  1989   406.6  1971  1789.9  1990
   78.0  1959  115.2  1949  172.5  1995  226.7  2021  262.9  1990  279.3  1975  281.9  2018  262.2  1976  195.5  1928  141.9  1919   93.1  1923   74.0  2008   231.4  2015   627.8  1948   724.2  1975   393.5  2003  1788.6  1959
   76.2  2003  114.7  1988  169.1  2012  222.5  2015  261.6  1922  273.8  1940  274.9  1990  251.9  1989  193.5  1929  140.6  1997   92.9  1989   72.1  1962   227.9  2008   570.9  1995   719.4  1995   378.6  1921  1788.5  1995
   75.6  1984  109.2  2018  166.3  1948  222.4  2007  258.8  1992  260.1  1960  270.3  1989  235.8  1933  183.0  2003  138.9  2018   91.7  2005   66.4  1946   222.7  2018   568.0  1997   718.7  1959   376.5  2018  1788.1  2003
   72.1  2015  102.1  1998  166.0  1967  219.8  2011  252.5  1948  260.1  1976  268.2  1934  233.4  1990  176.7  1991  138.0  1971   90.0  1977   66.1  2009   221.7  2019   567.7  1929   708.4  2018   372.7  1964  1782.0  1989
   71.9  2012  100.9  1970  165.8  2007  219.3  1990  249.3  2018  259.3  1962  265.0  1935  231.0  1998  175.5  2015  138.0  2003   89.8  1996   64.7  1929   220.3  1952   567.1  2011   707.2  1949   372.2  1929  1761.6  2020
   71.1  1940   99.4  2000  164.7  2003  216.0  2010  246.9  1997  258.3  1969  263.2  1976  228.0  1923  174.5  1971  136.9  1999   88.1  1925   63.5  1961   213.2  2014   565.2  1921   696.7  1933   371.5  1999  1748.0  2018
   70.3  2000   97.1  1934  162.8  2020  213.4  1942  243.4  1956  254.0  1996  260.9  1955  227.9  1991  174.3  2020  129.3  2008   87.2  1988   63.1  1999   211.9  1963   561.0  2009   695.9  2006   370.2  1928  1744.7  1921
   70.2  1965   95.6  2003  162.1  2009  209.0  1948  243.2  1943  251.7  1950  260.8  1959  224.8  1983  173.9  1933  129.3  2011   85.9  1973   61.3  2005   210.3  2001   553.1  2003   689.6  1996   363.0  1997  1725.7  1929
   70.1  1994   94.7  2014  160.0  1938  208.8  1921  237.7  1919  250.2  2010  260.8  1928  223.9  1975  173.8  1940  126.9  1995   84.1  2017   61.0  2019   206.3  1998   552.3  1956   670.3  2014   355.5  2006  1721.6  1933
   68.9  1991   94.3  1939  159.8  1924  200.5  1946  235.9  1929  248.8  1949  256.6  1921  223.0  2005  170.8  2019  126.6  1994   83.5  2016   59.4  1952   205.8  2012   552.1  2007   664.2  1935   353.0  1923  1683.8  2014
   68.5  1980   93.7  1989  157.5  1955  197.2  2002  232.9  1921  248.2  2018  252.1  2014  222.2  2016  168.8  1921  126.4  1922   82.3  1985   59.2  1984   205.2  2003   546.9  1943   663.3  2013   352.1  1996  1655.7  2019
