Areal values from HadUK-Grid 1km gridded climate data from land surface network
Source: Met Office National Climate Information Centre
Monthly, seasonal and annual number of days in the month with air frost (minimum temperature below zero) for England SE and Central S
Areal series, starting in 1960
Last updated 01-Jan-2022 10:59
    jan  year    feb  year    mar  year    apr  year    may  year    jun  year    jul  year    aug  year    sep  year    oct  year    nov  year    dec  year     win  year     spr  year     sum  year     aut  year     ann  year
   29.5  1963   26.3  1963   19.8  1962   11.9  2021    3.9  1979    0.8  1962    0.0  1960    0.0  1964    0.2  2003    5.1  1997   13.9  1988   24.8  2010    76.6  1963    23.7  2013     0.8  1962    15.5  1993    84.3  1963
   25.5  1979   24.3  1986   15.7  2013    9.4  1968    2.1  1996    0.1  1991    0.0  2006    0.0  1960    0.2  1969    4.2  1992   13.4  1985   20.8  1962    55.7  1979    23.3  1970     0.1  1991    15.0  1988    82.0  2010
   23.2  1985   19.4  1991   15.3  1970    8.0  1970    1.9  2021    0.0  2001    0.0  1993    0.0  2007    0.0  2018    4.0  2003   12.5  1965   18.7  2001    48.2  1985    22.5  1962     0.0  2001    13.8  1985    75.1  1979
   20.2  1987   18.9  1979   15.0  1987    7.7  2013    1.7  1982    0.0  1975    0.0  1994    0.0  1994    0.0  1962    3.7  1993   12.3  1996   18.3  1981    46.6  2010    18.1  1969     0.0  1975    13.0  1973    74.1  1962
   19.6  2010   18.8  1983   13.2  1985    7.4  1977    1.7  1967    0.0  1989    0.0  1995    0.0  1995    0.0  1974    2.8  2010   11.8  2005   17.9  1961    45.3  1965    17.8  2021     0.0  1989    12.9  1965    73.9  1985
   18.6  1980   18.6  1981   12.6  1973    7.0  1984    1.5  1962    0.0  1969    0.0  1996    0.0  1996    0.0  1987    2.5  1983   11.7  1993   17.7  1976    45.0  1968    16.7  1996     0.0  1969    12.7  2010    66.1  1996
   17.7  1997   18.4  1968   12.1  1995    6.6  1969    1.4  2010    0.0  1973    0.0  1997    0.0  1997    0.0  1972    2.4  1964   11.2  1973   17.4  1963    42.7  2009    16.5  1985     0.0  1973    12.4  1996    65.6  1969
   16.8  2017   18.2  1969   11.6  2006    6.4  1975    1.4  1981    0.0  2005    0.0  1998    0.0  1998    0.0  1988    2.4  2008   10.4  1971   15.5  1964    41.6  1987    16.2  1995     0.0  2005    11.8  2005    64.6  1965
   16.0  2009   18.1  1996   11.5  1969    5.9  1978    1.2  1971    0.0  1972    0.0  1999    0.0  1999    0.0  1986    2.0  2018   10.0  2010   15.1  2009    41.5  1986    16.1  1976     0.0  1964    11.5  1971    63.7  1968
   15.5  2021   15.9  2018   11.3  1965    5.7  2008    1.1  2020    0.0  1998    0.0  2000    0.0  2000    0.0  1990    1.9  1980    9.0  1969   14.3  2005    40.0  1991    16.0  1973     0.0  1972    10.0  1980    63.4  1973
   15.4  1966   15.5  1985   11.2  1976    5.6  1986    1.1  1961    0.0  1999    0.0  2001    0.0  2001    0.0  1994    1.8  1973    8.6  1972   14.3  2008    39.4  2011    15.8  1979     0.0  1997     9.6  1962    63.0  1970
   14.7  1992   15.4  1965   10.1  1971    5.6  2003    1.0  1974    0.0  2000    0.0  2002    0.0  2002    0.0  1979    1.5  2012    8.6  1962   14.1  1995    39.3  1981    15.6  1987     0.0  2003     9.5  1969    61.7  1987
   14.6  2019   14.8  1978   10.0  1996    5.3  1990    0.9  1997    0.0  2007    0.0  2003    0.0  2003    0.0  1975    1.5  2002    8.1  1980   14.0  1970    39.0  1996    15.4  2006     0.0  2006     9.4  1972    60.8  1981
   14.4  1977   14.5  2012    9.2  1986    5.0  1997    0.9  2005    0.0  1997    0.0  2004    0.0  2004    0.0  2020    1.5  1981    7.9  1989   13.5  1969    38.4  1962    14.8  1986     0.0  2004     9.3  1997    59.6  1986
   14.4  1965   14.0  1970    8.9  1993    4.9  1976    0.8  1995    0.0  2002    0.0  2005    0.0  2005    0.0  2005    1.4  1974    7.4  1979   13.3  1968    38.1  1982    14.7  1968     0.0  2002     8.2  1983    58.2  2013
   14.2  1960   14.0  1987    8.9  1964    4.7  1996    0.8  1980    0.0  2003    0.0  2007    0.0  2006    0.0  1993    1.4  1960    7.2  1975   13.3  1967    37.8  1969    14.4  1984     0.0  2008     7.9  1989    58.0  1976
   13.4  1968   13.4  1973    8.8  2010    4.6  1988    0.7  1984    0.0  1996    0.0  1961    0.0  2008    0.0  1996    1.3  1987    6.6  1977   12.5  1975    37.5  1964    13.9  1971     0.0  2000     7.7  1979    57.3  2001
   13.1  1978   13.3  2003    8.2  2005    4.5  1979    0.6  2016    0.0  2004    0.0  2008    0.0  1992    0.0  1967    1.2  2007    6.6  1998   12.1  1996    37.5  1992    13.9  1975     0.0  1999     7.6  1975    55.5  1978
   13.1  2013   12.8  2013    7.9  2018    4.4  1999    0.5  1977    0.0  2006    0.0  2009    0.0  2009    0.0  2019    1.1  1988    6.3  1967   12.1  1991    37.2  1977    13.4  1965     0.0  1998     7.3  2007    55.3  1991
   12.8  2001   12.3  2009    7.6  2016    4.4  2012    0.4  1991    0.0  2010    0.0  2010    0.0  2010    0.0  2002    1.1  1991    6.1  2007   11.9  2017    37.1  1970    12.9  2010     0.0  2007     7.1  1998    53.2  1964
   12.8  1982   12.3  2008    7.4  1979    4.1  2016    0.4  1973    0.0  2008    0.0  2011    0.0  2011    0.0  2001    1.0  1971    6.1  1961   11.8  1992    36.4  2013    12.3  2016     0.0  2011     6.8  1961    53.1  2003
   12.3  1986   11.9  2010    7.4  1963    4.0  1989    0.4  2018    0.0  2009    0.0  2012    0.0  2012    0.0  2000    0.9  1962    6.0  1995   11.7  2007    35.1  2006    12.1  1977     0.0  2009     6.7  1991    53.1  1980
   12.1  2000   11.9  2001    7.3  1980    3.9  1983    0.3  1965    0.0  1994    0.0  2013    0.0  2013    0.0  2004    0.8  1994    5.9  2001   11.4  1978    34.3  1997    11.9  2003     0.0  2010     6.6  1977    52.5  2021
   11.9  2003   11.5  1962    7.3  1974    3.8  2006    0.3  1998    0.0  2011    0.0  2014    0.0  2014    0.0  1960    0.8  1961    5.7  1976   11.1  2014    34.3  2021    11.7  1982     0.0  1995     6.3  2003    52.3  2005
   11.9  1981   11.5  1994    7.2  1975    3.6  2019    0.3  2019    0.0  2012    0.0  2015    0.0  2015    0.0  2006    0.7  1984    5.7  1983   11.0  1982    32.9  2015    11.6  2008     0.0  2012     6.3  1967    51.4  2009
   11.2  2011   11.2  1960    7.2  1961    3.5  1981    0.3  1975    0.0  2013    0.0  2016    0.0  2016    0.0  2007    0.7  1972    5.7  1991   10.8  1990    32.8  1983    11.5  1964     0.0  2013     6.1  1992    48.7  1983
   11.1  1967   10.9  2015    7.1  2011    3.5  1998    0.3  2017    0.0  2014    0.0  2017    0.0  2017    0.0  2008    0.5  1999    5.6  2017   10.5  2012    32.0  2018    11.0  2005     0.0  2014     6.0  1964    47.6  1997
   11.1  1973   10.8  2006    7.0  1982    3.4  2000    0.2  2014    0.0  2015    0.0  2018    0.0  2018    0.0  2009    0.5  2019    5.6  2016    9.9  1973    31.1  2001    11.0  1978     0.0  2015     6.0  1995    46.6  1995
   10.9  1961   10.7  1992    6.9  2009    3.4  1991    0.2  2013    0.0  2016    0.0  2019    0.0  2019    0.0  1998    0.5  1998    5.5  2021    9.9  2004    30.9  1976    10.4  1980     0.0  2016     5.9  2001    46.5  1971
   10.9  2015   10.6  2005    6.7  1984    3.3  1995    0.2  1987    0.0  2017    0.0  2020    0.0  2020    0.0  2010    0.5  2011    5.5  1966    9.6  2003    30.9  1980    10.2  1974     0.0  2017     5.9  2017    46.5  1984
   10.8  1964   10.1  1984    6.3  2003    3.2  1985    0.1  2011    0.0  2018    0.0  1992    0.0  1993    0.0  2011    0.4  1975    5.2  1978    9.5  1984    30.9  2002     9.6  1993     0.0  2018     5.8  2012    46.4  1982
   10.3  1984   10.0  2004    6.1  2004    3.2  1960    0.1  1976    0.0  2019    0.0  1991    0.0  1991    0.0  2012    0.4  1965    4.5  2006    9.3  1983    30.7  1978     9.4  1963     0.0  2019     5.8  1966    46.3  2006
   10.2  1972   10.0  2021    6.0  1966    3.1  1973    0.1  2003    0.0  2020    0.0  1990    0.0  1961    0.0  2013    0.4  1970    4.3  2012    9.1  2016    30.5  1971     9.3  1983     0.0  2020     5.7  1976    46.1  1967
   10.0  2006    9.5  1971    5.9  2008    3.1  1982    0.1  1968    0.0  1995    0.0  1989    0.0  1990    0.0  2014    0.4  1990    4.2  1997    9.0  1960    29.8  1984     9.0  1988     0.0  1996     5.6  2016    46.0  2008
    9.9  1991    9.3  1976    5.8  2001    2.8  1967    0.1  1963    0.0  1960    0.0  1962    0.0  1962    0.0  2015    0.4  1982    4.1  2013    8.9  1980    29.5  2017     8.8  1990     0.0  1960     5.6  2008    46.0  2012
    9.5  1970    9.3  2016    5.4  1983    2.7  2010    0.1  1986    0.0  1993    0.0  1963    0.0  1963    0.0  2016    0.4  2009    4.0  2019    8.8  2020    28.8  1973     8.7  1999     0.0  1994     5.5  2021    45.9  1992
    9.1  1976    9.3  1964    5.3  1968    2.7  1971    0.0  1993    0.0  1978    0.0  1964    0.0  1965    0.0  2017    0.4  1985    3.8  1968    8.8  1999    28.8  2003     8.3  2018     0.0  1979     5.3  1978    45.8  1960
