Areal values from HadUK-Grid 1km gridded climate data from land surface network
Source: Met Office National Climate Information Centre
Monthly, seasonal and annual total precipitation amount for England SE and Central S
Areal series, starting in 1862
Last updated 01-Jan-2022 10:59
    jan  year    feb  year    mar  year    apr  year    may  year    jun  year    jul  year    aug  year    sep  year    oct  year    nov  year    dec  year     win  year     spr  year     sum  year     aut  year     ann  year
  205.4  2014  154.9  1951  152.6  1947  146.2  2000  117.3  1967  138.2  2012  140.2  1888  156.6  1912  169.0  1896  204.2  1865  197.7  1940  205.2  1914   513.8  2014   289.1  1862   362.2  1879   476.7  2000  1109.0  2000
  160.5  1877  147.1  2014  134.3  1981  133.8  2012  109.4  1878  136.5  1971  131.0  1875  143.3  1917  168.2  1974  197.2  2000  190.6  1929  197.6  1934   438.4  1915   281.8  1979   317.4  1917   434.6  1960  1066.8  1960
  158.9  1988  137.1  2020  126.6  1914  105.5  1998  108.9  1955  121.5  1879  128.2  1920  142.5  1879  156.0  1968  194.0  1960  189.8  2009  187.9  1876   396.8  1877   268.3  2000   313.0  1903   403.9  1976  1060.8  1872
  156.9  1995  135.4  1990  125.8  1862  101.8  1983  107.9  1932  113.7  1991  124.7  1918  140.0  1891  147.9  1918  189.5  1949  188.2  1970  182.4  1915   396.0  1990   267.8  1981   302.5  1912   394.2  1974  1047.4  1951
  150.1  1872  132.3  1900  122.1  2001   98.8  1966  106.1  1979  113.5  1997  122.3  1894  133.8  1881  147.0  1866  188.9  1891  183.8  2002  179.1  1911   371.3  1995   246.7  1947   297.8  2012   386.4  1935  1039.5  2014
  147.1  1943  130.6  1937  114.4  1979   98.6  1871  104.5  2007  112.3  1903  119.7  2007  130.7  1878  139.3  1927  187.1  1987  175.7  1951  178.5  1929   350.6  1937   244.4  1983   280.6  1927   359.1  1880  1022.1  1903
  144.7  1937  128.3  1950  113.1  1897   93.9  1935  104.1  1886  111.5  1905  109.6  1867  125.8  1946  134.9  1981  186.5  1903  174.5  1926  168.3  1959   345.7  2020   241.8  2008   274.3  2007   346.2  1882  1008.4  2002
  138.5  1939  127.2  1915  113.0  1919   93.4  1882  101.8  1924  110.0  1863  109.0  1880  121.2  1951  133.9  1975  182.3  2020  171.4  2000  168.1  1868   342.5  1916   240.2  1964   270.0  1888   338.8  1939  1005.4  2012
  133.5  1984  123.1  1916  108.4  1912   92.1  1926  101.0  1869  104.7  1980  106.7  1915  119.1  1977  132.4  1976  174.3  1882  166.2  1877  161.3  2013   338.5  1912   239.8  1937   258.8  1960   335.9  1940   999.0  1927
  132.5  1948  122.1  1923  106.8  1905   90.2  1907  100.2  1862  103.0  1998  106.6  1936  115.6  1941  129.9  1995  163.7  1909  161.9  1935  160.0  1978   337.4  1869   235.7  1951   256.3  1891   329.8  1875   976.0  1915
  132.0  1906  118.4  1866  103.7  1916   88.1  1920   99.7  2000  101.9  2007  103.6  2012  112.5  1865  126.1  1871  161.9  1880  155.7  1950  146.4  1989   332.1  2001   233.1  2001   256.2  1958   329.7  2019   967.4  1974
  131.3  2016  113.7  1974  101.9  1963   86.5  1993   98.2  1983  100.4  1958  103.0  1917  109.9  1992  124.4  1999  160.9  1939  154.3  1963  143.8  1872   322.3  1960   231.6  2018   253.8  1954   329.0  1982   958.2  1924
  128.0  1975  113.4  1966  101.4  1937   86.0  1931   96.1  2006   93.6  1912  102.1  1924  108.2  2015  123.3  1885  155.1  1932  152.9  1974  142.4  2012   316.1  1935   227.5  1963   249.9  1946   328.5  1949   951.3  1877
  124.1  1936  111.5  1925  100.8  2018   85.3  1961   92.7  2002   91.6  2016  101.6  1957  107.6  1960  119.2  1965  153.9  1923  149.6  1939  140.4  2002   315.8  1994   226.4  1878   249.7  1875   323.6  1885   942.5  1935
  123.5  1866  111.0  1883  100.0  1951   83.8  1922   92.4  1981   89.9  2019  101.0  1871  106.8  1931  115.3  1880  152.5  1982  146.7  1954  137.8  1886   311.4  1925   225.5  1903   248.8  1931   317.6  2002   929.1  1937
  121.5  1986  108.5  1927   99.0  1909   82.4  1879   90.9  1915   89.5  1935  100.9  1895  106.7  1999  114.3  1876  152.5  1966  143.4  2003  135.8  1993   308.7  1930   224.0  1967   246.9  1956   314.0  1872   928.2  1912
  120.0  1956  106.6  1879   95.2  1975   82.2  1924   89.9  2021   89.4  1954  100.4  1903  105.7  1927  114.0  1993  151.9  1928  138.2  1960  133.4  2000   305.3  1866   221.8  1932   246.8  1890   310.2  1944   918.6  1946
  118.1  1919  103.8  2007   94.8  1964   81.0  1913   88.2  1942   89.3  1964  100.2  1950  104.0  1985  112.2  1935  149.0  1907  137.3  1946  132.6  1999   299.2  1951   218.7  1924   246.8  1980   309.2  1998   914.9  1916
  118.1  1928  103.7  1977   94.4  1888   80.1  1963   87.8  1946   88.5  1985   98.2  1890  103.6  1868  111.3  1869  146.6  1976  136.2  1992  132.0  1919   297.7  1873   210.7  1913   245.1  1985   308.8  1929   908.0  1879
  115.7  1994  102.0  2002   92.7  2008   78.7  1878   87.4  1898   87.8  2021   98.1  1879  102.6  2004  108.4  1958  143.1  1875  135.7  2014  131.7  1979   297.1  1979   209.1  1994   241.7  1924   308.3  1903   906.3  1966
  114.6  1868  101.6  1914   91.0  1876   78.7  1989   87.0  1879   87.3  1927   96.8  1922  102.1  2014  108.1  2000  141.5  1998  134.5  1872  130.6  1965   291.8  1966   209.0  1877   241.4  1881   308.1  1894   903.1  1939
  114.3  1990  101.4  1957   85.7  1927   78.6  2001   86.5  2008   86.7  1909   95.5  2017  102.0  1956  105.8  1998  139.7  1967  133.7  1996  130.1  2019   289.4  2007   206.9  1886   240.1  1894   302.7  1987   900.9  1894
  114.2  1999  101.3  1910   85.5  1896   77.3  2004   85.8  1969   86.1  1987   94.5  1925  100.4  1958  102.6  1946  138.5  2013  132.7  1930  123.3  2020   286.4  2021   203.2  2012   238.2  1966   302.3  1891   900.5  1865
