Areal values from HadUK-Grid 1km gridded climate data from land surface network
Source: Met Office National Climate Information Centre
Monthly, seasonal and annual total duration of bright sunshine for England SE and Central S
Areal series, starting in 1919
Last updated 01-Jan-2022 10:59
    jan  year    feb  year    mar  year    apr  year    may  year    jun  year    jul  year    aug  year    sep  year    oct  year    nov  year    dec  year     win  year     spr  year     sum  year     aut  year     ann  year
   87.7  1952  134.2  2008  187.6  1933  249.8  2020  327.5  2020  295.2  1975  307.4  2006  291.3  1995  224.4  1959  162.7  1921  104.5  1989   85.8  2001   254.0  2008   746.2  2020   838.0  1976   441.5  1959  1916.9  1949
   86.5  2003  122.5  2019  185.0  1995  239.0  2007  300.2  1989  293.5  1957  300.8  2018  282.0  1976  216.5  1928  160.1  1997  100.1  1971   84.7  1962   253.6  1949   664.1  1990   788.7  1989   431.6  1971  1893.1  1990
   84.8  1959  122.3  1949  184.4  1929  235.8  2011  282.3  1922  288.9  1925  291.5  2013  281.4  1947  211.3  1964  155.2  1959  100.1  2006   79.0  2008   242.0  2000   643.2  1948   759.9  1959   416.5  2003  1879.4  1959
   84.2  1984  121.8  1988  178.5  1938  234.1  2010  278.8  1990  278.7  1940  286.8  1934  260.6  1989  200.9  1929  153.9  1999   96.0  1996   75.0  2014   229.6  2019   613.8  1997   757.0  1975   413.2  1997  1879.0  2003
   79.2  2001  119.2  2018  178.1  2007  233.8  1990  267.2  1992  275.0  1976  286.6  1959  257.5  1998  194.5  2003  147.3  1919   95.2  1923   70.2  1946   228.4  2018   613.0  2011   756.4  2006   412.7  1921  1864.4  1995
   75.3  1940  107.0  1970  174.5  2012  233.2  1984  261.6  2018  270.0  2006  286.2  1928  255.3  1933  190.3  1997  146.6  2003   93.8  2005   69.9  1961   225.9  1952   608.7  1995   755.3  2018   402.8  2018  1860.4  1989
   75.1  2017  105.6  1939  174.4  2009  227.7  2015  252.7  1948  268.7  1962  281.0  1976  253.4  1990  187.6  1923  145.9  1971   92.9  1977   69.7  1999   225.1  1963   595.2  2007   750.8  1949   398.5  1964  1853.6  2018
   73.2  2012  104.3  1998  172.7  1924  225.0  2021  252.1  1997  266.4  1996  279.8  1935  251.4  1991  187.2  1933  143.8  1994   91.9  1988   68.6  2005   223.8  2015   595.0  1929   750.5  1933   394.5  1999  1833.9  1933
   73.2  1980  104.1  1928  168.9  2020  222.4  1948  250.7  1956  263.6  2018  278.6  1990  247.6  1923  185.6  1971  142.7  2018   90.5  1973   66.2  2009   220.5  1998   587.0  2009   744.0  1995   392.0  1928  1830.1  2020
   72.0  2000  100.2  2000  168.2  1948  218.8  1942  250.3  1929  263.1  2010  275.3  1989  239.9  2003  184.1  2018  137.4  1965   90.4  1925   65.1  2007   217.6  1984   579.6  1921   721.2  1996   388.0  1929  1820.4  1921
