Areal values from HadUK-Grid 1km gridded climate data from land surface network
Source: Met Office National Climate Information Centre
Monthly, seasonal and annual number of days in the month with air frost (minimum temperature below zero) for England SW and S Wales
Areal series, starting in 1960
Last updated 01-Jan-2022 10:59
    jan  year    feb  year    mar  year    apr  year    may  year    jun  year    jul  year    aug  year    sep  year    oct  year    nov  year    dec  year     win  year     spr  year     sum  year     aut  year     ann  year
   29.0  1963   24.4  1986   19.9  1962    9.3  2021    4.0  1979    0.3  1991    0.0  1984    0.0  1976    0.4  1969    5.0  2003   11.0  2005   23.8  2010    68.8  1963    24.8  2013     0.3  1991    12.3  1993    80.7  2010
   24.4  1979   24.2  1963   16.9  2013    8.6  1968    2.5  1996    0.1  1962    0.0  1965    0.0  1987    0.2  1986    4.8  1993   10.0  1965   17.1  1981    52.1  1979    22.0  1962     0.1  1962    11.1  1988    77.3  1963
   22.4  1985   19.4  1968   13.5  1970    7.5  2013    2.3  1982    0.1  1989    0.0  1973    0.0  1964    0.2  2018    3.2  1992    9.9  1988   16.0  1963    43.9  2010    20.9  1970     0.1  1989    11.0  2005    72.0  1979
   19.1  2010   18.6  1991   12.8  1969    7.4  1970    1.6  2021    0.1  1985    0.0  1971    0.0  1971    0.2  1974    3.2  2018    9.6  1985   15.6  1961    41.8  1991    17.7  1969     0.1  1985    10.7  2010    63.3  1985
   18.8  1980   17.4  1979   11.6  2010    7.1  1986    1.6  1967    0.1  1969    0.0  2020    0.0  2018    0.2  1975    2.9  1997    8.9  1971   15.5  1962    41.5  1965    17.6  1979     0.1  1969    10.1  1985    62.8  1996
   17.9  1987   16.9  1969   11.5  1987    7.0  1975    1.5  2020    0.1  1973    0.0  1996    0.0  1983    0.1  1979    2.2  2010    8.4  2010   15.4  1976    41.1  1985    15.9  2021     0.1  1973    10.1  1965    61.4  1962
   15.4  1997   16.9  1996   10.5  1985    6.1  1989    1.3  2019    0.0  1975    0.0  1986    0.0  2010    0.1  2010    1.9  1983    8.3  1996   15.2  1996    40.1  2011    15.6  1968     0.1  1971     9.2  1971    61.3  1969
   15.0  1992   16.8  1983   10.3  1965    6.1  1978    1.2  1995    0.0  2011    0.0  2001    0.0  1977    0.1  2003    1.6  1987    7.5  1969   14.7  1995    39.9  1986    15.3  2010     0.0  1975     8.4  1996    60.4  1968
   14.4  2021   16.0  1981   10.0  1976    6.1  1984    1.1  1984    0.0  1971    0.0  2004    0.0  1972    0.1  1962    1.4  2008    7.5  1993   14.2  2008    39.6  1996    15.2  1975     0.0  2011     8.3  1962    57.8  1970
   14.2  1977   14.0  1965    9.7  2006    5.9  1990    1.1  2010    0.0  1999    0.0  2003    0.0  1993    0.1  1987    1.4  1964    7.4  1962   14.2  1964    38.2  2009    15.0  1984     0.0  1999     8.2  1972    57.4  1965
   13.8  2009   13.7  1978    9.3  1973    5.4  2008    1.0  1977    0.0  1977    0.0  2002    0.0  2000    0.1  2007    1.3  1981    7.1  1980   14.2  2001    37.9  1968    14.9  1976     0.0  1977     8.0  1969    55.0  1986
   13.5  2011   13.5  2018    9.3  1995    4.9  1977    0.8  1965    0.0  1987    0.0  1960    0.0  2001    0.0  1972    1.2  2002    7.0  1977   13.4  1969    35.6  1970    14.4  1996     0.0  1987     7.7  1983    53.9  1987
   13.3  1965   13.1  1970    9.2  1964    4.8  1979    0.7  1997    0.0  1972    0.0  2006    0.0  2006    0.0  2020    1.2  1988    7.0  1972   13.0  2009    35.5  1964    13.8  1965     0.0  1972     7.6  1980    53.9  2013
   12.5  1991   13.1  1960    8.8  2018    4.6  1969    0.7  1971    0.0  2001    0.0  2000    0.0  1999    0.0  1990    1.2  1972    6.2  1973   13.0  1970    35.3  1987    13.7  2006     0.0  2001     7.5  2003    51.2  1976
   12.2  1966   12.1  1985    8.8  1979    4.5  1996    0.7  1961    0.0  2008    0.0  1999    0.0  2002    0.0  1988    1.2  2012    5.8  1983   12.0  1968    34.5  1982    13.7  1986     0.0  1984     7.2  1973    51.0  2001
   12.0  1960   12.1  1987    8.1  1974    4.3  1976    0.6  1974    0.0  1984    0.0  1998    0.0  2003    0.0  2015    1.1  1975    5.5  1989   11.6  1960    34.2  1969    13.4  1973     0.0  2008     7.0  1977    50.7  1964
   11.2  2003   12.0  2001    8.0  1975    3.9  2006    0.6  1981    0.0  1978    0.0  1997    0.0  1998    0.0  1984    1.1  1973    5.4  1967   10.6  1990    33.9  1997    13.2  1995     0.0  1976     6.1  2018    50.6  1981
   11.1  2006   11.9  2010    7.8  1984    3.9  2012    0.6  1968    0.0  1996    0.0  2005    0.0  1997    0.0  2005    1.1  1974    5.1  1979   10.6  1992    33.8  1977    12.8  1985     0.0  1978     5.8  1966    49.4  1991
   11.1  2013   11.5  2012    7.7  2011    3.8  2016    0.6  1976    0.0  1974    0.0  2009    0.0  2004    0.0  1999    1.0  1966    4.8  1966   10.3  1978    32.5  1981    12.8  1987     0.0  1965     5.5  1989    48.7  1973
   10.4  1982   11.4  2005    7.7  2005    3.8  1981    0.5  2005    0.0  2021    0.0  2007    0.0  2005    0.0  1965    0.9  1994    4.7  1968    9.8  1967    31.9  2006    12.1  1964     0.0  1996     5.4  1967    48.2  1978
   10.4  2001   11.4  2015    7.6  2001    3.7  1988    0.5  1993    0.0  2004    0.0  2008    0.0  1960    0.0  2019    0.8  1962    4.7  2017    9.5  2005    31.0  1962    11.3  1974     0.0  1964     5.2  1979    46.2  1980
   10.3  2000   11.3  2006    7.5  1996    3.7  1999    0.5  2013    0.0  1988    0.0  1994    0.0  2007    0.0  1996    0.8  1960    4.7  2013    9.4  2007    29.4  2013    10.6  2001     0.0  1974     4.9  1964    46.0  2021
   10.3  2019   11.1  2004    7.4  1971    3.7  2003    0.4  1987    0.0  2019    0.0  2010    0.0  2008    0.0  1976    0.6  2019    4.5  1978    9.3  1973    29.4  2021    10.6  1978     0.0  2021     4.9  2017    44.9  2005
   10.2  2017   10.6  2013    7.2  2004    3.7  1973    0.4  1962    0.0  1968    0.0  2011    0.0  2009    0.0  1993    0.6  1985    4.5  2007    9.1  1982    29.3  2001    10.5  1971     0.0  2004     4.9  2007    44.9  2006
