Areal values from HadUK-Grid 1km gridded climate data from land surface network
Source: Met Office National Climate Information Centre
Monthly, seasonal and annual total duration of bright sunshine for England SW and S Wales
Areal series, starting in 1919
Last updated 01-Jan-2022 10:59
    jan  year    feb  year    mar  year    apr  year    may  year    jun  year    jul  year    aug  year    sep  year    oct  year    nov  year    dec  year     win  year     spr  year     sum  year     aut  year     ann  year
   82.7  1933  113.7  2018  197.5  1929  241.2  2021  311.1  2020  317.4  1925  297.7  2013  282.4  1995  225.5  1959  140.4  1919   98.1  1923   83.3  2001   228.9  1963   695.5  2020   750.1  1989   403.2  1959  1767.5  1949
   80.6  2003  111.7  2008  173.5  1948  233.3  1984  280.0  1948  297.2  1957  293.2  1955  281.9  1947  189.0  1929  134.2  1921   89.6  1988   75.8  2008   219.0  1949   654.3  1948   740.2  1976   394.6  1971  1758.1  1959
   79.4  1940  108.8  2019  170.0  1955  228.9  2020  267.2  1990  283.7  1975  289.6  1990  280.7  1976  185.0  1928  133.5  1994   89.3  1971   69.2  1946   218.8  1934   606.1  1990   726.3  1949   361.0  1999  1737.6  1955
   78.6  1963  106.3  1988  165.8  2012  225.3  1954  256.4  1989  280.3  1940  279.9  1989  236.8  1989  184.2  1940  128.3  1971   89.0  1925   66.7  1944   218.4  1933   587.8  1929   724.8  1995   355.7  1955  1734.0  1929
   75.8  1959  105.7  1934  162.3  2003  224.2  1921  246.1  1956  266.8  1949  268.8  1971  235.8  1983  179.5  2015  128.3  2018   88.1  2006   65.4  1962   213.6  2018   585.5  1956   696.4  1975   352.0  1929  1719.2  1995
   74.8  1952  102.9  1996  159.7  1933  223.7  2015  244.9  1992  263.1  1962  265.6  2006  232.1  2005  179.1  1964  126.4  2010   86.5  2005   63.4  1948   212.4  1952   568.6  2007   686.0  1959   350.0  1921  1718.8  1990
   72.0  1931   99.5  1949  159.6  2007  220.5  2007  240.2  1997  261.5  2010  263.8  1984  224.2  1998  177.1  1971  125.1  1962   83.5  1989   63.4  2014   208.9  2015   563.1  1955   680.6  1940   349.0  1928  1716.7  1989
   70.4  1979   97.5  2004  159.1  1944  218.2  2011  238.7  1977  259.8  1969  261.0  1934  220.4  1955  174.9  1990  123.8  1993   81.0  1977   62.1  1960   207.0  2003   559.8  1921   679.9  1984   345.2  2010  1709.7  1933
   70.4  2010   94.7  1956  158.4  2009  216.7  1938  237.3  1949  257.7  1960  261.0  1983  216.4  1919  172.3  2002  123.4  1959   80.9  1999   61.3  2009   206.8  1998   559.6  1997   679.7  1996   343.7  1964  1707.7  1921
   70.0  2001   92.6  1970  157.1  1924  216.7  2010  237.1  1922  257.6  2018  260.3  2018  214.3  1937  172.0  1991  123.3  1999   80.9  1933   60.7  1970   206.3  2010   553.4  2010   679.7  2006   341.9  1933  1666.7  2020
   69.4  1945   91.7  2001  155.4  2020  211.0  1990  235.1  1966  255.1  1921  254.4  1949  214.1  1933  170.0  1939  123.0  2016   80.2  1990   60.5  1929   204.7  2001   552.3  1953   669.6  2013   339.4  1990  1657.5  2010
   67.4  1985   89.9  1933  153.3  2011  209.5  1945  231.6  1961  251.1  1942  248.1  1921  211.9  1940  168.9  1933  121.3  1955   79.3  1998   60.0  1961   202.2  2008   549.1  2011   667.1  2014   338.5  1940  1650.9  2003
   67.2  1965   87.4  1952  152.7  1953  201.8  1969  231.2  1959  250.5  2006  246.0  2014  210.0  2007  166.3  1978  120.2  1922   77.8  2016   60.0  1997   197.4  1945   544.6  1944   665.8  1934   337.0  1923  1648.6  1940
   67.0  1980   86.7  2003  150.9  1973  200.8  1948  230.6  1921  244.2  1996  239.8  1935  207.7  1944  164.7  1996  119.9  1997   77.1  1967   59.3  1965   197.0  1988   542.9  2003   665.7  1955   336.7  2003  1640.8  1975
   65.3  1978   86.5  1951  150.7  1956  198.8  1997  230.3  1957  240.1  1959  238.4  1959  207.5  1959  163.4  2020  118.3  1947   76.8  1995   58.1  1957   194.7  2004   536.1  2009   659.9  2018   334.6  1919  1625.1  2018
   64.1  2017   85.8  1998  150.1  1967  197.6  1951  230.0  2018  237.5  1932  238.2  1999  205.1  1991  161.9  1921  117.5  1965   76.2  1969   58.1  1952   193.4  1985   534.6  1949   656.5  1921   333.8  1988  1624.9  2014
   63.9  2009   85.3  2014  143.1  1995  195.9  1946  229.6  1944  237.3  1961  234.6  1976  205.1  1949  159.2  1955  116.8  1939   75.3  1996   57.8  2010   193.1  2009   534.3  1995   655.1  1983   331.9  2018  1611.8  1984
   63.4  2006   85.2  1967  142.5  1932  193.0  2003  228.3  1971  236.8  2014  234.4  1997  204.7  2003  158.7  1966  115.3  1975   75.1  1955   57.7  1983   192.3  2000   532.6  2015   655.0  1925   330.9  1997  1597.6  1948
   62.9  1991   85.1  1989  142.4  1972  191.4  1953  225.4  2001  236.4  1984  231.6  1996  204.4  1923  158.4  1972  114.8  1931   75.1  2010   56.8  1933   188.5  2002   530.6  1943   648.3  1933   328.7  1925  1596.1  2007
   62.6  1994   84.9  1963  141.9  1982  191.0  1982  220.3  2004  235.4  2015  229.9  1928  203.9  1996  158.0  2019  114.0  1951   74.2  2017   55.8  1935   186.2  1959   529.0  1982   632.5  1969   328.1  2002  1595.7  2006
   61.7  1989   84.5  2000  139.4  1943  188.7  1956  220.1  1975  234.1  1929  227.3  1929  203.8  1972  157.0  1954  112.8  2008   73.7  1965   55.3  1925   185.6  1991   528.4  1922   625.7  1919   326.9  1975  1592.4  1976
   61.7  2015   84.3  1955  138.2  2016  187.0  1939  219.7  1998  233.4  1989  222.5  1951  202.8  1981  156.8  1999  112.3  2003   72.4  1986   55.3  1963   185.3  1962   527.0  2016   621.6  1929   326.9  1966  1589.3  1953
   61.0  1998   83.9  2015  137.3  1938  185.9  2017  218.8  1995  233.1  1951  218.8  1933  202.0  1953  155.3  2014  111.9  1943   72.4  1948   53.0  1964   182.8  1930   526.3  2021   617.3  1951   326.4  1939  1586.6  1996
   60.8  1954   83.5  1928  137.2  1945  185.5  1980  218.6  1929  232.0  1930  218.4  2019  200.4  1975  154.5  2009  111.6  1945   71.5  1972   52.6  2005   181.5  1956   512.9  1945   615.2  1957   326.1  1996  1585.5  1925
   59.8  1928   82.6  1983  136.2  1949  183.6  2008  218.1  1940  230.5  1995  217.7  1941  198.1  1990  154.1  2003  111.1  1956   71.3  1985   52.5  1996   181.1  1951   508.5  2012   613.8  1947   324.6  2007  1582.0  1919
   58.8  2000   82.3  1960  133.7  1968  181.0  1960  217.0  1934  230.4  1939  213.8  2021  194.7  2016  151.6  1986  110.9  1941   71.1  1973   52.4  1923   180.8  2006   506.6  1938   613.3  1990   324.5  2016  1572.7  2015
   58.1  2012   81.4  2016  132.3  1965  180.3  1942  215.0  1980  228.0  1950  212.2  1975  193.9  1936  151.4  1997  109.9  1953   70.6  1960   52.3  2012   180.7  1931   505.7  1989   612.6  2005   323.4  1995  1570.3  2001
