Areal values from HadUK-Grid 1km gridded climate data from land surface network
Source: Met Office National Climate Information Centre
Monthly, seasonal and annual number of days in the month with air frost (minimum temperature below zero) for England and Wales
Areal series, starting in 1960
Last updated 01-Jan-2022 10:59
    jan  year    feb  year    mar  year    apr  year    may  year    jun  year    jul  year    aug  year    sep  year    oct  year    nov  year    dec  year     win  year     spr  year     sum  year     aut  year     ann  year
   28.4  1963   26.7  1963   21.2  1962   12.6  2021    4.3  1979    0.6  1962    0.0  1965    0.0  1977    0.5  1986    5.2  1993   13.2  1965   23.7  2010    74.8  1963    27.1  2013     0.6  1962    16.5  1993    84.9  2010
   26.0  1979   24.6  1986   18.3  2013    9.3  1968    3.3  1996    0.3  1991    0.0  2000    0.0  1964    0.4  1969    4.9  1997   12.9  1985   21.1  1981    60.1  1979    24.8  1962     0.3  1991    14.4  1988    82.8  1963
   24.0  1985   21.0  1979   16.1  1970    8.7  1970    2.0  1982    0.1  1975    0.0  1973    0.0  1976    0.2  1974    4.3  1992   12.3  1988   19.7  1962    49.2  2010    24.8  1970     0.1  1975    13.4  1965    81.4  1979
   20.1  1987   20.5  1968   15.1  1987    8.2  2013    1.9  2021    0.1  1989    0.0  1960    0.0  2012    0.2  1979    4.0  2003   12.1  1996   19.0  1961    47.6  1985    22.2  1969     0.1  1989    13.1  1985    74.3  1962
   18.7  1997   19.4  1983   14.7  1969    7.3  1984    1.8  1967    0.1  1971    0.0  1984    0.0  1962    0.2  1975    3.3  1983   11.6  2005   18.5  1976    45.5  1968    19.0  1979     0.1  1977    12.3  1973    74.3  1985
   18.5  1980   19.3  1991   12.8  1985    7.1  1969    1.7  2010    0.0  1969    0.0  1971    0.0  1983    0.1  1972    2.9  1981   11.2  1993   17.4  2001    45.1  1965    18.9  2021     0.1  1971    12.2  1996    74.1  1969
   18.3  2010   19.2  1969   12.7  1995    6.7  1986    1.7  1984    0.0  1977    0.0  1962    0.0  1971    0.1  1964    2.7  2018   10.7  1971   16.3  1964    44.7  1986    18.4  1995     0.0  1969    12.0  2010    72.4  1996
   16.5  2021   18.9  1996   12.5  1976    6.7  1978    1.6  2020    0.0  1974    0.0  1961    0.0  1961    0.1  2018    2.5  2008    9.9  1969   15.8  1995    43.6  1991    18.2  1996     0.0  1974    11.7  1971    68.2  1968
   15.7  1977   18.0  1981   12.4  1965    6.3  1990    1.6  1995    0.0  1973    0.0  2001    0.0  1987    0.1  1987    2.5  1973    9.8  1973   15.5  1963    43.4  1982    16.9  1976     0.0  1973    11.6  2005    67.8  1965
   15.3  1966   16.1  1978   12.3  2006    6.2  1975    1.4  1981    0.0  1978    0.0  2020    0.0  1993    0.1  2003    2.3  1964    9.8  2010   15.2  2009    42.9  1996    16.9  1968     0.0  1978    10.4  1969    66.9  1970
   15.3  1965   15.7  2010   10.6  1964    6.0  1977    1.3  1971    0.0  2001    0.0  1996    0.0  1994    0.1  1995    2.2  2010    8.8  1962   15.0  2008    41.9  2009    16.8  1975     0.0  2001    10.1  1962    65.9  1981
   14.8  1992   15.4  2018   10.6  2018    5.9  1989    1.3  1997    0.0  1985    0.0  1990    0.0  1965    0.1  1988    2.0  1988    8.2  1972   14.9  1996    41.2  1987    16.4  1965     0.0  1985     9.3  1972    63.9  2013
   14.7  2009   15.2  1970   10.4  1973    5.6  2008    1.1  1974    0.0  2011    0.0  1966    0.0  1999    0.1  1993    2.0  1980    7.9  1967   14.5  1969    40.9  1969    16.3  1987     0.0  2011     9.3  1983    63.4  2001
   14.5  1991   14.8  1985   10.4  2010    5.4  1996    1.1  1977    0.0  2015    0.0  1986    0.0  1969    0.1  2007    2.0  1987    7.5  1975   13.9  1968    40.6  1970    16.3  1984     0.0  2015     9.1  1980    63.2  1987
   14.5  2013   14.5  1960   10.0  1979    5.4  1983    1.0  1975    0.0  1987    0.0  1972    0.0  1960    0.1  2012    1.9  2002    7.1  1980   13.1  1978    40.4  2011    16.1  2006     0.0  1987     8.5  1975    63.2  1986
   14.3  2001   14.2  1987    9.8  1971    4.9  2016    1.0  1980    0.0  2005    0.0  1964    0.0  1980    0.0  1976    1.4  1974    7.1  1977   13.0  1992    40.4  1977    15.9  1985     0.0  2005     8.0  1967    61.0  1973
   14.3  1960   14.0  2001    9.5  1975    4.7  1979    0.9  2005    0.0  1972    0.0  1969    0.0  1966    0.0  1991    1.3  2012    7.1  1989   12.7  1982    39.2  1981    15.7  1973     0.0  1972     7.4  1979    60.7  1976
   14.2  2017   13.9  2013    9.4  1996    4.6  2012    0.9  1962    0.0  1999    0.0  1968    0.0  1972    0.0  2020    1.3  1962    6.9  1979   12.5  1970    38.6  1964    15.7  1986     0.0  1999     7.2  1998    60.1  1978
   13.7  1986   13.9  2003    9.4  2001    4.5  1973    0.9  1965    0.0  1967    0.0  2002    0.0  2018    0.0  1962    1.0  1966    6.3  1998   12.5  1967    38.5  2013    15.2  2010     0.0  1965     7.2  1997    59.4  1964
   13.7  2011   13.5  1994    9.1  1980    4.5  1988    0.8  1968    0.0  2009    0.0  2003    0.0  1998    0.0  2010    1.0  1972    6.3  2016   12.1  1960    38.1  1962    14.7  1971     0.0  1964     7.2  1977    58.9  1991
   13.6  1982   13.4  1965    8.9  1986    4.5  2003    0.8  1973    0.0  1961    0.0  2004    0.0  1963    0.0  2005    0.9  1971    6.2  1976   11.8  2005    38.0  1997    13.1  1980     0.0  1961     7.1  1992    56.0  2003
   13.2  1978   13.0  2012    8.2  1993    4.3  2000    0.7  2012    0.0  2004    0.0  2005    0.0  1982    0.0  1983    0.9  1998    6.0  1961   11.6  2003    36.7  2001    13.1  1964     0.0  1967     7.1  1989    55.4  2021
   13.2  2019   12.3  2009    8.1  2005    4.3  1976    0.7  1961    0.0  2008    0.0  2006    0.0  1979    0.0  1977    0.8  1975    6.0  1983   11.2  2017    36.3  1983    12.8  2001     0.0  2009     7.0  2003    55.0  1980
   13.1  1984   11.9  1984    7.9  1963    4.3  2019    0.7  2019    0.0  1996    0.0  2007    0.0  2010    0.0  1990    0.8  2019    5.8  1966   11.2  2007    35.1  2021    12.3  2016     0.0  2004     6.9  1964    53.9  1995
   12.8  1964   11.7  1973    7.7  1974    4.3  1981    0.6  2013    0.0  1981    0.0  2012    0.0  1968    0.0  1971    0.8  1994    5.6  2017   10.9  1973    33.3  1992    12.2  1978     0.0  2012     6.9  2008    51.9  1984
