Areal values from HadUK-Grid 1km gridded climate data from land surface network
Source: Met Office National Climate Information Centre
Monthly, seasonal and annual total duration of bright sunshine for England and Wales
Areal series, starting in 1919
Last updated 01-Jan-2022 10:59
    jan  year    feb  year    mar  year    apr  year    may  year    jun  year    jul  year    aug  year    sep  year    oct  year    nov  year    dec  year     win  year     spr  year     sum  year     aut  year     ann  year
   76.4  1959  118.0  2019  176.2  1929  234.3  2020  297.6  2020  285.2  1957  283.7  2006  269.0  1995  192.4  1959  134.4  1959   91.5  2006   75.1  2001   218.2  2015   686.4  2020   748.6  1976   378.2  1959  1718.8  2003
   74.1  2001  116.6  2008  165.7  2003  230.1  2021  265.5  1989  277.6  1940  272.6  2013  268.9  1947  178.4  1929  131.3  1921   90.3  2005   69.6  2014   217.3  2000   596.4  1948   724.6  1989   375.7  1971  1710.2  1995
   72.1  1952  106.1  1949  165.5  2012  220.1  2015  251.1  2018  268.1  1975  266.2  2018  251.7  1976  176.5  1964  130.1  2003   86.0  1988   67.4  2008   213.0  1949   584.0  1990   694.1  1995   364.8  2003  1699.6  1989
   70.7  2003  105.7  1988  160.6  1933  218.0  1984  247.5  1992  262.5  1925  265.9  1955  232.0  1989  174.0  1928  128.7  1919   83.7  1925   65.7  1962   212.8  2008   556.8  1929   688.8  1975   353.5  1921  1683.7  1949
   67.2  2012  100.8  2018  158.7  1948  216.8  2011  246.7  1948  255.0  1960  262.4  1990  219.5  1975  172.5  1991  128.3  2018   83.3  1989   61.3  2009   212.3  2019   554.1  2011   676.1  2018   348.8  1999  1681.8  1959
   67.0  2015   97.2  1970  156.3  1995  216.7  2007  245.2  1990  250.3  1969  260.8  1989  217.8  1933  169.2  1933  128.1  1997   82.8  1996   58.0  1946   207.3  2018   545.9  2003   672.5  1959   346.2  1986  1671.5  2018
   66.6  1991   95.2  2003  154.5  2009  206.3  1942  236.4  1956  246.9  1949  253.2  1934  215.2  1983  168.4  2015  127.7  1971   81.9  1923   57.3  1999   206.0  2001   539.4  2009   670.6  1949   345.1  2018  1654.1  1990
   66.5  2000   93.6  2000  154.5  2020  204.6  1990  236.1  1922  244.7  2018  252.4  1976  211.2  1990  167.0  2003  122.9  1999   81.9  1971   56.8  2005   205.9  1963   537.5  1995   659.3  2006   344.6  1964  1649.5  2020
   65.4  1965   91.9  1934  153.0  2007  200.5  2010  233.4  1997  244.5  1976  248.4  1935  208.6  2005  166.1  1971  121.7  2008   81.6  1973   56.4  1961   203.4  1952   537.1  1921   654.5  1933   344.2  1929  1640.3  1921
   65.0  1984   91.0  2016  152.9  1967  198.9  1921  231.9  1943  239.0  1970  243.3  2014  208.0  2003  164.8  1986  120.3  1995   81.4  1977   56.2  1929   199.9  2003   536.4  2007   648.9  1996   341.1  2006  1630.6  1929
   64.2  1963   90.0  1989  151.5  1955  191.0  1948  227.8  1921  238.6  1950  240.8  1928  208.0  1991  163.9  1940  118.2  1931   79.7  2016   55.8  1967   191.3  2002   534.1  1956   638.0  2013   334.9  1928  1610.9  1955
   64.1  1940   88.9  1998  147.4  1924  190.7  2003  226.7  1929  238.5  1996  239.0  1984  206.4  1959  163.9  2020  117.7  1955   79.6  2017   55.3  2019   190.4  1989   532.0  1982   636.9  1984   329.4  1997  1603.1  1933
