Areal values from HadUK-Grid 1km gridded climate data from land surface network
Source: Met Office National Climate Information Centre
Monthly, seasonal and annual number of days in the month with air frost (minimum temperature below zero) for Midlands
Areal series, starting in 1960
Last updated 01-Jan-2022 10:59
    jan  year    feb  year    mar  year    apr  year    may  year    jun  year    jul  year    aug  year    sep  year    oct  year    nov  year    dec  year     win  year     spr  year     sum  year     aut  year     ann  year
   28.6  1963   27.5  1963   22.5  1962   13.6  2021    4.9  1979    0.6  1962    0.0  1965    0.0  1964    0.6  1969    6.2  1997   14.5  1988   23.4  2010    76.7  1963    29.0  2013     0.6  1962    18.4  1993    87.8  1979
   27.6  1979   25.1  1986   19.9  2013    9.7  1968    4.0  1996    0.3  1991    0.0  1990    0.0  1977    0.6  1986    6.0  1993   14.3  1965   23.2  1981    66.5  1979    26.3  1962     0.3  1991    17.3  1988    86.0  2010
   24.9  1985   23.4  1979   17.2  1969    8.9  1970    2.1  1984    0.1  1989    0.0  1960    0.0  1960    0.5  1975    4.5  1992   13.8  1996   20.6  1976    50.5  2010    25.8  1970     0.1  1989    14.5  1965    84.8  1963
   20.7  1987   21.8  1968   16.9  1970    8.7  2013    1.9  1982    0.0  1975    0.0  2006    0.0  1994    0.1  1974    4.3  2003   13.4  1985   20.6  1962    50.4  1985    25.3  1969     0.0  1975    13.9  1996    79.6  1969
   19.9  1997   20.9  1983   16.5  1987    8.0  1969    1.8  1967    0.0  1977    0.0  1994    0.0  1995    0.1  1979    4.3  1983   12.5  2005   20.3  1961    47.9  1968    20.3  1995     0.0  1977    13.8  1973    79.3  1996
   19.0  1980   20.1  1991   14.6  1995    7.8  1984    1.8  2020    0.0  2001    0.0  1995    0.0  1996    0.1  1964    3.5  1981   12.4  1993   18.7  2001    47.8  1986    20.2  1979     0.0  2001    13.5  1985    77.4  1985
   18.7  2010   20.1  1969   14.2  1976    7.6  1989    1.6  1971    0.0  1973    0.0  1996    0.0  1997    0.1  2018    3.3  1973   12.0  1971   17.8  1964    47.6  1965    20.0  1996     0.0  1973    13.1  2010    77.3  1962
   17.2  2021   19.9  1996   13.7  1985    7.4  1978    1.6  1995    0.0  2011    0.0  1997    0.0  1998    0.0  1987    3.2  2018   10.6  2010   16.9  1995    47.6  1991    19.3  2021     0.0  2011    12.9  1971    71.6  1965
   17.2  1977   19.4  1981   13.3  1965    7.4  1990    1.4  1981    0.0  1964    0.0  1998    0.0  1999    0.0  1972    2.9  1987   10.5  1973   16.2  1996    47.2  1982    18.7  1976     0.0  1964    12.5  2005    71.6  1968
   17.0  1966   17.4  1978   12.9  2006    7.1  1986    1.4  2021    0.0  1969    0.0  1999    0.0  2000    0.0  2003    2.8  1964   10.0  1969   15.9  1963    46.0  1996    17.6  1965     0.0  1969    10.7  1983    71.3  1981
