Areal values from HadUK-Grid 1km gridded climate data from land surface network
Source: Met Office National Climate Information Centre
Monthly, seasonal and annual total duration of bright sunshine for Midlands
Areal series, starting in 1919
Last updated 01-Jan-2022 11:00
    jan  year    feb  year    mar  year    apr  year    may  year    jun  year    jul  year    aug  year    sep  year    oct  year    nov  year    dec  year     win  year     spr  year     sum  year     aut  year     ann  year
   74.3  1952  118.1  2019  169.1  2012  233.9  2020  293.5  2020  284.3  1957  289.2  2006  264.0  1995  179.0  1929  134.0  2003   94.6  2006   75.4  2014   225.3  2015   678.0  2020   721.7  1976   370.5  1971  1690.3  2003
   73.1  2001  115.7  2008  166.3  1929  221.0  2021  255.6  1989  272.9  1940  269.9  2013  259.6  1947  175.7  1959  132.7  1919   90.0  2005   73.3  2001   220.8  2000   574.5  1948   716.1  1989   362.9  2003  1678.4  1995
   72.5  2015  104.8  1988  163.6  2003  218.5  2015  249.8  2018  260.1  1975  268.0  2018  236.4  1989  172.0  1964  130.5  1921   85.4  1977   68.2  2008   213.8  2019   567.4  1990   681.2  1975   353.4  1959  1662.8  1989
   71.9  2012  104.5  1949  161.8  1995  216.0  2007  243.4  1992  259.7  1960  259.9  1955  230.8  1976  171.0  1991  129.9  1959   84.6  1996   63.7  2009   210.9  2001   538.1  2003   672.6  1995   349.8  1986  1635.6  2018
   71.6  1959   99.1  2016  157.9  1967  213.4  1984  240.5  1948  248.3  1925  258.9  1990  219.6  1975  169.8  2020  128.1  1997   84.1  1971   58.3  1980   209.9  2008   538.1  2011   667.0  2018   345.2  1999  1626.0  2020
   70.6  2003   97.1  1970  156.1  2009  209.2  2011  234.5  1943  246.1  1969  255.6  1989  217.1  1933  166.4  2019  127.6  1971   83.9  1925   58.1  2012   206.0  1952   533.1  2009   654.7  1959   341.8  1921  1619.1  1949
   69.0  2000   96.5  2018  155.6  1933  206.8  1942  233.6  1990  242.0  1976  248.9  1976  214.8  1983  166.3  1986  126.0  2008   82.0  1973   57.7  1967   205.4  2018   531.4  1995   645.3  1984   341.1  1929  1605.5  1990
   66.9  1984   96.5  2000  152.0  1948  192.7  1990  233.4  1997  238.4  1950  247.8  2014  209.0  1990  164.1  2003  124.1  2018   81.8  2017   57.4  2013   201.4  1949   528.4  1929   643.2  1949   338.4  2006  1604.6  1959
   66.6  1991   91.9  1989  150.7  2020  190.5  2010  230.0  1956  237.2  1949  246.9  1984  207.4  2005  163.7  1933  122.8  1995   80.7  2016   56.8  1929   198.9  2014   519.2  2007   642.5  2006   334.7  2018  1580.2  1921
   66.4  1994   91.3  2003  147.5  2007  190.3  1945  228.5  1919  236.4  1996  245.3  1934  205.5  1991  163.3  2015  120.0  1999   80.5  1988   56.4  2019   196.9  2003   518.5  2010   641.9  1996   333.8  1964  1562.7  1929
   65.2  1965   89.9  2001  144.1  1961  188.2  2002  228.4  1922  235.5  2010  243.4  1935  203.4  1959  161.4  1954  117.0  1955   77.6  2013   55.6  2004   195.2  2012   516.6  1921   636.0  1933   320.9  2016  1557.1  2006
   63.8  2007   89.1  1998  141.8  1955  186.8  1921  223.8  1929  233.4  1970  236.0  1928  202.9  2016  160.5  1940  116.6  2011   77.2  1947   55.5  2005   192.3  1989   516.6  1982   624.9  2013   320.3  1975  1551.1  2019
   62.6  2010   88.7  2004  141.2  1990  184.0  1969  223.7  1921  232.1  2018  232.9  1999  200.9  2007  159.6  1921  116.6  2010   77.0  1989   55.3  1999   191.0  2004   514.9  1943   623.3  2014   317.1  2012  1543.9  2009
   61.8  1962   87.5  1934  138.9  2014  183.0  2003  220.6  1977  226.5  1921  230.1  1921  199.8  2019  159.4  2004  115.8  1931   76.7  1985   55.2  1962   190.1  2020   511.5  2015   622.9  1940   316.6  2007  1542.7  2007
   60.8  1989   83.9  2014  138.2  1938  182.1  1948  220.0  1949  226.1  1962  227.7  1959  198.2  1998  158.8  1971  111.9  1981   76.5  1986   55.1  2017   187.5  2002   505.8  1997   619.7  1935   316.2  1928  1542.1  2014
   59.1  1999   83.8  1943  136.4  1924  181.1  1951  218.7  2005  224.2  1989  225.2  1996  197.5  2003  158.5  1928  111.5  1961   76.4  1923   55.0  1946   186.0  1933   499.1  1956   600.5  1983   315.6  2011  1532.5  2015
   59.0  2009   82.5  1933  135.6  1931  175.8  1946  216.8  1982  223.7  1959  224.9  1971  194.6  1984  156.5  1999  111.2  1922   75.4  1975   54.9  1984   185.9  2009   497.9  2017   600.0  1969   315.4  1981  1529.7  1955
   59.0  1963   80.0  1952  135.5  1982  175.5  1995  216.7  1971  219.7  2015  221.4  1983  194.4  1919  155.9  2012  110.4  1964   75.4  1969   53.3  1965   182.2  1988   495.3  2019   598.9  1928   314.5  1996  1527.5  1933
   58.7  1967   79.4  1999  134.1  2011  175.4  2017  215.8  1966  218.1  1973  220.2  1995  194.2  1953  155.5  1979  110.1  1930   73.2  1972   53.3  2003   181.0  1962   487.5  2016   598.0  1921   314.4  1919  1520.3  2016
   58.4  1990   79.0  2020  130.7  2019  168.5  2019  215.8  1980  217.1  1967  217.8  1969  194.1  1949  155.2  1981  108.1  1983   72.8  1938   52.9  2011   180.7  2010   487.0  1955   594.7  1934   314.2  2010  1516.3  2010
   57.6  2014   79.0  1973  130.1  2010  167.4  1954  213.8  1959  216.5  1951  217.7  1997  193.1  1935  152.9  2006  107.5  2016   71.7  1978   52.8  2016   180.1  1963   486.1  1949   588.5  1994   314.0  1979  1513.1  2011
   57.5  1933   78.5  1996  127.8  1965  165.5  2016  212.4  2009  215.6  1942  215.8  1994  192.4  1923  151.1  2005  107.0  1986   69.5  2010   52.3  1976   177.7  2016   484.7  2012   580.6  1947   313.8  1955  1507.2  2013
   57.5  1986   78.5  1939  127.5  1973  164.7  2009  211.1  2001  213.5  1961  215.5  1933  188.2  2000  148.7  2002  106.2  1996   69.3  1965   51.8  1951   176.9  1999   484.5  1953   577.3  1950   313.6  2005  1504.1  1975
