Areal values from HadUK-Grid 1km gridded climate data from land surface network
Source: Met Office National Climate Information Centre
Monthly, seasonal and annual number of days in the month with air frost (minimum temperature below zero) for Northern Ireland
Areal series, starting in 1960
Last updated 01-Jan-2022 10:59
    jan  year    feb  year    mar  year    apr  year    may  year    jun  year    jul  year    aug  year    sep  year    oct  year    nov  year    dec  year     win  year     spr  year     sum  year     aut  year     ann  year
   27.0  1963   22.7  1963   18.5  1962   11.4  1983    5.7  1979    0.4  1962    0.0  1971    0.0  1964    0.8  1974    5.9  1993   15.1  1985   23.1  2010    59.5  1963    25.2  1962     0.4  1962    15.2  1993    93.1  2010
   24.7  1979   21.8  1968   16.2  2013    9.3  1968    3.5  1996    0.4  1975    0.0  1960    0.0  2014    0.6  1986    3.8  1981   14.7  1969   19.1  1961    51.7  2010    24.0  1979     0.4  1975    15.2  1985    84.7  1979
   24.5  1985   21.0  1986   14.7  1969    8.9  1986    2.9  1968    0.2  1991    0.0  2007    0.0  1982    0.6  1972    3.3  1992   12.7  2010   17.2  1976    51.5  1979    23.3  2013     0.2  1991    15.1  2010    78.7  1969
   19.0  1984   19.2  1960   13.6  1979    8.6  2021    2.9  1982    0.0  1972    0.0  1994    0.0  1962    0.5  2020    2.8  2003   12.5  1996   16.5  2009    46.4  2011    23.2  1969     0.0  1972    15.0  1969    78.4  1963
   17.6  1980   18.5  2010   13.0  1970    8.5  1970    2.6  2021    0.0  1987    0.0  1995    0.0  1966    0.4  1975    2.7  1987   11.9  1965   16.2  1981    45.6  1991    21.5  1970     0.0  1964    12.5  1996    73.0  1985
   17.2  2011   18.2  1996   12.6  2010    8.0  1969    2.5  1973    0.0  1989    0.0  1996    0.0  1975    0.3  1971    2.5  2018    9.3  1993   15.7  1960    44.6  1985    20.3  1968     0.0  1987    12.3  1965    69.2  1968
   16.9  1977   18.0  1969   12.5  2018    7.7  1989    2.4  1967    0.0  1999    0.0  1997    0.0  1977    0.3  2007    2.5  1988    8.7  1977   14.9  1982    44.5  1977    19.6  2010     0.0  1989    10.5  1973    67.9  1986
   16.8  2010   17.7  1979   11.5  1995    6.8  2013    2.4  1977    0.0  2015    0.0  1998    0.0  2020    0.3  1991    2.5  2002    8.5  1966   14.1  2008    42.7  1986    18.5  1986     0.0  1999    10.0  1966    64.2  1970
   16.0  1991   17.4  1970   11.5  1980    6.5  1962    2.4  1984    0.0  1998    0.0  1999    0.0  2002    0.2  2012    2.4  1973    8.4  2016   13.6  1968    41.6  1969    17.9  1984     0.0  2015     9.7  1988    61.1  1965
   15.9  1965   17.2  1991   11.4  1987    6.4  1966    1.8  2020    0.0  2012    0.0  2000    0.0  2005    0.1  1969    2.3  2010    8.1  1973   13.0  1995    41.1  1970    17.2  1973     0.0  1998     8.9  1977    61.0  1996
