Areal values from HadUK-Grid 1km gridded climate data from land surface network
Source: Met Office National Climate Information Centre
Monthly, seasonal and annual total precipitation amount for Northern Ireland
Areal series, starting in 1862
Last updated 01-Jan-2022 11:00
    jan  year    feb  year    mar  year    apr  year    may  year    jun  year    jul  year    aug  year    sep  year    oct  year    nov  year    dec  year     win  year     spr  year     sum  year     aut  year     ann  year
  197.8  1877  231.9  2020  160.7  2019  143.8  1961  154.4  1916  182.8  1897  191.4  1936  206.6  2008  191.2  1950  253.1  1870  235.6  1890  232.2  1919   522.1  1877   353.1  1986   421.8  1912   471.9  2000  1452.6  1872
  190.2  1928  194.9  1990  153.3  1903  127.4  1867  144.9  1981  178.2  2012  174.4  1867  191.2  1985  179.9  1946  210.1  2011  216.7  2009  229.8  1876   504.9  2016   346.1  1947   415.1  1879   463.0  2011  1410.1  2002
  186.5  2008  179.1  1923  144.9  1992  124.8  1993  136.5  1993  153.4  1912  172.1  1896  187.3  1889  179.6  1999  205.7  1990  191.9  2002  222.3  1999   489.3  2014   329.7  2006   410.4  1958   456.6  1872  1370.6  1928
  183.1  1984  170.7  2014  143.3  1897  124.5  1950  135.6  2002  148.1  2007  165.1  1882  182.2  1956  178.0  1962  200.9  2002  190.2  2015  220.2  2015   485.0  1994   328.2  1993   405.2  2008   438.3  1944  1339.8  1903
  182.1  1948  165.4  2002  143.3  2006  124.0  1899  131.7  1925  145.9  1931  163.8  1960  181.1  1910  174.1  1981  189.4  1916  180.5  1963  213.7  1929   459.0  1920   321.2  1981   403.5  1888   435.0  2002  1323.6  2020
  180.7  1942  161.5  1977  139.9  1988  119.8  1898  129.5  1986  145.7  1958  163.0  1879  180.9  1930  163.6  1918  188.1  1976  177.6  2014  200.1  1914   437.2  1984   320.6  1916   403.5  1897   431.6  1954  1319.1  2015
  179.4  1988  161.4  1910  137.4  1947  118.8  1991  127.9  2003  143.0  1907  160.2  1888  178.4  1923  162.0  2010  182.2  1998  171.2  1900  198.0  1978   428.8  1915   315.9  1972   398.4  2020   420.2  1875  1317.7  1923
  179.3  2018  161.1  1966  133.2  2008  117.2  1916  127.8  1892  141.3  1879  155.6  1950  175.2  1891  161.4  1872  182.1  1917  170.5  1882  196.9  1993   426.5  1995   312.1  1907   395.3  2012   418.6  1981  1298.9  1877
  175.5  2016  145.7  1869  131.0  1981  116.4  1909  124.3  1924  136.7  1928  154.6  1871  171.9  1992  157.8  1934  180.9  2000  168.2  1951  179.6  1911   417.0  1937   311.2  2002   388.8  1910   414.6  1918  1292.6  2014
  174.2  1903  142.3  1997  130.6  1994  113.4  1996  123.4  2015  131.6  1863  146.9  1880  169.5  1943  156.5  1985  179.5  1903  166.8  1979  175.0  1966   412.9  1990   307.8  1913   388.8  1956   413.1  1938  1275.8  2008
  173.6  2014  137.5  1914  129.1  1908  112.4  1940  121.5  1878  128.0  1872  141.8  1938  168.7  1905  152.6  1974  178.2  1938  163.1  1982  174.9  1915   412.4  2020   302.3  1992   383.7  1985   409.5  1935  1274.6  1954
  164.7  1926  137.0  1937  128.1  1914  112.3  1871  121.3  1967  127.6  1990  136.3  2010  166.2  1929  152.6  1924  173.3  1867  160.6  1931  165.7  1872   412.3  1923   296.1  1920   383.0  2007   408.7  1995  1269.0  1990
  164.1  1872  136.0  2011  125.7  1940  111.9  1925  120.5  1902  125.7  1888  135.5  1953  165.1  2009  151.0  1885  170.4  1995  158.1  2000  164.8  1948   410.8  1869   296.0  1925   373.8  1950   408.0  1967  1266.3  1998
  163.3  1937  134.1  1894  125.7  1868  111.9  1913  120.2  1907  124.5  1900  135.3  1924  163.9  1892  150.3  1944  165.3  1967  158.1  1869  164.1  1899   401.6  1894   294.6  1862   370.3  1960   401.7  1998  1265.9  1966
  163.1  1974  132.8  1994  124.9  1989  111.9  1880  117.9  1945  123.9  1966  134.0  1988  160.5  1917  147.8  1883  162.8  2020  156.7  1938  163.7  1986   400.9  2000   293.8  1899   366.7  1882   400.5  1890  1261.9  1900
  161.0  1884  130.4  1970  123.2  1912  110.8  1922  117.3  1976  123.2  2020  133.6  2009  158.3  1903  146.3  2017  159.5  1930  155.9  1939  163.2  1868   389.0  1958   293.8  2019   365.0  1924   400.4  1870  1261.6  2011
  158.6  1986  129.5  1918  122.4  1905  110.3  2009  117.1  1972  119.7  2002  133.3  1958  156.5  1904  144.8  1967  159.2  1954  153.4  1995  163.1  1934   388.5  1916   290.0  1909   358.0  2009   398.6  1928  1257.1  2009
  158.2  1866  127.7  1925  121.5  1978  109.0  1992  116.6  1906  118.6  1982  131.5  1932  155.2  1897  143.3  1896  158.9  1928  151.3  1872  161.2  1959   384.1  1966   289.1  1897   352.7  1900   396.2  1917  1255.0  1999
  157.4  1975  127.1  1928  117.8  1986  106.7  1989  116.3  2021  117.7  1945  130.5  1873  155.1  1912  142.8  1942  156.6  2013  151.0  1944  158.9  1932   383.3  1922   288.9  1966   352.2  1930   394.7  2006  1243.8  1920
  155.4  1994  124.0  1915  117.1  1907  105.8  1986  113.9  2006  117.6  1998  129.7  2007  153.9  2020  142.5  1968  156.5  1920  150.8  1947  155.9  2011   382.3  1928   286.9  1867   352.0  1936   392.9  1963  1242.3  1988
  153.4  1894  124.0  1876  116.6  1896  105.0  1947  110.7  1886  116.2  1955  129.6  1915  153.1  2019  141.6  1908  154.0  1865  149.0  1877  153.0  1912   381.1  1912   286.4  1903   351.5  1946   392.5  1968  1238.9  1950
  152.7  1995  123.9  1922  116.5  1876  103.0  2000  110.6  1931  114.1  1980  128.2  1939  152.9  1950  138.7  1957  153.2  1875  148.5  1917  152.9  2000   378.0  1974   286.1  1908   351.1  1928   386.9  1982  1236.3  2000
  148.8  1862  123.8  1958  116.4  1983  102.2  2002  107.9  1879  111.6  1935  125.6  1998  151.4  1928  137.4  2006  151.7  1862  148.1  1954  152.9  1869   377.9  2018   283.2  2015   349.8  2017   384.2  1970  1233.3  1924
  147.1  1999  121.7  1995  114.5  1963  101.4  1998  107.8  1954  110.5  1938  125.5  1957  150.5  1873  136.0  1879  151.3  1863  147.4  1928  152.6  1949   376.1  1883   280.7  1963   346.4  1896   381.0  1883  1225.3  1981
  147.0  1875  121.3  1904  114.0  1972   99.8  1923  106.9  2011  109.6  1881  124.4  1940  150.0  1942  133.9  1927  150.8  1981  145.7  2010  152.1  1994   374.9  1900   279.6  1979   345.9  1931   378.8  1976  1225.0  1882
  146.6  1921  120.9  1881  114.0  1982   98.2  1966  105.6  1899  108.6  2004  122.6  2008  149.0  1924  132.8  2000  149.5  1996  145.5  1864  150.0  1965   374.9  2002   277.1  1906   342.5  2019   378.5  1979  1220.1  1958
  145.6  1920  120.6  1865  113.5  1980   97.2  1999  105.3  2013  106.6  2019  122.5  2017  147.2  1895  132.6  1935  149.1  1968  144.2  2018  148.6  1886   374.3  1960   275.0  2009   336.3  1892   378.1  1863  1216.0  1912
  144.5  1913  119.5  1954  112.7  1991   96.2  1932  105.2  1969  106.3  1947  122.3  1862  145.9  1893  129.6  1875  146.1  2008  144.1  1991  146.3  1957   373.1  1867   273.2  1940   334.3  1998   377.4  1900  1213.7  1960
  144.4  1883  118.8  1916  112.4  1909   96.2  1920  105.2  1997  103.8  2017  121.9  1903  144.4  1946  128.8  1980  145.7  1989  142.9  1888  145.7  1891   373.0  1926   272.1  2005   332.2  1903   377.2  1950  1210.4  2019
  143.4  1867  117.1  1935  108.7  1928   93.4  1862  104.7  1865  103.5  1882  121.3  2020  143.5  1986  127.3  1863  145.3  1929  139.6  1969  145.0  2013   371.0  1977   270.8  2013   331.5  1907   373.8  1930  1200.9  1967
  142.2  1993  115.6  1885  108.4  1995   92.2  2005  103.7  1862  103.1  1896  120.0  1931  142.1  1934  127.1  1923  144.9  1988  139.5  1992  144.9  1982   368.1  2021   268.4  1967   328.5  1943   373.5  2009  1198.5  1986
  141.7  2015  115.6  1872  107.3  1987   91.0  1924  103.6  1947  103.0  2011  119.6  2015  140.6  1883  126.4  1970  143.8  1872  138.2  1940  143.9  2014   368.1  2015   266.3  1886   327.2  1929   372.9  1923  1196.5  1918
