Areal values from HadUK-Grid 1km gridded climate data from land surface network
Source: Met Office National Climate Information Centre
Monthly, seasonal and annual total duration of bright sunshine for Northern Ireland
Areal series, starting in 1919
Last updated 01-Jan-2022 10:59
    jan  year    feb  year    mar  year    apr  year    may  year    jun  year    jul  year    aug  year    sep  year    oct  year    nov  year    dec  year     win  year     spr  year     sum  year     aut  year     ann  year
   75.0  1959  102.3  2004  161.7  1929  217.0  2021  272.4  1946  258.6  1957  246.9  1955  262.3  1947  165.2  1991  113.8  1939   87.7  1925   62.0  2001   201.7  2011   559.0  2020   611.0  1995   334.8  1986  1461.3  1975
   71.2  2011  101.0  1960  161.7  1924  209.3  2015  256.4  1975  258.6  1940  234.3  1989  254.0  1976  160.9  1933  111.4  1987   79.4  1950   61.4  2010   186.9  2001   541.5  1975   559.9  1968   313.5  1987  1442.5  1955
   66.0  1928   98.1  1996  154.2  2003  208.6  1922  252.4  2017  253.9  1949  222.8  2013  236.3  1995  159.8  1986  110.7  1952   76.5  2010   58.9  1935   185.5  1957   539.3  2007   557.9  1976   298.2  2010  1432.0  1919
   65.9  2001   96.9  2018  146.0  1982  207.5  1942  245.3  2000  245.0  1925  210.3  1990  195.5  1968  153.1  1987  109.3  1923   76.3  2016   57.7  1960   181.1  1960   529.7  1962   550.2  1977   295.8  1919  1426.3  1959
   65.5  1957   96.2  1968  145.0  1923  207.0  2020  239.5  1935  237.7  1939  207.3  2006  186.9  1977  147.9  1996  108.8  1929   75.7  1927   52.7  1946   180.8  2018   527.3  2008   541.6  1989   295.0  1959  1414.9  1995
   65.1  1939   94.6  1957  143.2  1975  205.6  1962  238.2  1927  231.5  2009  201.7  1934  183.4  1997  147.2  1928  107.1  1922   75.0  1935   52.5  1929   178.1  2004   522.0  1948   533.0  1975   292.1  1923  1410.6  2010
   62.4  1922   93.5  1970  142.0  1955  204.6  1974  237.2  1984  229.1  1930  195.7  1943  182.5  2003  142.2  1949  106.2  2019   74.3  1974   51.0  1938   177.4  1961   521.8  1955   531.1  1926   291.8  1991  1378.4  2006
   60.7  1943   87.9  2001  134.1  1922  195.1  2011  235.8  2008  227.4  1960  191.2  1935  173.5  1931  138.6  1959  106.1  1926   73.4  1947   49.6  2012   176.4  2003   511.0  1929   519.2  1947   288.7  1927  1375.6  1989
   60.5  1991   85.6  2006  133.0  2015  193.7  2007  235.4  1977  226.5  1975  182.5  1984  170.5  1919  135.8  1971  105.3  1986   73.3  1923   48.3  2009   173.7  2002   506.5  1946   513.2  1925   282.3  1952  1374.9  1977
   58.9  1965   83.1  2003  129.6  2010  188.9  1938  234.7  1928  226.5  2018  179.4  1919  169.8  2000  133.6  1997  105.0  2010   73.0  1948   46.1  1990   172.4  1946   494.4  2015   512.0  1960   279.3  1929  1362.3  1968
   58.9  1963   82.2  1941  128.6  2020  187.9  1957  232.9  1948  219.2  1995  178.6  1977  164.8  1944  132.7  1955  103.8  1998   72.8  2005   46.1  1948   172.3  1968   487.9  1928   511.0  2018   279.2  1971  1362.0  1935
   58.8  2003   82.2  2008  125.7  1948  184.4  1969  225.1  2007  215.3  1921  178.4  1982  164.5  2010  131.8  1972  102.7  1931   72.0  1976   46.0  1923   170.6  1936   486.4  1922   508.2  2006   278.1  1974  1361.6  1960
   58.6  1933   81.7  1989  124.5  2004  177.3  1955  224.2  1989  207.9  1926  177.2  1983  157.8  1926  131.0  1921  100.9  2015   70.0  1977   45.9  1920   169.3  1928   486.0  1984   505.7  1919   277.5  2019  1361.1  2018
   58.6  2015   80.1  2013  121.7  1937  175.6  1984  223.3  2020  207.3  1959  177.1  1999  156.7  1974  128.4  1919  100.8  1966   69.8  1919   45.7  1963   167.1  1963   485.7  2010   504.8  1969   276.4  1933  1358.5  2003
   58.4  1978   78.9  2019  120.8  1999  174.9  1954  221.1  1980  207.0  1968  175.5  2021  154.6  1945  127.9  1995   99.5  1961   69.7  1964   45.2  2019   166.8  1951   485.3  2011   497.8  1934   275.3  1996  1357.4  2009
   57.7  1961   78.7  1944  120.5  2007  174.6  2008  218.3  2016  206.0  1951  174.4  2018  154.0  1975  127.6  1964   98.0  1994   69.6  1986   44.9  1932   165.7  1959   484.4  1959   497.2  2013   273.6  1949  1353.8  1928
   57.5  1985   77.5  1932  120.3  1962  172.4  1936  218.3  1943  205.1  1969  170.1  1971  153.8  1938  125.4  2015   97.6  1919   69.1  2013   44.9  1945   165.5  2015   483.8  2021   497.0  1949   273.2  1998  1351.3  1949
   57.5  2021   77.1  1955  119.8  2011  170.4  2003  216.0  2018  202.8  1932  166.0  2017  153.7  1928  125.2  1954   97.1  1927   68.4  2003   43.9  2006   162.1  2010   481.0  2016   494.0  2009   271.3  1926  1348.1  1927
   57.0  1946   77.1  1967  118.9  1933  166.4  1925  215.6  1959  196.1  1970  165.4  1926  152.9  1991  124.0  1929   95.5  2003   68.1  1930   43.9  1965   162.0  1996   480.4  1942   493.8  1955   271.1  1928  1341.0  2015
   56.9  1971   76.7  1951  118.8  2017  166.4  2013  214.5  1950  194.4  1934  163.0  1969  152.4  2019  123.3  2002   95.4  1981   67.4  1942   43.8  2014   161.7  1991   478.6  1927   492.2  1940   270.6  1972  1328.0  1950
   56.7  1919   75.6  1919  117.6  1950  166.0  1945  208.8  1997  190.4  1989  158.5  1972  150.8  2014  122.2  2009   95.4  1956   67.3  1990   43.5  1970   161.7  2007   477.9  1982   483.5  1921   269.8  2012  1321.2  2007
   55.4  1931   75.4  1949  117.4  2012  165.8  1981  204.7  1937  189.7  2006  158.2  1966  150.5  1960  121.6  1930   95.3  2020   67.2  1965   43.0  1967   161.3  2020   477.8  1935   475.8  1939   268.7  1966  1317.1  1984
   55.3  1958   75.2  1975  117.1  2002  165.7  1951  203.8  1962  188.3  1936  157.6  1963  150.1  2012  121.5  2020   94.8  2008   67.2  2006   42.3  1952   160.2  1967   475.5  2017   475.6  1959   268.1  1961  1315.9  1929
   53.9  1988   74.1  2020  117.0  2008  165.2  1968  203.7  1929  187.6  2010  157.4  1968  150.1  1962  121.4  1934   94.7  2013   66.4  1959   41.9  1995   160.0  1979   468.0  1953   473.5  2014   267.8  1994  1310.7  1957
