Areal values from HadUK-Grid 1km gridded climate data from land surface network
Source: Met Office National Climate Information Centre
Monthly, seasonal and annual number of days in the month with air frost (minimum temperature below zero) for Scotland
Areal series, starting in 1960
Last updated 01-Jan-2022 10:59
    jan  year    feb  year    mar  year    apr  year    may  year    jun  year    jul  year    aug  year    sep  year    oct  year    nov  year    dec  year     win  year     spr  year     sum  year     aut  year     ann  year
   25.9  1979   25.7  1963   21.9  1969   16.8  2021    8.2  1979    1.2  1975    0.1  1965    0.3  1977    2.5  1986    9.5  1992   19.5  1985   24.8  2010    67.7  1963    36.8  1979     1.3  1964    23.4  1993   112.0  1979
   25.7  1963   24.4  1968   21.5  2013   14.6  1970    6.4  1995    1.1  1991    0.1  1973    0.2  1973    2.2  1974    8.4  1981   19.3  1969   23.9  1981    64.3  2010    36.0  2013     1.2  1975    21.7  1985   110.2  2010
   23.9  1985   24.2  1986   20.7  1979   14.2  1983    6.4  1996    1.0  1964    0.1  1962    0.2  1964    2.0  1972    7.8  1993   16.6  1996   22.2  1976    60.6  1979    35.1  1969     1.1  1991    20.2  1969   107.3  1969
   23.5  1984   22.6  1969   20.7  1962   14.0  1986    6.1  1968    0.8  1998    0.1  1966    0.2  1999    1.7  1993    6.9  1973   16.1  1965   22.2  2009    56.8  1977    34.8  1970     0.8  1977    19.5  1992    99.2  1981
   23.0  2021   21.7  1979   19.9  1970   13.2  1966    5.9  1982    0.7  1989    0.0  2000    0.1  1966    1.6  1975    6.7  2012   15.0  2010   21.1  1961    54.2  1986    33.2  1962     0.8  1998    19.3  1973    98.1  1965
   20.9  1987   21.5  1970   19.0  1987   11.8  2013    4.9  1994    0.6  1985    0.0  2004    0.1  1962    1.2  1991    6.7  2002   13.9  1993   19.6  1995    53.4  1970    32.0  1995     0.7  2012    19.0  2010    98.0  1968
   20.9  2010   21.4  1983   18.6  1995   11.2  1969    4.7  2012    0.6  1977    0.0  1961    0.1  2012    1.2  1979    6.6  2003   13.4  2016   18.9  1993    53.3  1968    30.6  1975     0.7  1989    18.0  1965    97.1  1985
   20.6  1978   21.3  2010   17.8  1975   10.9  1981    4.5  1977    0.5  2012    0.0  1964    0.1  1986    1.1  2020    5.6  1987   13.0  1966   18.5  1960    53.0  2011    30.2  1968     0.6  1962    17.8  2019    96.4  1963
   19.7  1965   20.2  1960   17.6  1965   10.9  1962    4.5  2010    0.5  1978    0.0  1974    0.1  2014    1.0  2007    5.4  1980   12.7  2019   18.4  1996    52.6  1994    28.4  2021     0.6  1985    17.2  1971    94.6  1986
   19.3  1997   19.8  1996   17.2  2001   10.8  1968    4.4  2021    0.5  2015    0.0  1992    0.1  2016    0.9  1960    5.1  2019   12.4  1971   18.3  1964    52.5  1991    27.8  1965     0.6  1978    17.0  1996    94.4  1970
