Areal values from HadUK-Grid 1km gridded climate data from land surface network
Source: Met Office National Climate Information Centre
Monthly, seasonal and annual number of days in the month with precipitation amount >= 1mm for Scotland
Areal series, starting in 1891
Last updated 01-Jan-2022 11:00
    jan  year    feb  year    mar  year    apr  year    may  year    jun  year    jul  year    aug  year    sep  year    oct  year    nov  year    dec  year     win  year     spr  year     sum  year     aut  year     ann  year
   27.8  1928   23.9  1990   26.2  1903   22.0  1904   22.8  1906   24.1  1907   23.8  1988   24.9  1985   25.0  1950   27.2  1903   24.7  1939   26.6  1900    69.4  2014    57.3  1920    62.6  1907    68.5  1954   232.3  1903
   25.2  1900   23.1  2002   25.1  1994   21.5  1899   22.4  1925   21.9  1912   23.1  1953   24.8  1903   23.5  1899   25.3  1917   23.5  1951   25.9  1929    67.6  1894    56.7  1925    60.6  1946    66.0  1923   228.2  1923
   24.7  1921   23.1  2020   24.4  1897   21.1  1927   22.4  1924   20.5  2002   22.9  1940   23.8  1891   22.7  1954   25.2  1932   23.3  1938   25.6  1974    67.5  1916    55.6  1986    60.6  1985    64.7  1938   225.4  1900
   24.6  1993   22.8  2000   24.1  1905   20.2  1977   21.7  1986   20.2  1927   22.7  1924   23.7  1907   22.1  1918   24.7  1935   23.2  1992   25.4  2015    66.0  1995    55.5  1905    59.9  1924    64.4  1917   220.2  1928
   24.6  2008   22.5  1894   24.0  1921   20.1  1947   21.4  2011   20.0  1928   22.2  1920   23.2  1895   21.5  1980   24.7  1923   22.6  1970   25.3  2011    65.9  2016    55.4  1903    56.5  1928    64.2  1935   216.8  1916
   24.6  1975   22.3  1925   22.9  1992   19.9  1932   20.9  2003   19.6  1946   22.1  1931   22.8  1923   21.4  1946   24.4  1967   22.5  1959   25.0  1911    65.2  1937    55.4  1979    56.3  1903    63.7  1903   215.8  1906
   24.4  1990   22.3  2014   22.5  1913   19.8  1934   20.6  1902   18.9  2004   21.3  1900   22.6  1930   21.4  1927   24.3  1930   22.4  2015   25.0  1898    64.7  1922    55.3  1902    55.8  1895    63.0  2000   214.0  1954
   23.9  1983   22.2  1997   22.4  1967   19.4  1950   19.9  1894   18.8  1938   21.2  2015   22.4  1992   21.2  1974   24.3  1938   22.4  1940   24.5  1912    64.7  1920    54.7  1967    55.7  1927    61.7  1984   213.5  1905
   23.7  1994   21.6  1918   22.3  1914   19.0  1985   19.3  1945   18.7  1991   21.1  1936   22.4  1943   21.1  1891   23.8  1983   22.4  1929   24.5  1949    64.3  2000    54.7  1904    55.7  1923    61.5  1982   212.2  1927
   23.4  2016   21.6  1910   22.3  1912   19.0  2012   19.3  1967   18.7  1947   21.0  1915   22.0  1904   21.1  1923   23.5  1954   22.4  1954   24.5  1966    63.7  2020    54.1  1913    55.5  2017    61.3  1950   211.8  1938
   23.3  2004   21.5  1931   21.8  1983   18.8  1910   18.9  2015   18.6  1935   20.6  1950   22.0  1941   20.9  2011   23.4  1906   22.3  1986   24.2  1915    61.4  1923    53.5  1934    55.1  1950    60.9  1900   210.3  1904
   23.3  2007   21.0  1989   21.7  1989   18.7  1959   18.9  1963   18.5  1945   20.5  1932   21.7  1960   20.6  1896   23.3  1934   22.2  2000   24.1  1919    61.3  1931    53.5  1906    53.8  1922    60.9  1981   209.7  1926
   23.2  2014   21.0  1903   21.6  2008   18.7  1949   18.7  1916   18.4  1896   20.3  1939   21.6  1929   20.6  1908   23.2  1929   22.1  1944   24.0  1986    60.9  1999    52.6  2006    53.6  1960    60.7  2017   209.6  1907
   23.0  1916   20.8  1937   21.4  1978   18.4  1920   18.7  1926   18.4  1972   20.3  1985   21.5  1924   20.5  1978   23.1  1900   22.0  2009   23.8  1959    60.7  1900    52.5  1992    52.9  1930    60.2  1974   209.6  1950
   23.0  1974   20.5  1995   21.1  1896   18.3  1992   18.6  1920   18.3  1948   20.2  2009   21.4  2009   20.3  1934   23.0  2001   21.8  1928   23.8  2013    60.6  1926    52.4  1963    52.9  1900    60.1  1970   208.9  2011
   23.0  1938   20.3  1945   21.0  1902   18.2  1900   18.2  1979   18.2  2017   20.2  1946   21.3  1951   20.2  1982   22.9  2020   21.6  1913   23.5  1901    60.5  1974    52.4  1927    52.8  2009    59.7  1980   208.1  1898
   22.9  1995   20.3  1914   20.7  1988   18.2  1905   18.1  1976   18.1  1919   19.9  2016   21.1  1910   19.9  1985   22.9  2000   21.5  1979   23.4  1954    60.3  1925    52.2  1947    52.7  1912    59.4  1944   206.8  1967
   22.8  1922   20.3  1916   20.5  1995   18.0  1898   18.1  1892   17.9  1931   19.9  1922   21.1  1962   19.8  1935   22.8  1996   21.4  1914   23.4  1999    60.2  1943    52.0  1899    52.6  1943    59.4  1930   206.3  1934
   22.8  1920   19.9  1939   20.2  1920   18.0  1975   18.0  2006   17.5  1980   19.8  1903   21.1  1892   19.8  2018   22.6  2021   21.3  1905   23.2  1893    59.1  1945    51.9  1916    52.4  1953    59.3  1929   206.2  1924
   22.7  1937   19.7  1915   20.2  1979   17.9  2004   18.0  1904   17.1  1944   19.8  2010   21.1  1917   19.8  1975   22.4  1942   21.3  1982   23.2  1993    59.0  1903    51.6  1897    52.2  1938    59.1  1932   205.9  1998
   22.7  1927   19.6  1898   20.0  1895   17.7  1964   17.8  2002   17.1  1966   19.6  1960   20.8  1946   19.7  1948   22.2  1961   21.2  1906   23.2  1980    58.9  1967    51.2  1932    52.2  1896    58.7  2011   205.8  1931
   22.7  1926   19.6  1908   19.7  2019   17.6  1931   17.6  2007   16.9  1994   19.5  1923   20.8  1956   19.7  1932   22.1  2008   21.2  1919   22.7  1923    58.8  1994    51.2  1983    52.2  1929    58.6  1899   205.7  2004
   22.6  1948   19.4  1922   19.6  1986   17.6  1915   17.6  1921   16.9  1943   19.3  1909   20.8  1905   19.7  1984   22.1  1909   21.2  1991   22.7  1910    58.6  2007    50.8  1921    52.2  2015    58.5  1905   205.6  2015
   22.6  2015   19.3  1905   19.6  1939   17.5  1925   17.5  1969   16.7  1965   19.3  1895   20.6  2019   19.6  1925   22.0  2011   21.1  1947   22.7  2020    58.6  1912    50.6  1926    52.1  2019    58.4  1927   205.4  2017
   22.6  1984   19.2  2011   19.6  1908   17.5  1970   17.3  2005   16.7  2020   19.2  1970   20.5  1988   19.5  1893   22.0  1916   21.0  2006   22.6  1994    58.5  1910    50.5  1898    52.0  1948    58.3  1928   204.6  1943
   22.5  1906   19.2  1923   19.6  1990   17.5  1994   17.3  1958   16.6  1900   19.1  2020   20.5  1950   19.5  1942   22.0  1995   21.0  1931   22.5  1921    58.5  1960    50.3  1908    52.0  1956    57.9  1892   204.0  2008
   22.5  1923   19.1  1935   19.5  1940   17.4  1951   17.3  2009   16.6  1926   19.0  1938   20.2  1906   19.5  1983   21.9  1984   20.9  1974   22.4  1934    58.4  1915    49.0  1909    51.4  1954    57.8  2006   204.0  2020
   22.2  1962   19.0  1904   19.0  1966   17.3  1998   17.3  1908   16.5  1990   18.8  1998   20.1  1897   19.4  1892   21.8  2017   20.9  1963   22.4  1918    58.3  1984    48.9  1914    51.1  2002    57.6  1992   203.5  2014
   22.1  1930   18.9  1999   18.9  1981   17.2  1943   17.2  1923   16.4  2019   18.7  1942   20.1  1989   19.3  1992   21.8  1892   20.9  1981   22.3  1951    58.3  1990    48.9  2015    50.9  1894    57.1  1893   203.4  1925
   22.0  1894   18.9  1988   18.7  1928   17.0  2008   17.2  1955   16.2  1929   18.6  1974   20.0  2017   19.0  1970   21.8  1907   20.8  1946   22.2  1956    58.3  1939    48.7  1907    50.9  1931    57.0  2001   203.1  1922
   21.8  1988   18.8  1893   18.6  1977   17.0  1979   17.1  1907   16.2  1952   18.4  2002   20.0  1982   18.8  1924   21.7  1981   20.7  1953   22.1  1942    58.0  1957    48.7  1995    50.7  1891    56.9  2004   203.0  2009
   21.7  1999   18.6  1958   18.5  1963   17.0  1919   17.1  1931   16.1  2008   18.2  2007   19.9  1928   18.6  2012   21.6  1901   20.6  1903   21.9  1896    58.0  1899    48.6  1994    50.5  2008    56.9  1891   202.8  1990
   21.5  1944   18.5  1998   18.4  2006   16.8  1965   16.7  1966   15.9  1922   18.2  1902   19.8  1958   18.6  1917   21.4  1998   20.6  1900   21.8  1965    58.0  1975    48.5  1977    50.4  2012    56.9  1967   202.5  1920
   21.2  1981   18.4  1992   18.3  1957   16.7  1916   16.6  1913   15.9  1998   18.1  1891   19.8  2014   18.6  2017   21.3  2014   20.5  1899   21.7  1985    57.9  1898    48.2  1970    50.4  1998    56.8  1918   202.3  1948
   21.2  1931   18.4  1941   18.0  1982   16.7  1996   16.3  2014   15.8  1999   18.1  1918   19.7  1927   18.5  1961   21.1  1989   20.5  1917   21.6  1955    57.8  1901    47.2  2005    50.2  1918    56.3  1926   201.7  2000
   21.1  1892   18.3  1951   18.0  2009   16.6  1909   16.3  1938   15.8  1916   17.6  1993   19.6  2008   18.5  1962   21.1  1893   20.4  1949   21.6  1936    57.8  1892    47.2  2009    50.0  1988    55.9  1934   201.3  1918
   20.8  1986   18.1  1926   17.8  2015   16.6  2016   16.2  1973   15.8  1954   17.5  1894   19.6  1918   18.4  1897   20.9  1928   20.3  1911   21.4  1916    57.7  1918    46.7  2002    49.8  1980    55.7  2018   201.2  1930
   20.7  1899   18.0  1906   17.8  1899   16.3  1901   16.1  1995   15.8  1897   17.4  1916   19.4  1894   18.3  2004   20.6  2006   20.3  1977   21.4  1924    57.7  2015    46.6  1910    49.4  1952    55.7  1961   200.4  1912
   20.7  1934   17.9  1920   17.8  1987   16.2  1961   16.0  1934   15.7  1924   17.4  1905   19.2  1961   18.3  1987   20.5  1918   20.3  2017   21.3  1952    57.5  1989    46.5  1966    49.3  1904    55.6  1978   200.4  1992
