Areal values from HadUK-Grid 1km gridded climate data from land surface network
Source: Met Office National Climate Information Centre
Monthly, seasonal and annual total precipitation amount for Scotland
Areal series, starting in 1862
Last updated 01-Jan-2022 11:00
    jan  year    feb  year    mar  year    apr  year    may  year    jun  year    jul  year    aug  year    sep  year    oct  year    nov  year    dec  year     win  year     spr  year     sum  year     aut  year     ann  year
  303.0  1993  289.4  1990  248.4  1994  192.6  1947  188.8  2011  186.9  1872  191.2  1988  228.5  1985  269.3  1950  259.7  1903  260.9  2009  324.0  2015   739.3  2016   427.8  1986   478.8  1985   679.5  1981  1892.1  1990
  293.1  1928  277.0  2020  239.0  1990  168.4  1904  177.6  1986  155.8  1938  186.6  1940  223.4  1992  228.0  1981  255.5  1935  244.5  1938  295.1  2013   731.6  2014   413.8  1994   459.4  1877   630.1  1954  1862.8  2011
  275.0  2008  268.6  1997  227.1  1903  154.5  1867  160.4  1925  153.4  1877  170.2  1939  207.8  2019  201.3  1872  252.7  1954  240.3  2006  277.2  1986   675.4  1995   411.7  1967   439.6  2019   615.1  1938  1840.1  2015
  253.5  1975  255.2  1894  207.9  1967  150.1  1934  151.6  1906  153.1  2017  166.6  1985  203.5  1962  200.0  1982  247.3  1983  240.1  2015  270.9  1999   669.9  2000   408.6  1992   437.1  1948   610.6  1982  1833.4  1903
  253.0  1974  243.6  2002  207.8  1992  148.1  1910  151.1  2015  146.3  1907  164.9  2010  200.9  2009  195.6  1985  247.1  1938  239.8  1877  267.3  1929   669.2  2020   400.5  2015   427.6  1956   607.4  1984  1816.7  1872
  252.5  2016  237.7  1989  188.3  1979  141.8  1949  138.1  2003  143.0  1966  164.8  1956  200.1  1868  195.4  1869  246.6  2014  234.9  1981  262.1  2011   637.8  1894   391.9  1990   425.7  2009   592.2  1935  1809.5  2020
  250.4  2015  223.9  1868  186.6  1989  136.4  1925  129.7  2007  138.4  1980  158.1  1953  199.2  1903  194.0  1885  242.4  1967  230.8  1984  261.6  2006   632.9  2007   388.6  1947   422.5  1872   584.2  2006  1798.6  1877
  245.0  1990  221.9  1903  178.7  2019  135.7  1950  129.1  1920  137.6  1948  154.4  2009  190.6  1948  191.8  1995  240.2  2020  228.8  1917  259.8  1949   630.5  1990   388.1  1913   409.4  2017   581.7  1872  1748.1  1998
  241.2  1983  221.5  2014  178.2  1876  135.2  1994  125.1  1967  137.5  1931  154.1  1873  189.5  2004  191.3  1927  239.4  2001  227.9  1986  253.2  1900   610.4  1903   386.2  1925   407.8  1903   579.4  1917  1739.8  1999
  239.7  2007  204.4  1995  177.5  1921  134.9  1932  124.5  1924  137.4  2002  152.2  1957  188.6  1930  188.8  1935  237.0  2008  224.9  1982  252.7  1912   590.7  2015   375.4  1979   404.3  1879   569.4  2011  1739.7  2014
  239.4  2005  201.4  1998  173.0  1978  134.1  1977  124.4  1954  131.0  2004  151.7  1936  187.7  2014  187.7  1978  235.2  1998  223.7  1951  251.1  1974   583.8  1989   375.1  1903   396.8  1988   565.1  2000  1734.8  1938
  236.0  1890  200.1  2000  172.8  1913  132.5  1899  123.5  1916  129.7  1990  151.2  2015  186.5  1910  187.6  2011  234.9  2000  221.0  1991  247.9  1898   577.1  2008   369.9  2011   396.4  2004   554.2  2009  1731.6  1992
  234.0  1962  185.6  1920  171.2  2015  131.5  1927  123.5  1945  126.4  1912  151.2  1998  185.2  1989  187.2  1980  233.2  1917  218.1  1890  243.3  1994   573.4  1877   363.8  1963   394.5  1998   549.8  1980  1717.9  2008
  228.2  1932  175.9  1918  169.1  1988  127.2  1951  123.3  1892  126.3  2012  150.5  1946  183.4  1923  180.6  1863  228.3  1916  216.7  1947  241.2  1966   573.3  1920   362.4  2006   392.0  1938   545.1  1950  1713.4  1954
  227.6  1995  171.6  1869  168.8  1986  125.1  1972  122.6  1958  125.6  1927  150.1  1970  173.8  1988  180.0  1946  227.0  1862  214.6  1979  232.4  1993   571.9  2002   357.4  1920   389.1  1980   544.3  1977  1700.4  2000
  227.2  1863  170.5  1992  168.3  1882  124.8  1991  121.5  1963  125.1  1928  148.8  1871  173.5  1889  177.6  1918  225.5  1996  214.0  1977  227.3  1983   567.3  1868   351.0  1934   386.5  2012   542.1  1995  1694.9  1948
  226.2  1921  167.2  1945  167.5  1897  123.6  1863  121.2  2009  124.4  1890  146.0  1882  173.3  1956  177.4  1908  225.0  1995  212.0  1954  227.0  1914   555.5  1937   350.7  2005   383.7  1946   537.8  1970  1688.1  2004
  223.6  1868  166.8  1915  167.2  1908  123.5  2004  120.2  1922  123.4  2020  145.8  1881  172.3  1891  177.0  1899  223.5  1874  211.8  1940  224.8  1954   553.7  1984   349.6  2009   382.2  2007   527.1  2020  1685.9  1928
  222.9  1999  165.6  1939  165.6  2008  122.2  2005  119.5  1976  122.3  1882  145.5  1938  170.1  1877  176.4  1975  219.3  2021  210.2  1939  224.0  1955   552.7  1916   349.4  1993   382.2  1881   527.0  1874  1678.7  2009
  222.5  1872  165.0  1885  158.5  1905  120.6  1943  118.1  2006  122.2  1991  145.4  1924  168.0  1874  174.8  1948  216.6  1981  209.3  1992  221.6  1980   552.6  1974   347.8  1999   381.8  1907   525.7  1877  1646.9  1982
  220.2  1938  164.8  1914  158.2  1896  120.4  1992  118.1  2013  122.0  1862  144.8  1903  167.3  1895  174.7  2004  213.1  1943  209.2  1978  221.1  1921   552.2  1975   347.4  1882   380.3  1957   519.0  1927  1644.0  2006
  216.9  1903  164.8  2011  157.4  1983  119.3  1998  115.6  2005  119.4  1965  144.4  1959  164.9  1943  173.3  1992  212.7  1932  205.7  1872  217.0  2014   551.3  1998   345.9  1899   379.4  1895   515.4  1890  1637.5  1868
  216.7  1984  163.4  1925  156.2  1982  118.6  1915  115.3  1907  119.2  1972  143.0  1879  163.4  1892  171.9  1924  212.2  1984  205.5  1953  212.8  1951   549.5  2012   345.7  1868   377.5  1890   514.7  1991  1636.7  1986
  215.4  1994  163.3  1866  155.0  1987  118.1  1898  114.0  1966  118.1  1999  141.9  1918  162.7  2011  171.0  2018  208.8  1990  201.0  1888  212.2  2012   546.2  1999   342.7  1904   373.0  1950   513.1  1923  1621.3  1994
  215.0  2014  162.8  1877  153.8  1868  117.7  1919  112.7  1931  116.2  1944  139.9  1950  162.3  1941  170.8  1999  208.4  1909  198.9  1974  212.2  1924   544.0  1869   341.5  1977   371.0  1873   513.0  1978  1620.7  2002
  214.5  1884  162.7  2016  153.7  1963  116.5  1965  112.3  1862  115.6  1897  137.6  2016  162.1  1961  169.6  1891  207.0  1934  194.4  1999  209.3  1911   542.5  1994   339.5  1906   370.3  1924   511.2  1967  1615.8  1923
  211.9  2002  162.4  1911  152.5  1968  115.7  1993  112.0  1993  115.0  1896  135.9  1877  160.6  1982  169.0  1892  204.1  2004  193.2  1996  207.4  1956   541.5  2005   336.0  2019   370.3  2008   510.6  1930  1596.3  2012
  206.8  2004  161.8  1916  148.0  1981  115.7  2013  111.8  1972  113.3  1998  135.5  1862  159.4  1929  167.0  1983  204.1  2011  193.1  1914  206.9  1936   536.7  1915   328.5  1968   370.1  2020   507.8  1903  1594.0  1967
  206.6  1916  160.7  1880  147.9  2009  114.4  1959  111.2  1999  113.3  1935  134.9  1895  158.1  1907  166.2  1864  204.0  1877  192.7  1911  206.5  1876   534.0  1863   326.7  1997   368.6  1923   506.5  1998  1593.5  1988
  205.9  1937  159.7  1935  144.7  1995  114.2  2012  110.7  2002  113.3  1994  134.8  1884  156.3  1917  165.4  1954  203.8  1930  191.1  1928  206.5  1982   531.5  1950   326.6  2002   368.4  1962   503.5  1992  1587.5  1900
  204.0  1877  159.4  2008  144.5  1920  113.0  1985  110.2  1943  113.2  1919  134.3  2020  155.3  2008  164.4  1984  201.1  1970  190.7  1959  205.0  1891   527.1  1993   325.0  1966   367.4  1927   502.6  1932  1578.7  2005
  202.5  2020  153.6  1910  143.1  1966  111.6  1880  109.5  1997  113.2  1879  134.3  2007  153.4  1863  164.4  1942  200.9  1968  190.6  1881  205.0  2020   523.7  1925   322.7  1983   365.6  1882   500.1  2004  1575.8  2007
  202.3  1976  152.1  1898  140.4  2021  111.2  1999  109.5  2021  113.1  1945  133.3  1931  152.7  1957  164.3  1923  200.2  1929  190.0  1944  202.2  1868   522.7  1922   322.1  1907   364.7  1930   499.1  2001  1575.3  1950
  200.6  1927  151.1  1883  138.9  2007  109.3  1996  109.1  1872  112.3  1881  129.2  2019  151.1  1949  163.0  1878  199.9  1961  189.1  1882  200.9  1893   520.9  1957   322.0  1897   364.4  1862   498.6  2018  1569.4  1916
  199.9  1957  150.5  1871  138.8  1997  109.2  1909  108.9  1886  110.7  1946  128.7  1888  150.6  1883  162.5  1965  197.6  1923  188.0  1970  199.2  1959   514.8  1884   322.0  2007   361.7  1961   496.6  1928  1566.3  1882
  199.9  1930  149.4  1923  138.0  1914  108.9  1871  108.3  1884  110.4  1947  126.9  2002  150.0  1894  162.4  1874  194.6  2006  185.7  1883  198.6  1862   511.9  1872   321.6  2014   360.9  2011   495.9  1918  1559.0  2019
  198.8  1989  148.9  1922  137.1  1912  108.3  1935  108.1  1964  109.6  2007  126.3  1915  149.0  1951  161.5  1896  191.6  1928  185.6  1963  195.7  1942   511.8  1949   321.3  1921   360.2  1910   494.2  2005  1555.3  1949
  198.8  2000  148.7  1943  136.5  2006  107.8  2006  107.7  1913  107.7  2008  126.2  1890  148.6  1964  156.2  1947  190.9  1942  185.4  1931  195.6  1897   508.2  1983   319.2  1910   359.8  2015   489.2  1926  1532.2  1979
  195.8  1988  148.3  1928  133.9  1890  107.6  1913  106.1  1894  106.4  1954  125.7  1932  148.4  1904  154.0  1977  190.1  2013  183.6  1913  194.7  1919   506.5  1967   319.0  1976   358.2  1928   489.0  1979  1528.7  1981
  193.7  1873  147.5  1950  133.9  1977  107.1  1964  104.5  1968  104.5  1864  125.3  2012  148.2  1879  153.2  2000  187.4  1873  181.5  1930  194.1  1866   493.2  1930   317.5  1932   357.9  1929   488.6  2008  1524.3  1927
  193.0  1920  147.2  1893  133.8  1957  106.6  1911  104.5  2019  104.0  2005  124.1  1867  146.3  2017  153.0  1961  185.8  1982  181.0  1929  193.2  1979   492.9  1899   315.7  1943   356.0  1992   488.0  1869  1522.9  2017
  191.8  1986  145.5  1949  133.5  1976  106.5  2000  104.1  1938  103.6  1876  121.8  1937  143.7  1873  152.7  1962  185.0  1906  179.2  1998  192.5  2004   489.4  1981   315.5  1927   355.8  1892   485.6  1944  1519.3  1980
  189.7  1866  145.5  1970  132.0  1874  106.3  1975  103.9  1944  102.6  2019  121.7  1909  142.7  1950  152.5  2010  184.5  2002  178.8  1906  192.1  1985   489.3  1943   315.1  1905   355.6  1943   484.9  1999  1517.0  1906
  189.0  1948  145.4  1872  131.8  1864  105.8  1868  103.7  1878  101.7  1901  121.6  1958  142.3  1897  152.4  1866  184.1  1980  178.5  1980  191.9  1957   487.6  1866   314.2  1862   353.8  2002   483.9  1996  1514.2  1898
  188.9  1906  144.2  1876  131.5  1938  105.7  1960  103.1  1923  101.0  1863  120.7  1923  142.2  1912  149.3  2006  183.9  1989  178.3  1946  190.9  2000   486.0  1928   314.0  1908   352.7  1965   482.3  2017  1512.3  1974
  186.4  1875  143.1  1967  129.5  2014  105.3  1862  102.6  1888  100.8  1913  120.3  1961  140.7  1906  149.1  1879  182.9  2005  177.7  2011  189.7  2019   485.8  1962   309.4  1914   349.3  1912   478.3  1940  1512.0  1912
  184.0  2018  142.8  1937  127.3  2017  104.5  1916  102.2  1969  100.8  1943  119.0  1980  140.0  1963  149.1  1987  182.3  1976  177.0  2000  188.1  1990   483.3  2004   307.9  1972   348.4  1900   475.0  1899  1506.3  1862
  183.8  1926  142.5  1999  127.3  1926  103.6  1970  101.1  1885  100.5  1892  118.7  1896  139.9  1952  148.7  1970  181.6  1893  176.7  1899  186.3  1948   478.5  1923   307.2  1949   347.2  1894   472.0  1961  1503.5  1970
  183.1  1900  142.2  2017  127.2  1928  103.5  1882   99.3  2014   99.8  1997  117.8  1910  139.5  1924  147.5  1873  181.0  1926  174.8  1926  185.4  1932   473.9  2021   306.3  1989   345.1  2016   468.7  1983  1503.5  1985
  182.8  1923  140.5  1961  126.5  2002  103.1  1953   99.0  1934   99.5  2011  117.8  1894  138.4  1942  146.7  1934  179.5  1927  174.7  1973  184.3  1915   473.1  1988   305.4  1876   342.5  1897   466.5  1893  1499.6  1883
  182.2  1862  139.7  1996  126.3  1991  102.6  1900   98.0  1973   99.4  1981  117.1  1900  138.3  2007  146.7  1964  178.1  2017  174.5  2002  183.2  1877   471.5  1913   304.0  1988   341.2  2014   465.4  2010  1499.4  1943
  181.7  1894  139.1  1884  126.1  2000  101.2  1948   98.0  1904   98.8  1987  116.6  1880  138.2  1960  146.4  1988  176.3  1977  173.4  1880  183.1  1997   470.3  1898   302.1  1916   340.0  1970   465.2  1929  1495.3  1983
  181.7  2012  137.6  1962  126.0  1895  100.9  1901   97.9  1947   95.8  1952  116.1  1951  136.9  1928  145.9  2012  176.3  1890  172.4  2005  180.9  1998   469.5  1883   299.5  1922   338.9  1931   464.7  1948  1494.5  1926
