Areal values from HadUK-Grid 1km gridded climate data from land surface network
Source: Met Office National Climate Information Centre
Monthly, seasonal and annual total duration of bright sunshine for Scotland
Areal series, starting in 1919
Last updated 01-Jan-2022 11:00
    jan  year    feb  year    mar  year    apr  year    may  year    jun  year    jul  year    aug  year    sep  year    oct  year    nov  year    dec  year     win  year     spr  year     sum  year     aut  year     ann  year
   55.6  1959   92.8  2018  149.8  1929  216.6  2021  231.8  2000  239.6  1940  240.9  1955  240.2  1947  140.3  1996  104.6  2003   68.1  1925   42.9  2001   172.3  1963   520.4  2020   616.3  1995   278.2  1959  1444.4  1955
   51.6  2001   91.7  2003  142.8  2003  203.7  2020  225.1  1946  233.6  1949  214.7  1989  219.1  1995  139.1  1959   99.5  1939   64.8  1989   40.8  1995   163.1  2018   484.1  1942   573.9  1955   275.1  2003  1378.2  2018
   50.7  1963   90.2  1963  127.8  1953  203.2  1942  224.3  2018  227.2  1957  202.6  2013  217.5  1976  137.1  1991   96.8  1998   63.4  1996   40.2  2010   158.5  2001   484.1  1955   544.0  1976   269.7  1996  1369.3  2003
   48.6  2021   89.0  1970  124.9  2012  196.3  2015  222.8  1980  223.6  1970  200.1  1990  180.2  2003  135.8  1987   96.1  1959   63.3  2016   37.4  1960   155.7  2003   481.7  2007   520.9  1977   259.9  1971  1354.6  1995
   48.0  1965   87.6  1960  123.5  2007  189.5  1962  221.2  1948  220.9  1925  191.8  2014  171.4  1968  135.2  1928   95.2  2016   59.6  1965   37.4  1957   149.8  1985   481.6  1948   516.0  2018   258.3  1997  1314.1  1975
   47.4  2019   82.3  1968  121.3  1931  186.0  1974  221.1  1975  215.3  2018  191.3  1935  171.3  1997  134.1  1933   93.5  1997   59.1  1988   37.4  1976   149.2  1959   481.4  1929   511.5  1989   256.7  1998  1309.4  1989
   45.9  2017   81.2  1975  120.1  1923  180.2  1981  220.2  1935  215.2  1995  191.2  2006  170.6  1938  134.1  1997   93.2  1922   58.8  2013   37.3  1935   148.8  1930   471.7  2009   511.4  1975   255.3  1928  1297.2  2009
   45.1  1991   81.1  2004  119.9  1956  178.8  2007  218.7  1992  208.3  1975  185.1  1976  167.9  1977  126.1  1971   91.1  1971   58.5  1976   37.3  2006   148.6  1968   470.2  2015   496.7  1949   254.7  2016  1278.9  1977
   44.9  2000   80.6  2013  118.0  1948  175.5  1984  215.0  2020  207.6  1920  182.2  2018  164.4  1984  124.6  1960   91.0  1972   57.4  1947   37.2  1961   147.1  2021   469.3  2008   496.5  1947   253.7  1972  1257.6  2006
   43.9  1977   79.2  1930  117.2  2017  175.2  2011  212.7  2017  205.5  1921  182.1  1995  160.4  1955  124.2  2015   90.7  2019   56.5  2003   36.9  1967   146.3  1977   463.8  2001   492.6  1969   252.0  1987  1257.4  1959
   43.7  2012   78.4  1979  117.0  2001  175.0  1954  211.6  2009  202.1  1936  179.7  1972  159.4  1975  122.7  1934   88.2  1923   55.7  1952   36.2  1920   145.2  1960   460.6  2018   487.8  1925   249.5  1926  1255.8  1949
   43.1  1952   78.3  1955  114.3  2009  166.2  2006  210.0  2001  201.8  2009  179.3  1982  153.3  1919  119.9  1986   87.7  1973   55.5  2017   35.1  1953   143.9  2019   458.0  2017   485.6  1933   248.8  1923  1255.0  2021
   42.8  2009   76.8  1985  113.6  1970  166.2  1956  209.3  2008  201.7  1939  179.1  1943  153.1  1945  119.2  1919   87.3  1936   55.3  2011   34.6  2007   143.4  1970   455.5  1946   485.4  2009   248.7  1986  1246.3  1919
   42.5  1985   75.8  2001  113.4  1973  165.9  2003  206.2  1955  200.0  1967  176.0  1971  150.7  1983  118.9  1979   87.2  2007   54.2  1961   34.5  1938   142.3  1962   455.4  1980   485.1  1919   248.5  2010  1245.5  1929
   41.8  1992   75.6  1986  113.1  1933  165.5  1955  206.1  1951  199.8  1960  175.6  2021  148.5  1933  118.7  1949   87.0  1926   53.8  1998   34.2  2014   141.9  2004   454.0  1956   484.3  1921   247.2  2019  1238.9  2020
   41.6  1933   75.1  2008  112.3  1955  165.0  2013  205.5  1994  199.0  1930  174.7  1919  148.4  1999  118.2  2004   86.9  1981   53.6  2010   33.3  1970   141.7  2015   452.8  2016   482.4  1926   245.7  1919  1238.2  2010
   41.5  2015   74.6  1950  109.3  2004  164.0  1921  203.8  1942  197.4  1969  174.2  1983  148.1  1926  118.0  1955   86.9  1985   53.5  1926   33.3  1946   138.7  1975   450.9  2021   482.3  2003   244.5  2012  1233.6  1921
   41.3  1932   74.2  2016  108.3  2008  161.7  2019  203.7  2016  195.1  1933  172.4  1934  146.8  1973  115.7  1972   86.4  2008   53.3  2005   33.2  1999   138.5  1979   449.3  2003   475.6  1983   244.1  2015  1232.9  2019
   41.0  2011   72.3  2021  108.3  1949  161.2  1957  203.1  2012  190.0  1996  170.7  1926  145.5  2004  114.8  1958   86.3  2015   53.1  1950   33.1  2004   138.3  2000   448.1  1962   475.5  2006   241.1  1939  1230.9  2000
   40.7  2010   72.2  1957  108.1  1982  159.2  1968  202.8  1989  189.3  1934  170.4  1977  145.4  1969  113.9  2003   85.5  1986   52.5  2018   33.0  1996   137.9  1952   447.8  2012   473.3  1940   240.1  1973  1230.7  2015
   40.5  1931   72.0  1996  107.7  1935  157.7  1936  199.4  1984  189.2  1951  167.6  1984  145.2  1944  113.6  1924   84.5  1952   51.9  1923   33.0  1929   137.5  1961   445.5  1974   471.2  2021   239.1  2018  1229.9  1960
   40.2  1962   71.3  1973  107.6  2015  157.3  1990  198.2  1977  188.6  1986  161.6  1999  143.5  2016  113.1  1963   84.0  2010   51.9  2000   32.9  1951   137.1  1978   445.3  1935   471.1  1997   238.6  1991  1221.3  1974
   39.4  2003   71.3  1932  107.4  1986  157.1  1969  197.2  1959  186.8  1974  161.1  1952  143.1  2014  112.8  1951   83.1  1965   51.6  1993   32.9  1948   136.9  1955   442.1  1953   471.1  1968   238.3  1955  1217.0  1997
   39.3  2018   71.0  1999  106.9  1975  154.8  1980  196.1  1982  186.1  1968  158.7  2011  142.7  1950  112.4  2020   82.7  1967   51.5  2012   32.6  1955   136.0  2011   441.4  2000   471.0  1984   237.5  1925  1216.5  2013
   39.2  1978   69.9  1949  106.9  2014  152.4  1952  193.5  1971  182.6  1977  158.0  1966  141.8  1931  112.2  2012   82.5  1945   51.4  1960   32.5  1989   135.4  2010   439.7  2011   466.8  1934   236.0  1952  1216.3  2016
   38.8  1979   69.4  1946  105.7  1934  152.2  1922  191.0  1990  178.0  1929  157.0  2009  141.7  1991  111.2  1937   82.1  2018   51.1  2006   32.2  2008   135.4  1996   439.6  1982   463.8  1950   235.9  1989  1214.6  1950
   38.7  1961   68.3  1981  104.7  1919  152.2  1925  190.0  1937  176.4  1932  156.9  1921  140.2  2005  110.9  2010   81.8  1931   50.6  1977   31.8  1994   134.9  1964   438.7  1975   463.8  2013   235.0  1993  1214.0  1951
   38.5  1945   68.0  1989  104.7  1954  151.7  2008  188.6  2010  175.3  1989  156.0  1963  139.5  1981  109.7  2002   81.6  1956   50.4  1973   31.8  1965   134.7  1947   437.3  1984   462.7  1972   234.0  1958  1208.4  1926
   38.2  1956   66.9  1928  104.2  1937  149.9  1929  188.2  1919  175.1  1941  154.8  1950  139.3  1966  109.3  2019   80.8  2012   50.2  1942   31.7  1937   133.8  2013   437.1  1951   457.9  1996   232.0  1922  1208.1  1969
   38.1  1939   66.6  1964  104.0  2016  149.8  1951  187.7  1978  174.9  1988  153.1  1948  136.3  2015  109.1  2006   80.6  1919   49.9  1927   31.6  1963   133.3  1950   433.0  2010   456.8  2014   231.0  1934  1208.1  1976
   38.1  1929   66.4  1978  103.6  1965  149.8  1965  187.5  1988  174.6  1959  152.9  1997  136.2  2012  109.0  1926   80.0  1920   49.5  1990   31.6  2003   133.3  1932   429.2  1921   455.5  1960   230.7  1924  1207.4  1971
   38.1  1941   66.2  1937  102.8  1999  148.3  2010  185.2  2006  172.6  1955  152.4  1958  136.0  1937  108.7  1923   80.0  1948   49.4  1969   31.4  1977   133.2  2008   429.1  1981   455.4  1974   230.7  1948  1204.0  2007
   37.7  1960   66.1  2019  102.6  1941  147.9  2005  182.9  2004  171.6  1956  149.8  1969  135.8  1939  108.2  1939   79.9  1946   49.4  1975   31.4  1962   133.1  1999   428.4  1954   453.6  1936   230.5  1961  1203.6  1935
   37.3  1955   66.0  2010  102.5  2002  147.4  1953  182.1  2005  170.9  2006  149.1  1994  135.8  2010  107.6  1994   79.9  1927   49.1  1930   31.1  2017   132.5  1936   427.4  1990   453.3  1970   230.4  1933  1201.9  1963
   37.3  1957   66.0  2015  101.7  2020  146.7  2018  181.7  1929  170.9  1992  148.1  1956  135.4  1965  107.4  1974   79.8  2000   49.1  1921   31.0  2000   132.5  1949   426.3  1989   447.1  1982   229.7  2000  1199.5  1956
   36.9  1988   65.7  2020  101.4  1972  145.8  2009  181.6  1921  169.1  1928  146.2  2000  134.8  2000  107.3  1954   79.0  1951   48.9  1948   30.5  1984   131.6  1973   426.0  2019   447.0  1971   228.9  1979  1199.2  1925
   36.9  1946   65.5  1947  101.4  1962  145.7  1991  180.7  1960  168.7  1927  145.1  1949  134.6  1927  107.2  1964   77.4  1950   48.8  2008   30.5  1972   131.4  2007   422.0  2006   445.7  1920   228.8  1988  1196.9  1984
   36.6  1964   65.3  1969  100.9  1987  145.1  2016  179.4  1926  168.2  2021  144.3  1996  133.9  1972  106.9  1993   77.4  1929   48.2  1966   30.4  1964   130.5  1986   421.9  1994   444.4  1999   228.7  1981  1194.6  2001
   36.6  1930   65.1  1959  100.9  1927  143.1  1946  179.4  1957  166.3  1950  143.7  1975  132.3  1992  106.8  1942   77.0  1924   48.0  1955   30.4  2018   130.5  1946   414.0  2005   441.0  1935   226.7  2006  1193.4  1948
   36.6  1951   65.0  1977  100.6  1930  142.9  1945  179.4  2007  163.6  1926  143.2  2017  132.0  2002  106.1  1998   77.0  1928   47.7  2009   30.3  1979   129.7  1991   412.5  1949   439.3  1967   225.9  1951  1193.1  1996
   36.1  1958   65.0  1962  100.5  1943  142.4  1948  179.0  1961  162.8  2003  142.5  2005  131.9  1974  105.5  1988   76.6  1993   47.3  2019   30.2  1981   129.5  1933   411.3  1952   438.1  1927   225.8  1960  1192.9  2008
   35.9  1947   65.0  1983   99.7  2019  140.2  1938  178.8  1949  160.4  1962  142.3  1925  130.9  1962  105.3  1921   76.3  1995   47.2  1968   29.5  1975   128.8  2005   410.7  1922   437.1  1957   223.4  1937  1190.3  1972
   35.3  1999   63.5  2005   99.5  1974  138.7  2002  178.6  1958  158.4  1963  142.0  1947  130.8  1970  104.5  1940   76.1  1961   47.0  1972   29.5  1952   128.5  1995   407.2  1959   435.2  1986   222.9  1975  1190.0  1982
   35.3  1989   62.5  2006   98.8  1958  138.3  1970  178.3  1966  158.3  1979  141.9  1933  130.4  1994  104.5  2018   76.1  1975   46.9  1974   29.5  1925   126.8  1989   407.0  1977   434.3  1956   222.6  2009  1188.4  1999
   35.1  1995   61.8  1952   98.6  1989  136.8  2001  175.9  1963  157.9  2019  139.3  2003  129.6  2020  104.1  1989   75.6  1958   45.9  1919   29.0  1950   126.4  2017   406.3  2013   433.1  1990   222.2  1963  1186.9  1947
   35.1  1940   61.6  1995   98.5  1963  136.4  1977  175.6  1950  157.2  1919  138.6  1962  129.3  1946  102.0  1973   75.5  1987   45.7  1967   28.9  1932   126.3  1957   405.8  1963   431.5  1938   222.2  1949  1186.5  1952
   34.9  1997   61.4  1953   98.4  1939  136.1  2014  175.5  1943  156.3  1924  138.6  2008  128.6  1959  101.8  1948   75.1  1941   45.2  1970   28.9  1923   126.1  1997   405.7  1958   431.4  1959   222.0  1929  1186.0  1962
