Areal values from HadUK-Grid 1km gridded climate data from land surface network
Source: Met Office National Climate Information Centre
Monthly, seasonal and annual number of days in the month with air frost (minimum temperature below zero) for Scotland E
Areal series, starting in 1960
Last updated 01-Jan-2022 11:00
    jan  year    feb  year    mar  year    apr  year    may  year    jun  year    jul  year    aug  year    sep  year    oct  year    nov  year    dec  year     win  year     spr  year     sum  year     aut  year     ann  year
   27.1  1963   27.0  1963   24.0  1969   18.8  2021    8.5  1979    1.5  1975    0.1  1973    0.5  1977    3.1  1986   11.7  1992   21.4  1969   26.1  2010    75.0  1963    39.5  1969     1.6  1975    28.6  1993   121.0  1979
   26.7  1979   25.8  1968   23.8  2013   16.8  1970    6.9  1995    1.0  1991    0.1  1965    0.3  1964    3.0  1972   10.4  1981   20.6  1985   25.8  1981    68.4  2010    39.1  1979     1.3  1964    24.4  1992   120.6  1969
   25.2  2021   25.0  1986   21.6  1962   14.4  1986    6.7  1968    1.0  1964    0.1  1962    0.3  1973    2.7  1974    9.3  1993   17.9  1996   24.8  1976    64.9  1979    38.4  2013     1.2  1977    23.3  1985   116.2  2010
   24.9  1984   23.6  1969   21.3  1979   14.4  1983    6.5  1996    0.7  1989    0.1  1961    0.2  1986    2.3  1993    7.9  2012   17.3  1965   23.9  2009    63.4  1977    38.4  1970     1.0  1991    22.5  1969   112.1  1981
   23.6  1985   23.3  1979   21.1  1970   13.8  1966    6.4  1982    0.7  1977    0.1  1966    0.2  2014    2.0  1975    7.1  2002   17.0  1993   22.1  1961    60.1  2011    34.9  1995     0.8  1962    21.9  1973   111.7  1965
   23.1  1987   23.2  1983   20.5  1987   13.4  1969    5.5  1984    0.6  1978    0.1  1974    0.2  1966    1.7  1979    7.1  1973   15.8  2016   21.3  1965    59.2  1970    34.5  1962     0.8  1989    21.1  2012   105.7  1962
   22.6  1978   22.5  1970   19.8  1995   12.7  1974    5.4  2012    0.6  1962    0.0  1992    0.2  1999    1.3  1991    6.7  1980   15.6  2013   21.2  1964    58.8  1994    33.5  1975     0.7  2012    21.0  1971   105.5  1968
   22.4  1997   22.2  2010   19.8  1965   12.0  1968    5.4  2010    0.6  1985    0.0  2000    0.2  2012    1.2  2012    6.7  1987   15.5  2010   21.2  1993    58.5  1991    33.2  1968     0.6  1973    20.3  1965   105.1  1986
   22.4  2010   21.7  2018   19.6  1975   11.9  2013    5.3  1994    0.5  1998    0.0  1964    0.1  1965    0.9  2007    6.4  2003   14.8  1966   21.1  1960    58.3  1965    32.5  1965     0.6  1978    19.7  1981   104.5  1970
   21.5  1991   21.5  1978   19.2  2018   11.9  1981    5.3  1977    0.5  2015    0.0  1972    0.1  1962    0.9  1977    5.8  2019   14.5  1973   20.9  1962    57.9  1968    31.6  2021     0.6  1961    19.4  2010   104.3  1985
   21.3  1965   21.5  1960   18.1  2006   11.5  1962    5.0  1975    0.5  2012    0.0  1960    0.1  1960    0.9  1971    5.7  1971   14.4  1971   20.8  1999    57.7  2018    30.2  1984     0.6  1985    19.3  1966   102.5  1963
   21.2  2009   20.8  1996   17.8  2001   11.3  1973    5.0  2021    0.4  1981    0.0  2004    0.1  1967    0.9  1964    5.7  1997   14.3  1972   20.5  2001    57.4  1987    29.5  1973     0.6  1998    19.2  1972   101.9  2013
   20.9  2011   20.7  1991   17.5  1980   11.1  1978    4.5  1997    0.4  1961    0.0  1999    0.1  2016    0.9  1960    5.3  2018   13.8  1998   20.3  1989    57.0  1986    29.3  2006     0.5  2015    18.9  1998    99.1  1995
   20.8  1960   20.3  2013   17.5  1985   11.0  1989    4.4  2020    0.4  2001    0.0  1977    0.1  1982    0.8  2020    5.2  2008   13.1  1961   20.2  1969    56.9  1966    28.7  1986     0.5  1986    18.7  1996    99.0  1966
   20.7  1986   19.5  2016   16.7  1976   11.0  2016    4.2  2015    0.4  1983    0.0  1978    0.1  1961    0.8  1983    5.1  1964   13.1  2005   19.5  1996    56.0  1969    28.5  2001     0.5  1965    18.3  2019    98.9  1973
