Areal values from HadUK-Grid 1km gridded climate data from land surface network
Source: Met Office National Climate Information Centre
Monthly, seasonal and annual number of days in the month with precipitation amount >= 1mm for Scotland E
Areal series, starting in 1891
Last updated 01-Jan-2022 11:00
    jan  year    feb  year    mar  year    apr  year    may  year    jun  year    jul  year    aug  year    sep  year    oct  year    nov  year    dec  year     win  year     spr  year     sum  year     aut  year     ann  year
   25.7  1928   21.1  2002   23.6  1903   19.9  2012   22.9  1906   21.8  1907   22.6  1940   22.8  1985   21.2  1950   25.2  1903   23.0  1939   24.4  1900    61.5  2014    50.4  1947    56.8  1985    59.3  1935   208.5  1903
   23.2  2016   20.6  1923   21.8  1897   19.6  1899   22.1  1924   21.6  1912   22.2  1924   22.1  1903   20.0  1896   23.5  1960   22.4  1919   23.3  1959    61.1  1916    50.4  1979    55.5  1907    58.6  1954   204.6  1900
   22.7  1937   20.5  1925   21.2  1905   19.0  1934   20.6  1894   19.9  1991   22.1  1988   21.9  1891   19.8  1899   22.8  1932   22.3  2010   23.3  2015    60.8  2016    49.6  1905    53.8  1946    56.7  1938   196.7  1928
   22.5  2008   20.2  1990   21.1  1914   18.4  1998   20.6  1967   18.5  2002   22.1  1953   21.8  1960   19.5  1954   22.2  1935   22.2  1963   22.9  1915    56.9  1937    49.4  1903    53.1  1924    55.8  1900   196.7  1916
   22.4  1948   20.1  1916   20.6  1913   18.0  1932   20.3  1969   18.3  1928   21.8  2015   21.6  1895   19.1  1918   22.2  2020   22.1  1900   22.7  1934    56.5  1894    49.4  1983    52.5  1903    55.5  1903   192.4  1923
   22.2  1922   19.7  2014   20.3  1928   17.5  1905   19.9  1986   18.0  1927   21.7  1931   20.8  1917   18.7  1927   22.0  1917   21.6  1951   22.7  1911    56.4  1960    49.4  1925    52.0  1960    55.1  1960   189.0  1927
   21.9  1900   19.6  1904   19.7  1994   17.5  1904   19.8  1925   17.9  1935   20.8  1915   20.8  1943   18.4  1908   21.8  1907   21.1  1911   22.2  1929    55.7  1922    48.9  1899    51.3  1927    53.9  2000   187.7  1906
   21.9  2014   19.4  2020   19.4  1909   17.5  1985   19.7  1945   17.8  1946   20.5  1936   20.5  1910   17.9  1992   21.2  1906   20.5  2018   21.7  1896    55.5  1939    48.7  1986    51.2  2012    53.1  1923   186.8  1960
   21.7  1926   19.1  1894   19.4  1912   17.3  2008   19.3  1902   17.7  1948   19.7  2009   20.3  1941   17.6  1946   21.1  1916   20.4  1946   21.1  1978    55.4  1926    48.6  1932    50.6  1912    53.1  1905   186.6  1954
   21.2  1993   18.8  1910   18.9  1939   17.0  1947   18.9  2003   16.9  1896   19.5  1920   19.9  1951   17.4  2011   20.9  2021   20.3  1938   20.9  1949    55.3  1900    48.5  1916    50.5  2009    52.7  1950   185.4  2002
   21.0  1972   18.7  1941   18.6  2006   16.8  1920   18.1  1926   16.9  2004   19.2  1900   19.8  1956   17.3  1965   20.6  1938   20.3  1905   20.8  1912    55.3  1912    48.0  1963    50.4  1948    52.3  1930   182.9  1926
   20.5  1986   18.7  1915   18.4  2008   16.6  1925   18.0  1983   16.6  1947   19.1  1960   19.8  1992   17.3  1962   20.5  1976   20.2  2015   20.6  1901    53.5  2021    48.0  1920    50.2  1895    52.3  1984   182.4  1938
   20.4  1990   18.5  1918   18.4  1908   16.4  1898   17.1  1979   16.5  2012   19.1  1903   19.8  1930   17.3  1974   20.5  1892   20.1  1959   20.6  1919    53.3  1915    48.0  1904    49.7  2017    52.2  1928   181.1  2014
   20.3  1975   18.3  2011   18.3  1947   16.3  2004   16.9  2006   16.4  2017   18.7  1950   19.3  1928   17.2  2017   20.4  1930   20.0  1984   20.5  2020    53.3  1923    47.7  1906    49.4  1953    52.0  1982   180.7  1950
   20.2  1994   17.8  1966   18.3  1916   16.3  1927   16.8  2021   16.3  2020   18.7  1939   19.3  1904   17.2  1934   20.4  1967   20.0  1935   20.0  1938    52.6  1901    47.1  1902    49.3  1900    51.9  1927   178.9  1948
   20.1  1984   17.6  1997   18.2  1978   16.2  1975   16.8  2002   16.3  1926   18.6  1932   19.2  1897   17.1  1935   20.2  2001   20.0  1914   19.9  2013    52.4  1995    47.0  1913    49.2  2002    51.4  1944   178.7  1905
   20.0  1921   17.6  2000   18.2  1921   16.1  1977   16.7  1976   16.2  1966   18.6  1985   19.2  1907   16.9  1983   20.2  1900   19.9  2009   19.8  1898    52.4  1920    46.9  1934    49.0  1928    51.4  1980   178.6  2008
   19.8  2004   17.5  1937   18.1  1979   15.8  1959   16.7  2011   16.2  1938   17.8  1946   19.2  1948   16.8  1925   20.2  2004   19.7  1970   19.7  1910    52.0  1903    46.8  1909    48.1  2015    51.2  2010   177.9  1904
   19.8  1974   17.4  1931   18.0  1977   15.5  2016   16.7  1904   16.2  1944   17.7  2012   19.0  1927   16.8  1980   19.6  1954   19.7  1928   19.6  1986    51.8  1904    45.7  1926    48.0  1931    51.1  1932   177.7  2015
   19.6  1899   17.1  1914   17.6  1963   15.5  1992   16.6  1916   16.0  1987   17.7  1998   19.0  1923   16.7  1975   19.4  1961   19.7  1940   19.6  1999    51.1  1994    45.4  2006    47.8  1963    50.6  1939   177.6  1924
   19.4  1938   16.7  1951   17.6  1983   15.5  1950   16.6  1963   15.8  1897   17.5  1970   18.9  1906   16.7  2000   19.3  1996   19.5  1954   19.5  1966    50.8  1925    45.2  1967    47.7  1958    50.4  1974   177.4  2011
   19.3  1939   16.6  1903   17.5  1989   15.5  1910   16.3  2005   15.8  1916   17.5  2007   18.8  1963   16.6  1985   19.1  1909   19.5  1929   19.4  1956    50.7  1984    45.1  1908    47.7  2019    50.2  1892   177.0  1894
   19.1  1995   16.6  1958   17.4  1940   15.5  1931   16.2  1932   15.8  1892   17.4  2002   18.8  1905   16.6  1891   19.1  1934   19.2  1941   19.4  2011    50.7  2000    44.7  1897    47.5  1950    50.1  2011   176.8  1998
   19.1  1894   16.5  1922   17.4  1992   15.4  1900   16.0  1955   15.7  1931   17.4  1922   18.8  2008   16.2  1970   19.0  2014   19.2  1931   19.4  1955    50.4  1899    44.3  1927    47.3  1954    50.0  1970   176.6  1931
   18.8  1919   16.4  1935   17.0  1980   15.4  1909   16.0  2015   15.7  2016   17.3  1938   18.7  1912   16.2  1944   19.0  1995   19.0  1944   19.2  1954    50.4  1928    43.8  1977    47.2  1956    49.9  1917   176.5  2000
   18.7  2007   16.4  2007   16.8  1937   15.2  1979   16.0  1892   15.7  1945   17.2  1891   18.7  2019   16.1  1923   18.9  1982   18.9  2000   19.2  1985    50.4  1948    43.2  1914    46.5  1938    49.5  2006   176.4  1985
