Areal values from HadUK-Grid 1km gridded climate data from land surface network
Source: Met Office National Climate Information Centre
Monthly, seasonal and annual total precipitation amount for Scotland E
Areal series, starting in 1862
Last updated 01-Jan-2022 11:00
    jan  year    feb  year    mar  year    apr  year    may  year    jun  year    jul  year    aug  year    sep  year    oct  year    nov  year    dec  year     win  year     spr  year     sum  year     aut  year     ann  year
  263.3  2016  211.2  1894  165.4  1903  152.9  1934  160.2  1906  155.9  1872  199.0  1940  207.0  1948  206.5  1950  217.3  1932  262.4  1984  269.7  2015   629.7  2016   372.8  1947   429.8  1877   528.5  1984  1651.1  1872
  231.2  2008  210.8  2020  157.2  1897  147.4  1998  149.1  1967  149.6  2017  174.1  1988  199.0  2004  195.2  1995  213.3  1903  233.6  1951  255.5  1876   582.3  2014   358.0  1913   427.5  1948   522.5  1872  1441.4  2002
  223.0  1993  204.9  1990  152.9  1994  139.2  1947  145.7  1954  141.0  2012  158.6  1958  194.7  1877  190.7  1927  212.2  2020  219.4  2009  216.9  1914   526.7  1877   339.2  1909   419.8  1985   494.8  1982  1440.7  1903
  214.6  1928  187.8  1923  152.2  1913  134.7  2012  139.9  1986  139.8  1966  155.6  1867  184.2  1985  179.5  1981  208.0  2002  200.1  1872  216.8  1929   485.7  1903   332.2  1934   403.8  2012   490.3  1954  1435.5  1916
  204.8  1974  186.0  1997  151.2  1992  133.5  2000  137.1  1925  138.3  1948  155.3  1916  182.6  1930  172.8  1872  201.3  1954  195.5  1963  214.3  2013   477.2  1894   322.1  1925   396.7  1956   480.1  2000  1428.1  1877
  199.7  2014  171.3  2002  146.9  1909  127.9  1898  136.3  1924  131.9  1931  152.0  2009  179.9  1910  157.6  1985  199.8  1976  189.3  1888  204.2  1915   476.8  1915   316.0  1979   378.7  2004   468.6  1935  1362.5  2000
  192.0  1937  168.3  2014  144.4  1928  127.6  1871  134.2  1969  131.7  1897  148.6  2015  175.7  1956  156.3  1869  198.9  2004  186.6  1946  200.7  1978   457.9  1916   315.0  1993   375.2  1879   462.4  1926  1358.1  2014
  180.1  1984  166.9  1915  140.7  1908  118.1  1935  132.7  2021  129.5  1997  145.5  1903  172.1  1992  155.0  2000  196.1  1982  183.2  2002  194.4  1986   453.7  1990   312.8  1986   371.5  1872   459.1  1995  1357.1  1954
  175.5  1975  165.0  1903  139.7  1979  116.2  1899  131.2  1945  128.3  2007  144.4  1985  165.9  1889  152.9  1918  188.8  1935  182.4  1954  194.1  2012   439.8  2007   305.6  1899   369.4  2011   457.3  1981  1352.3  1928
  173.9  1948  162.9  1872  138.8  1876  115.7  1867  124.1  1983  124.2  1928  144.0  1957  165.4  1923  152.4  1891  182.6  1916  181.7  1890  186.9  1955   435.9  2020   304.5  1967   367.3  2007   452.7  1938  1349.0  2015
  173.7  1890  161.9  1925  135.4  1963  115.2  1993  123.7  1993  121.7  1938  143.6  2010  165.3  2011  152.4  1965  179.1  2001  179.7  1940  185.5  1999   434.3  1995   297.8  1916   365.0  1916   449.7  2009  1345.8  2011
  173.5  1990  141.8  2011  129.9  1905  112.6  1925  120.1  2011  120.7  1907  141.2  1918  164.2  1868  150.6  1962  177.8  1906  179.3  1931  183.6  2020   428.9  1937   295.0  1963   363.0  1958   448.7  1927  1337.8  2020
  172.7  1903  136.7  1989  127.4  1914  111.0  1889  119.5  1968  120.3  1877  140.8  1888  162.1  1891  148.5  1885  177.5  2014  177.4  2010  181.9  1911   423.3  1883   294.2  1983   358.2  2009   431.0  1976  1331.3  1948
  169.1  1877  136.2  2021  126.9  1984  110.4  1910  115.9  1943  120.2  1991  139.7  1956  160.3  1917  147.2  1982  175.8  2005  176.7  1905  181.9  1868   422.9  2021   291.4  1932   355.5  2019   427.7  2002  1320.6  1900
  164.5  1863  132.2  1995  126.5  2006  108.7  1909  115.5  1886  119.4  1980  139.3  1873  160.0  1878  146.9  1976  174.5  1998  174.1  1938  181.5  1896   422.2  1925   288.7  1992   355.2  1927   423.1  1930  1314.9  1998
  161.9  1884  130.6  1883  124.7  1989  107.7  1868  115.1  1997  119.4  1990  138.9  1924  159.7  2008  145.1  1930  173.5  1960  172.2  1959  176.7  1934   418.8  1994   286.5  1906   354.1  2008   422.4  2006  1314.8  2008
  159.0  1988  129.1  1916  124.3  1947  107.5  1932  114.3  1916  118.2  2004  137.6  2002  156.6  1874  144.9  1975  173.1  1938  172.0  1926  173.9  1900   415.6  1869   284.8  1920   352.4  1903   418.7  1944  1305.4  2009
  157.9  1938  128.9  1977  124.3  1981  106.5  2004  113.8  1907  116.8  1882  136.7  2007  156.6  1963  144.0  1999  171.8  2021  171.7  2015  173.7  2006   413.4  1960   284.6  1998   352.3  1895   416.4  1875  1296.0  1876
  155.7  1994  128.7  1885  123.7  2019  104.6  2005  111.6  1913  116.5  1879  136.6  1883  156.2  2019  143.6  1896  169.3  1990  170.3  1911  172.0  1959   411.8  2000   281.5  2019   350.1  1931   413.2  2010  1283.5  2012
  155.2  1962  128.7  1876  120.6  1978  100.9  1904  110.3  1894  115.0  1935  136.3  1936  156.0  1927  138.0  1946  168.1  1926  170.0  1944  167.9  1872   408.9  2008   279.9  1897   348.3  2002   407.6  1998  1282.6  1927
  155.0  2005  128.5  1926  115.3  1921   99.5  1882  109.6  1872  110.7  2002  135.9  1884  154.3  1895  137.8  1924  167.9  1967  164.0  1919  166.9  1919   408.5  1984   279.1  2005   343.4  1910   403.6  1950  1269.7  1882
  154.0  1872  126.5  1941  115.2  1980   98.6  1880  109.3  1947  110.5  1912  135.8  2012  153.5  2014  136.0  1935  166.7  2000  161.3  1939  163.0  1912   402.7  1974   278.2  1882   339.4  1897   393.9  1864  1254.5  1990
  152.6  2002  124.6  1893  114.5  2018   97.1  1877  109.1  1976  104.7  1927  133.5  1998  149.9  1897  135.7  1983  165.2  1907  158.4  2000  160.6  1958   402.3  1912   276.3  1968   339.1  2020   391.8  1932  1247.5  1926
  149.6  1995  124.0  1900  113.9  1988   96.0  1951  108.9  1885  103.7  1862  133.4  1939  147.9  1894  135.6  1908  164.0  1892  158.4  1916  158.2  2000   402.1  1872   276.2  1886   336.5  1930   390.8  1916  1243.8  1982
  149.5  1972  123.6  1914  113.4  1987   95.1  2008  108.2  2015  103.2  1987  131.4  1953  146.7  1892  134.0  1992  160.2  1864  156.8  1877  157.5  1924   399.2  2002   274.4  1903   336.5  2017   390.3  1940  1243.6  1985
  149.3  1999  123.2  1866  112.6  1977   94.2  1913  106.2  2003  102.7  2016  129.0  1931  145.7  1962  130.1  1956  159.4  1909  156.6  1914  156.4  1979   396.3  1920   272.2  1872   336.4  1957   382.5  1891  1237.7  1938
  148.5  1926  123.1  1871  112.1  1888   93.5  1876  105.7  1931  102.1  1963  128.7  1882  144.6  1903  129.8  1873  157.7  1995  156.4  2018  155.9  1882   393.7  1926   270.8  2000   329.7  1946   382.4  1960  1234.4  2004
  148.0  2015  121.6  1966  111.2  1882   92.5  1922  104.9  2002   98.2  2020  127.9  1946  144.6  1960  127.4  2010  157.3  1862  153.9  2006  155.8  1993   392.7  1957   267.3  1954   328.9  1928   381.6  1898  1226.1  1999
  147.4  1862  120.2  2007  110.7  1976   89.7  1985  104.7  1920   98.2  1890  125.2  1895  143.8  1928  127.2  1984  156.2  2013  153.6  1997  153.6  1945   392.1  1900   265.9  1867   327.3  1900   380.9  1903  1223.5  1960
  146.2  1894  118.3  1880  110.6  1982   89.2  2016  104.2  1972   98.0  1999  123.8  1950  140.8  1906  124.9  1875  155.4  1996  151.6  1906  152.5  1994   385.6  1923   264.6  1868   326.2  1883   379.8  1890  1220.8  1923
  146.2  1936  116.1  1950  110.6  1895   88.2  1950  103.6  2019   97.8  1926  122.5  1879  139.8  1943  123.7  1864  154.0  1875  151.5  1982  151.4  1954   376.8  1930   264.2  1907   326.2  1963   377.2  1877  1218.6  1930
  146.0  2007  116.0  1967  110.4  1920   87.9  1961  103.2  1862   97.7  1998  122.4  1938  138.7  1912  122.6  1899  152.8  1981  149.2  2014  150.5  1891   373.1  1928   263.0  2006   322.1  1988   375.9  1928  1218.1  1894
