Areal values from HadUK-Grid 1km gridded climate data from land surface network
Source: Met Office National Climate Information Centre
Monthly, seasonal and annual total duration of bright sunshine for Scotland E
Areal series, starting in 1919
Last updated 01-Jan-2022 11:00
    jan  year    feb  year    mar  year    apr  year    may  year    jun  year    jul  year    aug  year    sep  year    oct  year    nov  year    dec  year     win  year     spr  year     sum  year     aut  year     ann  year
   68.1  1959  102.5  1970  156.2  1929  223.7  2021  230.2  2001  255.6  1940  253.7  1955  235.0  1947  152.1  1997  114.7  2003   80.9  2013   54.7  2006   193.9  2015   542.2  2020   632.3  1995   303.3  1986  1504.7  1955
   61.1  2019   96.0  2018  155.3  2003  214.6  2015  228.5  2018  230.0  1949  230.6  1989  226.5  1995  148.2  1959  113.1  1998   78.4  1996   49.8  1967   188.3  2018   512.9  2015   589.5  1955   300.1  2003  1472.0  2003
   60.8  2000   94.7  1973  146.0  2012  200.8  2020  225.5  2020  229.8  1957  218.6  1976  205.0  1976  147.2  1987  106.8  1986   75.4  2017   49.4  2014   184.3  2019   495.8  2009   583.2  1976   294.2  1959  1471.7  2018
   59.9  2012   93.7  1999  143.6  1953  199.9  1942  223.8  2000  218.2  1925  215.0  2006  192.0  2003  144.9  1991  106.7  2007   74.9  2016   48.4  2004   182.6  2000   494.6  2007   553.9  2018   293.9  1996  1446.6  1995
   59.2  1992   93.2  1960  140.2  2009  189.3  2007  221.9  2009  213.5  1930  214.6  1935  184.7  1975  138.3  1979  106.5  1997   71.4  1947   46.8  1957   175.3  2001   492.3  1955   552.2  1989   288.8  1997  1410.9  1989
   59.1  2017   92.8  2003  139.0  1933  186.9  2011  221.8  1980  213.3  1995  211.8  2013  173.5  1933  137.9  1986  103.8  1981   71.2  1925   46.7  1999   175.3  1999   488.8  1948   548.1  1933   287.0  1923  1392.6  2015
   58.7  1932   91.8  2004  128.8  2007  184.5  2006  220.1  1992  213.2  1970  208.0  2014  168.6  1919  136.5  1928  103.0  1926   71.1  1988   46.3  2001   171.1  1963   485.1  2011   547.8  1975   285.4  1971  1381.7  1975
   58.3  2015   89.8  2020  128.6  1973  182.5  1981  217.6  1975  212.8  1921  207.9  1990  166.6  1984  135.9  1996  102.3  1923   70.7  1976   46.0  1976   170.5  1949   481.8  2017   528.0  1996   284.6  1926  1375.2  2006
   55.0  1962   88.2  1946  127.2  1970  177.6  1921  211.4  1971  212.8  1996  202.6  2018  165.5  1977  135.0  1955  101.8  1985   70.6  2006   45.4  1975   170.2  1952   477.8  1982   527.2  2006   278.0  2012  1362.4  2009
   53.9  2009   86.7  1963  125.7  1948  175.2  1990  209.7  1948  212.6  1975  193.8  1972  164.8  2015  134.8  1933  101.1  2008   70.6  1973   45.3  1951   168.8  2020   477.4  1942   526.4  1969   276.5  1955  1360.9  1949
