Areal values from HadUK-Grid 1km gridded climate data from land surface network
Source: Met Office National Climate Information Centre
Monthly, seasonal and annual number of days in the month with air frost (minimum temperature below zero) for Scotland N
Areal series, starting in 1960
Last updated 01-Jan-2022 11:00
    jan  year    feb  year    mar  year    apr  year    may  year    jun  year    jul  year    aug  year    sep  year    oct  year    nov  year    dec  year     win  year     spr  year     sum  year     aut  year     ann  year
   25.7  1979   24.3  1963   22.1  1979   16.9  2021    9.0  1979    1.7  1964    0.1  1965    0.4  1973    1.7  1993    8.3  1992   19.8  1969   24.0  2010    63.2  2010    39.0  1979     2.0  1964    22.6  1985   113.9  1979
   24.6  1984   24.3  1968   21.2  1969   15.5  1986    7.5  1968    1.4  1991    0.1  1973    0.3  1999    1.7  1975    8.0  1981   19.6  1985   24.0  1981    62.3  1963    37.4  2013     1.4  1991    20.9  1969   110.8  2010
   24.1  1963   24.0  1986   21.0  1970   15.0  1983    7.2  1995    1.3  1975    0.1  1966    0.3  1977    1.7  1991    7.8  1973   16.9  1996   22.2  1976    58.4  1979    36.0  1970     1.3  1975    20.1  1993   106.3  1969
   23.1  2021   23.2  1969   20.8  1962   14.7  1970    7.2  1996    1.3  1998    0.1  1962    0.3  1962    1.7  1974    7.4  2003   15.9  1965   21.6  1995    58.0  1977    35.4  1962     1.3  1998    19.9  2010   102.3  1968
   22.9  1985   22.1  1970   20.3  2013   14.5  1966    7.0  1982    0.9  1985    0.1  2004    0.2  1964    1.6  1986    7.1  2012   15.6  2010   21.4  2009    56.3  1986    34.3  1969     1.1  2012    19.7  1973   101.7  1981
   20.9  1978   21.5  1983   19.8  1987   13.5  2013    6.3  1994    0.9  2012    0.1  2000    0.2  1966    1.6  1972    7.0  2002   13.7  2019   21.0  1961    54.6  1994    33.8  1995     1.1  1977    18.9  2019   100.4  1985
   20.8  2010   21.1  1979   19.2  1995   12.5  1962    5.8  2019    0.8  1977    0.0  1960    0.2  2012    1.3  2020    6.7  1987   12.8  1966   19.6  1965    54.3  1966    31.9  1968     0.9  1985    18.8  1992    98.5  1970
   20.2  2001   21.0  2010   18.1  1965   12.1  1981    5.1  2012    0.7  2015    0.0  1970    0.2  2016    1.3  1960    6.4  1993   12.7  1961   19.6  1993    53.7  1970    30.9  1975     0.8  1978    17.5  1965    97.9  1986
   20.1  1965   19.6  1960   17.7  1975   11.9  1973    4.9  2021    0.7  1978    0.0  1986    0.1  2014    1.2  1989    5.3  1980   12.3  1977   19.5  1996    53.4  1969    29.4  2021     0.8  1961    17.5  2012    97.8  1965
   19.8  1986   19.4  1996   17.5  2001   11.5  2012    4.8  1977    0.7  1989    0.0  1964    0.1  1986    1.1  1984    5.2  2019   12.1  1979   18.2  1968    53.4  1968    28.7  1965     0.7  1999    17.3  1996    97.7  1963
