Areal values from HadUK-Grid 1km gridded climate data from land surface network
Source: Met Office National Climate Information Centre
Monthly, seasonal and annual number of days in the month with precipitation amount >= 1mm for Scotland N
Areal series, starting in 1891
Last updated 01-Jan-2022 11:00
    jan  year    feb  year    mar  year    apr  year    may  year    jun  year    jul  year    aug  year    sep  year    oct  year    nov  year    dec  year     win  year     spr  year     sum  year     aut  year     ann  year
   28.5  1928   25.8  1990   28.0  1994   26.0  1927   23.9  2011   26.0  1907   24.7  1940   26.7  1907   27.0  1899   28.2  1917   25.9  1939   28.8  1974    74.3  1894    63.2  1979    68.5  1907    75.2  1917   254.0  1923
   27.6  1983   25.0  1931   26.9  1967   24.1  1904   23.7  1902   22.8  1927   24.1  1953   26.3  1923   26.7  1950   28.1  1923   25.9  1947   28.5  1898    73.8  1995    62.8  1920    66.7  1946    75.0  1923   244.3  1903
   26.8  1923   24.8  2000   26.8  1921   24.0  1977   23.1  1906   21.9  1919   23.5  1924   25.7  1903   24.9  1918   27.3  1932   25.3  2017   27.8  1929    72.6  2000    62.6  1925    64.5  1923    73.4  1954   242.3  1900
   26.8  1993   24.7  2020   26.0  1903   23.9  1899   22.9  1925   21.5  1912   23.4  1988   25.2  1891   24.0  1932   27.3  1929   25.0  1940   27.5  1966    72.4  1916    61.6  1906    64.3  1924    70.4  1929   242.1  1898
   26.7  1900   24.5  2002   25.9  1897   22.9  1934   22.3  1924   21.1  1946   23.2  1900   24.9  1985   23.9  1927   27.1  1903   25.0  1899   27.4  1900    70.4  1920    61.6  1902    62.0  1922    69.7  1899   239.1  1905
   26.6  2007   24.4  1894   25.5  1992   22.7  1950   21.7  1986   20.7  2002   23.0  1920   24.8  1904   23.7  1982   26.7  1983   24.8  1986   27.2  2011    70.2  1999    60.9  1934    62.0  1985    69.5  1893   235.4  1906
   26.2  2015   24.4  1997   25.1  1905   22.5  1949   21.3  2003   20.7  2004   22.7  2016   24.0  1892   23.7  1923   26.6  1967   24.8  2000   26.7  1980    70.2  2014    60.7  1898    61.5  1895    69.4  1974   234.8  1907
   26.1  1921   24.2  1989   24.7  1896   22.3  1947   21.2  1894   20.6  1938   22.4  1946   23.7  1930   23.6  1954   26.2  1892   24.7  1992   26.6  1901    70.1  2020    60.5  1927    60.4  1928    69.2  1981   234.6  1928
   26.0  1975   23.9  1898   24.3  2008   21.8  1932   21.0  2015   20.5  1928   22.3  1915   23.6  1941   23.5  1974   26.1  1942   24.4  1991   26.2  1893    70.0  1989    60.4  1970    59.4  1903    69.1  2017   234.3  1922
   25.8  1995   23.8  1988   24.3  1989   21.7  1910   21.0  1923   19.9  1896   22.0  1950   23.4  1895   23.5  2018   26.1  1935   24.4  1938   25.7  1986    69.7  1931    60.0  1967    58.6  1896    68.4  1984   234.1  1916
   25.8  1892   23.7  1925   24.1  1983   21.7  1951   20.4  1963   19.9  1922   21.7  1936   23.3  1946   23.5  1893   26.0  1893   24.4  1917   25.7  1923    69.7  1937    59.6  1905    58.6  1950    67.7  1982   233.5  1893
   25.4  2004   23.7  1903   24.1  1966   21.6  1970   20.4  1920   19.7  1994   21.7  1922   23.2  1992   23.3  1891   26.0  1954   24.3  1970   25.6  1915    68.8  1898    59.1  1903    58.3  1929    67.6  1938   232.0  1926
   25.3  1994   23.6  1999   23.8  1990   21.4  1915   20.4  1916   19.6  1945   21.7  1895   23.2  1929   23.2  1978   26.0  1981   24.2  1951   25.6  1954    68.0  2005    59.0  2006    58.0  1918    67.2  1905   231.4  1938
