Areal values from HadUK-Grid 1km gridded climate data from land surface network
Source: Met Office National Climate Information Centre
Monthly, seasonal and annual total precipitation amount for Scotland N
Areal series, starting in 1862
Last updated 01-Jan-2022 11:00
    jan  year    feb  year    mar  year    apr  year    may  year    jun  year    jul  year    aug  year    sep  year    oct  year    nov  year    dec  year     win  year     spr  year     sum  year     aut  year     ann  year
  352.4  1993  326.6  1990  345.6  1990  220.4  1904  215.1  2011  189.7  1872  207.4  1940  236.0  2014  277.9  1950  293.9  1983  309.4  1981  327.4  1898   790.9  2000   526.6  1990   465.1  2019   803.4  1981  2220.1  1990
  308.9  1928  317.0  1989  303.5  1994  219.6  1947  173.3  1986  178.4  1877  196.0  1939  231.9  1992  235.1  1995  279.8  2014  287.7  1917  326.2  2013   782.3  1989   506.2  1994   457.4  1877   727.1  1917  1989.8  1903
  308.1  1983  310.7  1997  303.1  1967  191.0  1910  166.5  2015  159.9  1938  182.0  1946  225.2  1962  232.7  1981  278.0  1917  281.3  1977  325.8  2015   779.6  1995   490.4  1967   446.7  1985   661.7  1980  1980.2  1992
  301.9  2015  304.7  1868  243.0  1903  186.2  1927  161.2  1922  159.7  1907  181.0  1956  223.9  1868  231.3  1899  277.6  1935  271.4  1947  319.5  1949   759.9  1868   461.2  2015   431.4  1946   658.5  1938  1970.7  2011
  297.4  2007  290.8  2020  224.0  1979  177.4  1950  157.3  1958  156.1  1966  179.3  1988  221.7  2019  227.1  2018  275.4  2001  262.6  1938  315.4  1974   758.3  2020   445.8  1986   426.9  1956   651.1  1978  1964.2  2015
  297.4  2005  286.0  1998  218.1  1992  175.7  1977  157.2  2007  141.8  2017  170.3  1871  217.5  1903  225.8  1863  270.0  1938  261.8  1991  311.5  2011   738.2  2016   444.5  1992   426.4  1903   644.8  1893  1959.7  1999
  295.3  1868  266.9  2002  215.0  1882  174.1  1934  149.7  2003  140.9  1980  167.3  1881  215.7  1985  223.0  1982  268.4  2008  260.5  1986  310.4  1966   729.6  2007   429.6  1979   422.2  1938   631.8  1982  1945.0  1938
  284.2  2008  265.1  1894  208.4  1876  169.7  1951  140.2  1925  138.3  1919  163.7  2010  197.7  1989  217.0  1980  264.5  1970  258.7  1978  304.4  1900   723.0  2014   427.7  2011   417.0  1890   629.3  2006  1943.8  2020
  282.4  1890  259.8  1903  208.3  1989  169.6  1949  136.6  1963  136.6  1994  162.8  1970  194.4  1982  216.1  1978  263.1  1954  254.8  2006  298.9  2006   710.9  1894   423.8  1903   415.7  1957   622.5  1954  1913.3  1998
  275.5  1932  244.8  2000  202.5  2015  168.0  1994  135.7  1906  135.4  2004  160.5  1918  183.9  1941  215.6  1893  261.4  1981  252.1  1973  295.6  1986   708.3  2015   404.0  2006   407.6  1918   619.6  1935  1896.4  2004
  272.3  1989  238.8  1995  200.4  1966  165.4  1915  135.5  1923  134.5  1990  158.2  1959  182.4  1889  215.4  1935  260.8  1967  250.6  1979  292.1  1999   688.8  1990   403.6  1997   406.4  1948   618.1  1970  1891.1  1868
  270.5  1995  234.2  1920  198.0  1986  160.2  1867  133.7  2013  134.0  1862  157.5  1953  182.2  1988  212.6  2004  258.6  1903  250.3  1877  287.6  1983   684.9  1903   399.8  1882   404.8  2017   617.1  1984  1841.8  2008
  267.4  1975  214.3  2014  197.2  2009  159.6  1919  127.2  1892  132.4  1944  155.9  1957  181.8  2009  208.3  1892  252.4  2020  249.9  1982  285.9  1912   680.5  2005   398.6  2009   404.7  1907   604.1  1991  1834.4  2014
  263.7  1976  211.9  1869  194.6  1968  157.4  1932  124.3  2009  132.0  1999  152.8  2016  181.0  1949  203.7  2011  252.1  1890  247.8  1992  280.7  1921   674.1  2012   397.4  1910   403.1  1961   597.8  1977  1832.8  1877
