Areal values from HadUK-Grid 1km gridded climate data from land surface network
Source: Met Office National Climate Information Centre
Monthly, seasonal and annual total duration of bright sunshine for Scotland N
Areal series, starting in 1919
Last updated 01-Jan-2022 11:00
    jan  year    feb  year    mar  year    apr  year    may  year    jun  year    jul  year    aug  year    sep  year    oct  year    nov  year    dec  year     win  year     spr  year     sum  year     aut  year     ann  year
   50.9  2001   95.4  1975  141.6  1929  210.0  1942  225.4  2008  235.2  1970  212.0  1955  232.7  1947  139.3  1996  104.8  2016   62.0  1925   39.0  1995   150.5  1963   484.7  2020   577.9  1995   270.1  1959  1319.6  1955
   45.7  1963   93.5  2003  138.1  1923  200.6  2020  223.5  1994  224.9  1920  187.1  1990  210.7  1976  133.9  1959   99.8  1939   57.9  2011   38.2  1920   147.6  1930   484.5  1942   539.7  1955   256.2  2003  1307.3  2018
   42.6  2021   91.0  2018  131.3  1931  199.3  2021  220.0  1992  224.2  1949  183.4  2013  203.6  1995  131.0  1928   93.6  1959   56.2  1989   34.8  1960   145.8  2003   479.1  2008   486.5  2009   248.3  2016  1254.9  2003
   42.2  1991   90.9  1986  126.1  1953  195.1  1962  219.6  2018  220.6  2009  180.1  1995  179.5  1997  125.1  1933   92.7  2003   54.2  1993   33.8  1972   145.2  1947   477.2  1929   486.3  1947   245.9  1928  1253.1  2009
   41.4  1941   86.5  1968  125.0  2003  188.7  1974  218.4  1948  213.2  1940  172.9  2014  178.5  1968  122.2  1987   91.5  1973   54.1  2018   33.0  2007   143.1  1985   475.2  1948   480.8  1976   242.8  1996  1225.5  1995
   41.2  1947   86.3  1930  124.0  1935  175.4  1954  218.4  2000  212.5  1936  172.7  1989  178.3  1938  121.8  1997   86.9  1971   54.0  2003   32.9  1961   139.7  2001   471.3  2018   477.0  1997   238.2  1998  1177.2  1989
   39.5  2009   83.4  1963  123.9  1956  174.7  2015  216.4  1946  204.9  2018  170.3  1983  166.6  2003  121.8  1960   86.7  1946   53.5  1926   31.1  2001   138.7  1959   462.7  2009   469.2  2018   233.1  1939  1171.6  1975
   39.5  1929   81.4  1959  120.2  2007  172.0  1984  213.6  2009  200.9  1925  170.2  1935  159.3  1977  120.5  1971   86.0  1965   51.9  1968   31.1  1953   138.1  2018   458.9  2007   468.5  1968   232.9  1971  1169.4  1959
   39.1  1977   79.6  1979  120.0  1954  170.4  1981  213.6  1951  200.1  1934  169.8  1926  154.2  1944  117.8  1934   85.9  1936   51.2  2016   30.6  1957   137.9  2021   446.9  1935   464.7  1920   231.5  1997  1167.3  1977
   37.0  2017   79.6  1960  119.4  2017  164.3  2007  209.0  1935  196.7  1967  168.2  1972  153.6  1966  117.6  1991   85.4  1922   50.9  1976   29.3  1977   137.0  1975   444.4  1974   462.1  1977   228.7  1958  1163.2  1947
   37.0  1952   79.2  1985  119.0  1948  162.6  1929  204.9  2017  194.2  1995  164.6  1982  152.8  1984  116.2  2004   85.4  1972   49.9  1958   29.2  1946   134.5  1977   443.3  2001   456.6  1921   227.8  1926  1155.4  1968
   37.0  1925   77.9  2013  118.6  2001  161.8  2013  203.0  2012  192.5  1957  162.2  2006  150.5  1950  115.0  1949   84.2  1998   49.2  1965   28.9  1943   133.2  1960   443.1  1955   448.9  1949   225.2  2019  1154.6  2016
   36.9  1946   76.3  2021  113.9  1974  160.1  1955  202.5  1937  190.2  1930  160.6  1943  150.5  2004  114.4  1924   84.1  1975   48.3  1961   28.8  1935   133.0  1986   435.8  2015   446.7  1925   224.5  2015  1154.4  1997
   36.3  1961   76.0  1955  113.0  1941  159.1  2018  201.4  1942  188.1  1969  160.3  2021  150.5  1999  112.4  1958   84.0  2015   47.0  1960   28.8  1927   130.0  1961   434.5  2016   446.5  1975   224.1  1987  1153.4  2008
   36.1  1959   74.8  1947  112.3  2004  158.3  2019  200.3  1980  187.3  1921  156.3  2018  145.9  1939  111.1  2015   81.9  2019   46.8  1996   28.6  1984   129.7  1955   434.4  1954   445.1  1926   223.0  1924  1149.6  2021
   35.9  1933   72.6  2017  110.8  1934  158.2  1968  195.5  2016  186.6  1955  154.4  1976  145.8  1973  109.5  2003   81.0  1920   46.7  1950   27.7  2006   127.4  1968   431.0  1951   444.5  1933   222.2  2010  1149.5  1926
   35.8  2019   71.1  2016  109.7  2015  157.0  2011  192.7  1975  185.8  1951  154.2  1963  142.0  1945  109.5  1998   80.0  1950   44.7  2010   27.6  2009   127.1  1996   430.7  2012   443.3  1936   222.0  1936  1146.8  1919
   35.8  1997   70.4  1977  109.4  2012  157.0  1956  191.1  1982  184.6  1933  152.7  1999  141.2  1955  109.0  1919   79.9  1928   44.5  1998   27.4  1996   126.6  1964   427.2  1962   442.7  1969   221.4  2000  1146.6  1929
   35.8  1955   69.9  2008  109.1  1969  155.6  2008  190.7  2020  183.8  1986  149.2  1971  140.7  2016  108.4  1994   79.9  2010   44.3  1935   26.7  2010   126.5  2017   427.1  1946   441.6  2003   221.2  2018  1143.4  2020
   35.3  1985   69.6  1964  108.9  1919  154.4  1921  190.0  1977  183.6  1975  149.2  1919  139.8  2020  107.0  1993   78.5  1985   44.1  2019   26.7  1969   126.2  1979   427.0  2017   440.6  1989   220.4  1923  1142.6  1936
   35.1  1930   69.5  1994  108.8  1937  153.9  2003  188.8  1955  174.0  1968  148.8  1950  137.3  1975  106.9  1989   78.5  1997   44.0  2012   26.6  1932   124.7  2008   425.3  1953   437.6  1983   220.0  1972  1138.1  2013
   34.8  1940   68.5  1970  107.0  1972  152.6  1957  187.5  1989  173.3  1939  148.5  1947  136.4  1933  106.0  1974   78.2  1923   43.9  1952   26.4  1948   123.2  2013   424.6  2021   436.8  1982   218.8  1989  1137.8  1921
   34.7  2012   67.8  1950  106.7  2014  152.3  2009  186.4  1959  170.9  1960  148.3  1921  135.9  1927  105.7  1979   76.7  1952   43.5  2009   26.2  1929   122.0  2010   420.0  1994   435.0  2021   218.4  1973  1136.8  1920
   34.3  1965   67.7  1927  105.7  1958  150.8  1966  185.2  1990  170.5  1959  147.5  1956  135.3  1931  104.1  2006   76.5  1945   43.5  1988   26.0  1963   121.9  1978   419.6  1956   434.7  1970   217.2  1960  1136.4  1950
   33.8  1951   66.7  1981  104.8  1965  149.5  1925  184.8  2001  167.9  1928  147.4  1997  135.1  1919  103.6  1951   76.3  1995   43.2  2000   26.0  1955   121.9  2011   417.5  1981   433.9  1950   214.7  2012  1135.1  1960
   33.5  1939   66.5  2001  103.1  1930  148.6  1990  183.9  1919  165.5  1974  147.0  2009  135.0  1926  103.4  1939   76.2  1948   43.0  1948   25.7  1987   121.6  1962   417.4  2000   430.7  1927   214.6  1948  1133.5  1951
   33.3  2011   66.3  1978  102.9  1927  148.4  2006  183.5  1988  165.1  1982  145.1  1994  131.4  1937  103.2  1931   75.7  1947   42.6  1959   25.6  1938   121.1  1970   415.2  2003   430.5  1934   214.6  1919  1132.8  1948
   33.3  1960   64.3  1949  102.6  2016  148.2  1969  181.0  1950  164.1  1956  141.8  1962  131.3  2012  103.2  1955   75.3  2000   42.5  1929   25.5  1937   118.3  1936   413.1  1921   428.1  1919   214.2  1961  1132.1  1994
   33.2  2006   63.3  2010  101.8  1973  145.9  2005  179.6  1926  164.0  1992  141.6  1934  129.8  2014  102.9  2000   75.0  1987   42.4  1955   25.3  1951   117.2  1950   411.7  1984   423.1  1971   213.5  1993  1131.6  1963
   33.0  1989   63.2  1957  101.7  1963  144.7  1952  179.6  1984  164.0  1927  141.0  1977  129.5  1991  102.6  2002   74.5  1926   42.4  1923   25.1  1989   115.6  1940   408.3  2002   420.1  1972   212.7  1920  1131.4  2000
   32.7  1932   63.1  2004  101.0  1947  144.0  1998  178.2  2006  162.3  1989  140.9  2008  128.6  1971  102.2  1944   73.8  1927   42.1  1927   25.1  1933   115.2  1973   407.9  2013   419.0  1999   212.3  1979  1130.5  1949
   32.6  1988   62.5  1940   99.9  1959  143.7  1936  176.3  1978  162.3  1941  140.4  1958  128.0  1946  101.1  1961   73.7  1924   42.0  1921   25.1  1994   114.7  1921   406.8  1980   419.0  1956   211.0  1975  1128.6  1935
   32.5  2018   61.9  2011   99.1  2013  143.3  1953  175.9  1996  162.0  1932  139.8  2017  127.4  1932  100.5  2020   73.0  2018   41.8  1932   25.0  1976   114.5  1929   405.5  1937   417.9  2013   211.0  1934  1125.8  1976
   31.6  1996   61.8  1983   99.0  1987  143.2  2002  175.8  1932  161.7  1977  135.0  1991  127.0  1969   99.9  1923   72.3  1937   40.8  1945   25.0  2002   113.1  1997   405.0  2011   414.5  1986   209.3  1922  1120.6  1969
   31.6  1950   61.7  1932   98.5  1949  140.0  2001  175.5  1921  158.5  2006  135.0  1924  125.3  1974   99.8  1926   72.0  1951   40.1  1966   24.7  1981   113.0  1932   403.8  1923   412.4  1940   209.2  1946  1120.3  1974
   31.1  2010   61.5  1969   98.3  1986  139.8  1922  175.5  1958  158.4  2021  134.9  1948  124.9  1965   99.7  1936   71.6  1964   39.7  1944   24.4  2008   112.0  1954   401.4  1963   410.9  1967   208.0  1949  1110.9  1972
   31.0  1919   60.8  2014   98.1  2008  138.6  1963  174.7  2010  155.7  1963  133.7  1920  122.5  2000   99.3  2013   71.5  2012   39.5  1942   22.8  1997   111.3  1949   401.1  2010   410.8  1974   207.6  2002  1110.7  2006
   31.0  1964   60.7  1919   97.7  1976  137.9  1970  174.4  2007  153.1  1929  131.1  2011  122.5  1983   99.3  2012   71.3  1979   39.3  1949   22.8  1930   111.0  1928   400.4  2019   406.3  1938   207.2  1994  1109.7  1971
