Areal values from HadUK-Grid 1km gridded climate data from land surface network
Source: Met Office National Climate Information Centre
Monthly, seasonal and annual number of days in the month with air frost (minimum temperature below zero) for Scotland W
Areal series, starting in 1960
Last updated 01-Jan-2022 11:00
    jan  year    feb  year    mar  year    apr  year    may  year    jun  year    jul  year    aug  year    sep  year    oct  year    nov  year    dec  year     win  year     spr  year     sum  year     aut  year     ann  year
   26.4  1963   26.1  1963   20.7  2013   14.7  2021    6.7  1979    0.9  1991    0.0  1965    0.1  1964    3.0  1986    8.7  1992   18.3  1985   24.6  2010    67.3  1963    31.7  2013     0.9  1991    22.3  1993   103.2  2010
   25.8  1985   23.8  1986   20.5  1969   13.2  1983    5.2  1996    0.7  1975    0.0  1992    0.1  1977    2.3  1974    8.0  1993   16.6  1969   21.9  1981    61.6  2010    31.6  1979     0.7  1975    18.6  1985   100.1  1979
   25.4  1979   23.0  1968   19.5  1962   12.2  1970    4.9  1995    0.5  1989    0.0  2000    0.0  1999    1.6  1972    6.7  1981   15.1  1965   21.4  2009    59.3  1979    31.6  1969     0.5  1989    17.4  2010    94.4  1969
   20.9  1987   20.9  1979   18.2  1979   11.8  1986    4.3  1975    0.4  1962    0.0  1966    0.0  1986    1.2  1975    5.8  2003   14.8  1996   20.3  1961    49.9  1965    29.5  1970     0.4  1962    16.8  1969    88.4  1963
   20.7  2021   20.8  2010   17.3  1970   10.7  1966    3.8  1982    0.3  1985    0.0  1962    0.0  1989    1.2  2020    5.7  2002   13.6  2010   19.6  1976    48.5  2011    28.7  1962     0.3  1998    16.1  1965    85.2  1985
   20.6  1984   20.6  1969   16.5  1987    9.8  1968    3.8  1984    0.3  1998    0.0  1964    0.0  1966    1.1  1993    5.6  1973   13.2  1993   17.3  1995    48.5  1986    27.1  1975     0.3  1985    16.0  1973    84.4  1968
   19.4  2010   19.9  1960   16.5  1995    9.5  2013    3.6  1968    0.2  1964    0.0  1999    0.0  1969    1.0  2007    4.9  2012   12.8  2016   16.9  2001    48.4  1977    26.6  1995     0.3  1964    15.8  2019    84.2  1965
   18.7  1997   19.5  1970   16.1  2001    9.4  1969    3.5  2010    0.2  1978    0.0  1986    0.0  1993    0.9  1979    4.1  2018   11.7  2019   16.5  2008    48.2  1968    24.8  1968     0.2  1969    15.4  1971    81.9  1981
   17.9  1978   19.5  1996   15.9  1975    8.5  1998    3.4  2012    0.1  1969    0.0  1971    0.0  1987    0.7  2010    4.1  1980   11.5  1966   16.5  1960    47.0  1970    23.7  2021     0.2  1978    15.4  1992    79.5  1996
   17.7  1960   19.3  1983   15.0  2018    8.5  1989    3.4  1977    0.1  2012    0.0  1976    0.0  1968    0.6  1964    4.1  2019   11.3  1971   16.4  1989    46.6  1969    23.4  2001     0.1  1977    15.0  1996    79.1  1986
   17.4  1965   19.0  1991   14.7  1965    8.5  1978    3.3  2021    0.1  2001    0.0  1968    0.0  1962    0.6  1995    4.0  1997   10.7  1977   16.2  1968    46.5  1991    22.1  1996     0.1  1986    14.1  1966    78.2  1970
   17.2  2011   17.3  1978   14.5  2006    8.3  2000    3.1  1967    0.1  1974    0.0  1961    0.0  1965    0.6  1971    3.5  2008   10.6  2005   15.9  1996    46.0  1987    21.4  1965     0.1  2012    13.6  1972    77.4  1962
   17.2  1977   16.8  1965   13.7  1980    8.3  1981    2.9  2020    0.1  1961    0.0  1996    0.0  1992    0.6  2012    3.5  1971   10.4  2013   15.6  1964    45.6  1985    21.3  1986     0.1  2001    12.9  2016    76.6  1987
   17.1  1980   16.7  2013   13.6  1985    8.2  2012    2.8  1997    0.1  2009    0.0  1993    0.0  2012    0.5  1988    3.3  1983   10.3  1973   15.6  1993    44.6  2018    21.2  1984     0.1  1974    12.6  1980    76.5  2001
   16.6  1986   16.7  1981   12.6  2010    8.1  1962    2.6  2005    0.1  1986    0.0  1995    0.0  2004    0.4  1991    3.0  2010   10.2  1972   15.6  1969    43.8  1996    21.1  2010     0.1  1999    12.2  1962    76.0  1995
   16.4  1995   16.5  2018   12.1  1996    8.1  1973    2.5  1994    0.1  1987    0.0  1998    0.0  1998    0.4  1960    3.0  1974   10.2  1962   14.9  2017    43.2  2009    20.3  2006     0.1  1961    11.7  2012    74.7  2013
   16.3  1966   16.4  1987   11.6  1976    8.1  2016    2.2  2019    0.1  1977    0.0  2015    0.0  2014    0.3  1977    2.8  1987    9.0  1990   14.8  1962    43.1  1994    20.3  1973     0.1  1987    11.4  1974    71.6  1966
   15.9  2001   15.6  1994   11.4  1964    7.3  1994    2.2  2015    0.1  1971    0.0  1973    0.0  1982    0.3  1987    2.8  1988    8.6  2017   14.2  1982    42.7  2021    20.3  1983     0.1  2009    11.2  2008    71.1  1960
   15.4  1991   15.0  2001   11.4  1968    7.1  1984    2.2  1981    0.1  1972    0.0  1960    0.0  2010    0.2  1983    2.8  1998    8.5  1980   14.1  1999    42.3  2001    20.2  1987     0.1  1971    11.1  1977    70.0  1973
   15.3  1961   15.0  2016   11.1  1971    6.9  1977    2.1  1973    0.0  1973    0.0  1980    0.0  1978    0.1  1976    2.6  1966    8.4  1979   13.0  1978    42.3  2013    19.9  2018     0.1  1972    10.7  2005    70.0  1978
   14.9  2019   14.9  2004   10.3  1984    6.9  1975    1.9  1993    0.0  1999    0.0  1972    0.0  1988    0.1  2003    2.5  1964    8.4  1991   12.8  1967    42.2  1982    19.0  1981     0.1  1965    10.7  2013    69.7  2021
   14.2  2009   14.2  2003   10.2  1988    6.9  2008    1.7  1969    0.0  1981    0.0  1989    0.0  1972    0.1  1997    2.0  1962    8.4  1963   12.7  1992    41.8  1966    19.0  1982     0.1  1973    10.6  1988    68.0  1980
   14.1  1981   13.4  1985   10.2  1982    6.7  1979    1.7  1991    0.0  2015    0.0  1970    0.0  1973    0.1  2018    1.8  1972    7.8  1968   12.7  1963    41.8  1981    18.9  1985     0.0  1981    10.5  1998    65.1  1991
   14.0  2003   13.1  1966   10.2  2011    6.6  1974    1.6  1965    0.0  1996    0.0  1974    0.0  1994    0.1  1990    1.5  1967    7.8  2008   12.6  1979    41.6  1962    18.8  1980     0.0  2015    10.5  1983    64.3  1975
   13.7  2017   12.4  2009   10.1  1973    6.2  1967    1.5  1974    0.0  1997    0.0  1963    0.0  2020    0.1  1989    1.2  1975    7.7  1998   12.5  2012    41.2  1997    18.2  1974     0.0  1996    10.2  1981    63.9  1993
