Areal values from HadUK-Grid 1km gridded climate data from land surface network
Source: Met Office National Climate Information Centre
Monthly, seasonal and annual number of days in the month with precipitation amount >= 1mm for Scotland W
Areal series, starting in 1891
Last updated 01-Jan-2022 11:00
    jan  year    feb  year    mar  year    apr  year    may  year    jun  year    jul  year    aug  year    sep  year    oct  year    nov  year    dec  year     win  year     spr  year     sum  year     aut  year     ann  year
   28.9  1928   25.6  1910   29.4  1903   24.0  1904   24.7  1925   24.2  1907   26.1  1988   27.2  1985   26.8  1950   29.4  1903   25.7  1992   29.0  2011    76.7  2014    59.6  1920    62.8  1985    72.6  1954   241.6  1903
   28.0  1990   25.6  2000   27.1  1994   20.5  1947   23.8  1986   22.8  1912   24.2  1920   26.6  1903   25.1  1954   27.0  1930   25.7  1986   28.7  1974    70.7  1922    59.0  1913    62.5  1907    69.5  1938   231.6  1923
   27.8  1921   25.5  2014   26.4  1921   20.5  1949   23.0  2011   22.4  2002   23.5  1931   24.7  1895   24.4  1980   26.7  1923   25.2  1938   28.2  1911    70.7  1894    58.9  1986    61.4  1924    68.2  2000   227.0  2011
   27.4  1975   25.4  1990   25.8  1905   20.1  1899   22.9  1924   21.1  1928   23.5  1960   24.4  1907   24.0  1946   26.3  2011   24.8  1959   28.1  1912    70.2  1920    58.0  1904    59.7  1946    68.0  1903   225.9  1928
   27.1  2008   25.1  2020   25.4  1992   19.8  1964   22.5  2003   20.5  1931   22.9  1953   24.3  2009   23.1  1891   26.1  1938   24.8  1931   28.0  1900    70.0  1995    57.7  1967    59.3  1927    67.6  1923   224.8  1900
   26.8  1900   24.7  1918   25.2  1897   19.7  1996   22.4  1906   20.4  1972   22.7  1923   24.2  1930   23.1  1934   25.9  1983   24.7  1951   27.8  2015    70.0  2020    57.6  1947    59.2  1928    66.4  2011   221.8  1904
   25.8  1974   24.3  1997   24.7  1912   19.6  1927   21.3  1967   20.3  1947   22.1  1924   24.2  1943   23.0  1923   25.7  1906   24.7  1939   27.3  1929    69.8  2016    56.7  1903    58.7  2017    66.0  1935   221.6  1954
   25.7  2014   23.9  1914   23.8  1967   19.6  1932   20.6  1920   20.1  1945   21.6  1985   24.0  1891   22.8  1899   25.6  1967   24.4  1929   27.2  1949    67.9  1937    56.6  1925    58.6  1950    65.2  1917   219.5  1906
   25.7  2016   23.8  1945   23.8  1902   19.5  1977   19.9  1976   20.0  1935   21.5  2010   24.0  1992   22.7  1908   25.5  2001   24.3  1913   26.4  1959    67.8  1916    56.5  1992    57.3  1943    63.4  1950   217.0  1920
   25.7  1983   23.5  1894   23.3  1913   19.4  1992   19.5  1963   19.5  1946   21.4  1932   23.5  1929   22.1  1974   25.4  1935   24.1  1979   26.3  1986    67.8  2000    56.3  1905    56.3  1903    63.3  1981   216.8  1938
