Areal values from HadUK-Grid 1km gridded climate data from land surface network
Source: Met Office National Climate Information Centre
Monthly, seasonal and annual total precipitation amount for Scotland W
Areal series, starting in 1862
Last updated 01-Jan-2022 11:01
    jan  year    feb  year    mar  year    apr  year    may  year    jun  year    jul  year    aug  year    sep  year    oct  year    nov  year    dec  year     win  year     spr  year     sum  year     aut  year     ann  year
  357.0  1928  330.7  1990  277.1  1994  214.2  1947  227.7  2011  217.1  1872  226.5  1988  296.1  2009  326.3  1950  312.5  1903  339.9  2009  381.6  2015   906.9  2014   528.7  1986   588.3  1985   793.4  1954  2280.2  2011
  322.8  1993  330.3  2020  272.7  1903  189.2  1867  224.4  1986  187.5  1938  217.8  1985  294.4  1985  274.5  1981  308.8  1995  328.8  2015  369.1  1929   861.2  2016   491.1  1992   540.9  2009   765.8  2011  2206.5  2015
  319.6  1975  301.0  1997  255.7  1992  183.4  1949  213.7  1925  183.0  2002  193.3  1873  267.9  1992  268.6  1985  308.4  1983  316.0  1877  342.6  1986   801.9  2020   471.3  1947   518.2  1872   752.1  1981  2159.4  1877
  316.3  1974  290.7  2002  240.2  1990  180.1  1972  176.7  2015  178.2  1931  190.8  1882  245.3  2019  247.6  1980  303.1  1874  314.6  2006  341.2  2013   796.0  1995   471.2  2015   509.5  2012   733.8  1938  2141.8  2020
  310.0  2008  290.3  1894  238.0  1921  178.0  1991  169.6  1920  177.0  2012  189.7  2010  238.9  1989  240.7  1869  298.9  1967  297.2  1938  335.1  1999   785.6  2000   469.2  1963   501.2  2020   708.3  1982  2139.5  1990
  301.9  1990  289.6  2014  224.3  1989  173.0  1925  164.7  1906  173.1  2017  188.4  1953  236.9  1962  239.7  1978  298.2  1935  290.4  1986  329.5  2011   743.4  1990   463.0  1994   497.1  2019   699.4  2006  2132.8  1872
  297.5  1877  239.6  1989  218.1  2019  170.9  1904  161.6  1976  166.2  1912  186.7  1862  234.0  1903  238.7  1885  296.5  1938  290.1  1890  306.9  2006   719.9  1877   461.8  1925   496.0  1877   689.8  1935  2051.4  1954
  293.5  1872  236.3  1995  217.1  1978  163.9  1993  157.2  2003  162.0  1897  183.6  2020  229.5  1910  238.2  2011  295.7  2008  270.7  1982  305.5  1994   718.6  2015   443.4  1993   495.9  2017   688.5  1874  2050.4  1903
  291.9  1962  236.1  1868  216.5  1963  149.4  1994  149.7  1892  158.1  1948  179.8  1998  223.2  1923  238.0  1872  295.2  1954  270.5  1954  305.1  1912   713.2  1894   437.4  1913   493.2  1998   688.1  2000  2028.5  1928
  291.1  2015  234.5  2000  212.8  1986  148.5  1992  149.6  1967  157.1  1928  178.5  1950  220.7  2004  232.7  1923  293.9  2011  266.6  1979  304.5  1993   711.3  2007   428.7  1920   491.0  1948   681.0  1984  2027.6  2014
