Areal values from HadUK-Grid 1km gridded climate data from land surface network
Source: Met Office National Climate Information Centre
Monthly, seasonal and annual total duration of bright sunshine for Scotland W
Areal series, starting in 1919
Last updated 01-Jan-2022 11:00
    jan  year    feb  year    mar  year    apr  year    may  year    jun  year    jul  year    aug  year    sep  year    oct  year    nov  year    dec  year     win  year     spr  year     sum  year     aut  year     ann  year
   69.0  1959  103.4  1963  154.2  1929  232.7  2021  263.7  1975  271.9  1957  266.8  1955  256.3  1947  155.3  1991  110.6  1939   73.9  1990   55.4  2001   203.6  1963   545.7  2020   651.7  1995   282.3  1952  1550.2  1955
   63.0  1963  102.1  1970  153.6  2003  211.2  2020  258.6  2000  258.6  1940  255.1  1989  240.4  1976  146.4  1996  109.9  2003   73.8  1965   54.8  2010   170.1  2018   531.0  1955   603.8  1955   282.2  1972  1435.8  1975
   61.0  1965   94.4  2004  132.8  1955  206.3  2015  255.0  1946  251.4  1925  219.0  2013  232.5  1995  145.6  1933  104.5  1922   73.2  1925   50.1  1995   169.5  2003   519.7  1980   598.8  1977   281.6  2010  1430.8  1995
   54.2  2000   92.3  1960  127.6  1956  204.1  1974  254.7  1980  250.4  1949  214.2  1984  186.1  2003  143.0  1986   99.8  1997   72.5  1947   48.1  1967   166.0  2001   516.2  1975   588.0  1976   280.0  1996  1414.1  2003
   54.1  2021   91.6  2018  125.9  2001  198.2  1962  249.4  1935  245.9  1995  209.4  1990  184.4  1955  142.1  1987   98.1  1972   72.5  1952   45.7  1935   164.8  1965   505.0  1929   564.5  1989   273.4  2003  1400.0  1977
   53.7  2010   89.7  1955  124.2  1970  197.3  1942  237.2  1948  237.4  1975  205.4  2006  182.1  1977  139.3  1928   97.4  2019   70.3  1989   44.8  1976   162.6  2004   499.9  1946   560.9  1975   272.5  1987  1383.5  2010
   53.6  1945   88.1  2003  123.8  1975  191.2  1981  237.0  2020  235.7  1939  202.7  2021  177.8  1984  139.0  2015   96.3  1998   69.7  1996   43.4  1938   158.8  1968   499.8  1956   543.8  1949   272.1  1959  1379.9  1989
   51.0  2001   85.6  1996  123.1  2012  187.5  2011  231.3  1955  232.8  2018  200.3  2014  175.9  1983  136.5  1959   96.1  1959   67.5  1988   42.3  1970   158.7  1978   498.5  2007   543.5  1984   271.0  1986  1373.4  2018
   49.7  1985   85.1  1932  122.2  2007  187.3  2007  230.9  2017  232.2  1960  200.1  2011  172.5  1968  135.1  1972   95.3  1993   67.3  2016   42.3  1996   157.9  1970   490.9  1942   539.0  2018   270.3  1991  1353.9  1960
   49.5  2003   83.2  2013  121.5  1922  185.1  1956  229.2  1984  222.2  1921  199.9  1977  169.3  1938  134.8  1960   93.0  2008   65.1  2010   41.7  1989   156.4  1996   488.5  1962   529.0  1925   269.1  1971  1334.8  2021
   48.9  1977   81.0  1968  119.9  1949  182.4  1957  226.2  2018  219.1  1970  198.8  1934  169.2  1945  131.4  1997   92.9  2016   63.1  2017   41.5  1965   155.9  2010   484.8  2016   525.7  2006   264.2  2019  1331.0  2006
   48.4  2019   80.5  2001  119.2  1923  180.8  1984  225.4  1959  216.8  1977  196.9  1919  169.0  1997  126.2  1971   92.3  2007   62.9  2005   41.3  2017   155.9  2021   482.0  1948   524.3  1940   262.3  1998  1323.2  1919
   47.8  1978   80.4  1979  116.4  1982  180.7  2003  223.6  1989  216.0  1996  196.0  1971  166.9  2010  125.7  2010   91.8  1952   61.8  2013   40.9  1950   155.9  1977   479.0  2012   523.8  1969   261.8  1997  1317.9  1952
   46.8  1952   80.2  1975  114.0  1933  180.4  1980  222.7  2001  211.0  1974  195.7  2018  166.6  1931  123.1  1949   91.4  1981   61.6  1977   40.7  1937   155.2  1979   478.6  2001   523.5  1919   257.0  1919  1317.1  1957
   46.7  1939   77.9  2005  113.4  1931  178.3  1954  221.7  1977  210.4  1969  195.2  1935  162.3  1975  120.7  1940   90.9  1919   58.2  1966   39.8  1961   153.1  1960   476.0  2021   517.7  1957   256.9  1960  1314.7  1984
   46.5  1931   77.9  1946  113.1  1953  175.9  1922  221.4  2016  205.4  1951  193.8  1943  161.6  1919  120.0  1963   90.8  2010   57.9  1950   39.3  2008   151.6  1985   474.5  2017   515.6  2021   256.1  1939  1313.1  1949
   46.3  1979   77.7  1978  113.0  1924  174.0  1969  219.4  1951  205.0  1929  191.0  1976  159.4  1969  120.0  2002   89.5  1971   56.9  1927   38.2  1981   151.5  2011   472.1  2000   513.8  1960   255.5  1933  1302.3  1959
   44.7  1967   75.9  1957  112.6  1973  173.6  2013  215.4  2012  203.9  2009  184.7  1982  158.0  2014  119.6  1955   89.0  1974   56.8  1985   38.1  1979   149.5  2005   471.2  1984   511.2  1926   252.8  1928  1302.2  1929
   44.6  1954   75.8  1986  110.9  1937  172.2  1936  215.2  1992  202.2  1967  180.0  1972  156.8  1960  118.1  1952   87.2  2012   56.2  1973   37.9  1923   149.4  2019   471.0  2003   509.1  1921   252.8  1993  1296.2  1974
   44.6  1961   75.6  1944  110.2  2009  172.1  1938  211.3  1990  199.2  1988  179.6  1966  156.2  1981  117.5  1934   87.2  1931   56.2  1960   37.3  1962   147.3  1959   471.0  1974   507.0  1983   252.3  2015  1294.7  2000
   44.5  2011   74.8  1983  108.6  2002  170.8  2006  209.8  2008  196.0  1968  178.2  1983  155.8  2005  117.2  1937   86.8  1936   55.8  1976   37.2  2003   147.2  1962   470.7  2015   506.1  2014   252.0  1922  1293.6  2007
   44.4  1958   74.6  1985  108.3  1954  166.9  1955  209.6  1942  195.2  1930  176.0  1952  152.5  1970  117.1  1939   86.7  1926   55.5  2021   36.9  1955   146.0  1952   470.2  2008   503.1  1996   251.8  1925  1292.1  2019
   43.6  2017   74.6  1999  108.1  1948  166.7  1968  206.2  1957  193.0  2010  173.5  2000  151.4  1926  116.8  1921   86.4  1923   55.2  1999   36.5  1957   145.4  1933   469.3  1935   502.3  1968   250.8  1955  1286.0  2009
   42.7  1992   74.2  2006  107.7  2008  162.9  1951  203.4  2010  192.6  1932  173.3  1995  151.1  2000  116.5  1919   86.1  1992   55.1  2019   36.5  1925   145.1  1991   468.8  1951   495.1  2013   249.9  1973  1280.0  1956
   42.6  1987   73.2  2019  107.6  2017  162.2  1945  202.7  1929  191.3  1933  169.8  1999  148.6  1999  116.1  1995   86.0  2015   55.0  1930   36.1  1960   145.1  2000   466.8  1982   494.8  2003   248.7  2012  1275.7  1939
   42.4  1935   72.4  1991  107.5  1986  162.2  1921  202.0  1919  190.9  1989  169.7  1926  148.0  1944  116.0  1964   85.8  1973   54.5  1923   35.6  1999   143.5  2006   459.0  1953   491.8  1947   248.2  1988  1274.0  1969
   42.2  1960   72.4  2016  106.9  1999  162.1  2019  201.0  2005  190.1  1926  169.4  1958  147.6  1959  116.0  1979   85.4  1965   54.0  2018   35.2  1975   142.9  1955   458.8  2010   488.4  2009   246.7  2016  1272.9  1951
   42.1  2015   72.2  2008  106.1  1939  161.0  2010  200.9  1949  186.7  1986  167.2  1948  146.8  2012  115.9  1925   84.7  1951   54.0  2003   34.9  1964   142.5  1936   457.6  2009   487.5  1934   245.9  1923  1270.5  1996
   42.0  1933   71.9  1933  106.1  1952  160.6  1973  200.4  1971  185.8  1956  165.0  2009  145.2  2004  113.8  1958   84.4  1986   53.8  1961   34.9  1963   141.6  2013   457.4  1922   480.6  1939   243.9  1974  1269.1  1963
   41.5  1995   71.9  1969  106.1  2004  159.4  1925  199.4  1988  185.7  1950  163.4  1963  144.5  1993  112.7  1957   84.4  1929   53.8  1975   34.7  2014   139.5  2015   450.7  1954   480.3  1974   240.7  1926  1267.1  1962
   41.2  1929   71.7  1973  105.6  2016  157.8  2016  198.4  1978  184.5  1941  161.1  1975  144.0  1966  112.4  1998   84.1  1945   53.6  1998   34.5  1928   138.7  1999   448.5  1989   479.8  1972   240.4  1927  1266.8  1971
   41.1  1991   71.7  2010  105.2  1965  156.4  1953  197.7  1997  183.5  1934  160.9  1921  143.2  2002  111.8  2019   83.7  1956   53.6  2008   34.5  2005   137.9  1986   442.3  2018   474.5  1971   237.5  1989  1263.2  1976
   41.0  1957   71.4  1930  104.5  1985  156.4  1982  197.5  2009  182.7  1920  160.8  1949  142.6  1972  111.6  2020   83.3  2018   53.6  1995   34.5  2000   137.7  1946   441.5  1957   474.3  1997   237.3  1990  1258.2  2001
   40.1  2005   70.7  1950  104.4  1919  154.7  1946  197.4  1987  181.7  1936  158.7  2007  142.1  2021  110.8  1942   82.8  1927   53.5  1921   34.4  1929   137.7  1956   440.2  2006   474.1  1970   236.9  2007  1255.9  2013
   39.7  1956   70.5  1947  104.3  1944  152.6  2008  197.2  1966  181.2  2006  156.4  1950  142.0  1937  110.3  2001   82.5  1961   53.4  1971   34.2  1946   137.0  1988   440.1  2005   473.7  1933   236.0  1937  1254.3  2020
   39.6  1976   69.8  1937  103.5  1962  151.7  1965  195.2  2004  178.0  1927  155.9  1978  141.0  1965  110.1  2012   82.4  1955   52.9  2011   34.0  1953   136.6  1947   439.3  1949   471.1  1950   235.5  2018  1254.1  1935
   38.9  1922   69.8  1962  101.4  1943  149.9  2009  194.0  1982  177.5  1959  154.0  1969  140.8  2019  109.6  1951   82.4  1967   51.8  1934   33.7  1973   135.5  1961   437.9  2011   466.7  1999   235.1  1995  1249.7  1972
   38.6  1982   69.3  1952  101.0  1966  149.7  1990  192.8  1937  177.3  1992  154.0  2005  139.7  1996  109.5  2003   82.0  1985   51.7  1993   33.2  1948   135.0  1932   434.5  1952   462.9  2010   233.5  1965  1249.6  1925
   38.4  2012   69.1  2021  100.6  1987  149.4  1991  192.1  2006  177.0  1953  152.1  1929  139.2  2016  108.6  2004   80.9  2009   51.4  2012   33.1  1977   134.7  2007   433.4  1959   462.4  2000   233.3  1981  1249.3  1999
   38.2  1980   68.8  1965  100.5  1958  149.2  1952  191.5  1961  173.0  1962  149.9  1925  139.1  2006  108.0  1994   80.8  1987   51.4  1968   32.8  2012   134.2  1930   431.7  2019   460.7  1959   231.9  1964  1246.4  2005
   38.2  1988   67.3  2007   97.5  2020  148.6  2005  191.5  1928  171.6  1985  149.3  1997  138.2  1979  107.9  1973   80.6  1941   51.1  1942   32.6  2020   134.0  1987   431.0  1977   460.7  1990   231.5  1999  1245.4  1968
   38.0  1955   67.2  1928   97.5  1941  148.0  1929  189.8  1927  170.8  2021  147.6  1973  138.1  1986  107.9  1926   80.3  1946   50.8  1969   32.6  1952   133.4  1953   430.7  1990   458.0  1982   231.5  1961  1242.7  2016
   37.8  1919   66.5  1988   97.1  2014  146.9  1972  189.7  1950  170.5  1963  147.4  1996  138.1  1933  107.6  2014   79.5  1920   50.8  1937   32.3  1987   133.2  1964   430.3  1939   457.8  1938   229.7  2002  1242.2  2015
   37.7  1941   64.9  1987   96.8  1963  146.4  1932  189.6  1953  168.8  2003  147.1  1942  138.0  1991  106.1  1920   78.3  1966   50.1  2000   31.9  2002   132.3  1983   429.5  1923   455.7  1951   229.0  1963  1240.1  1973
   37.7  1962   63.9  1953   96.7  1927  145.2  1995  189.3  1939  166.9  1928  146.9  1991  137.9  2001  105.8  1993   76.6  1988   49.8  1974   31.6  1990   131.9  2002   424.1  1958   455.3  1929   228.1  2009  1236.8  1950
   37.2  2018   63.2  1934   96.2  2015  141.6  1977  189.1  2007  166.1  1979  146.7  1994  137.7  1987  105.2  2006   76.6  1962   49.7  1919   31.5  2006   131.5  1951   424.0  1971   454.8  1935   227.9  1951  1236.1  1982
   37.0  1953   63.1  1981   95.0  1972  140.7  1971  188.9  1963  165.0  1919  145.1  2017  137.2  1964  105.1  1974   76.3  1924   49.6  1987   31.5  2004   130.8  1958   422.6  1927   452.3  1952   226.0  1977  1234.0  1921
   36.4  1986   62.7  2015   94.5  2010  140.5  2012  187.5  1958  164.6  1943  144.9  2004  137.1  1939  105.0  1923   75.9  1948   49.4  1991   31.5  1932   130.6  1928   422.5  1981   449.5  1956   224.7  1947  1232.0  1970
   36.2  1998   62.4  1964   93.9  1969  140.4  2014  187.2  1956  163.5  1971  144.4  1933  136.7  1994  104.7  1990   75.7  2000   49.3  1980   31.5  1940   130.6  1967   420.1  2004   448.3  1945   224.6  1967  1231.0  1991
   36.1  1972   62.2  1936   93.9  1979  140.2  1960  186.8  1962  163.4  1978  142.0  1941  136.5  1992  104.7  1954   75.2  1980   49.2  1956   31.5  1982   130.2  1975   418.1  2013   447.9  1943   224.6  2006  1229.1  1997
   35.9  1964   62.1  1977   93.6  1925  139.7  1983  186.3  1943  162.5  2013  141.3  2019  136.3  2015  104.1  1988   74.1  1977   49.0  2006   31.4  1968   129.8  1939   417.8  1973   447.8  1941   222.8  1921  1229.1  1990
   35.9  2007   61.4  1919   92.7  1935  139.6  1930  185.2  1960  162.4  2019  140.7  1965  136.0  1953  103.6  1935   73.9  1978   49.0  1972   31.3  2007   129.5  1982   413.6  1919   445.7  1927   222.8  1979  1228.1  1987
   35.7  1999   61.2  1948   92.6  1974  139.3  1999  184.8  2019  161.0  1973  139.9  2003  135.3  1973  103.5  2007   73.2  1999   48.8  1955   31.1  1945   129.3  1957   412.6  1960   444.9  1962   222.7  1949  1223.4  1965
   35.4  1928   61.1  1956   92.3  1950  138.8  1976  184.2  1994  158.5  1937  138.5  1962  133.7  1946  103.1  1999   73.1  2002   48.8  1970   31.0  1926   129.3  1969   411.9  1987   444.5  2019   222.4  1934  1221.7  1946
   35.1  2009   60.5  2020   92.0  1940  138.7  1998  184.2  1936  157.1  1972  138.3  1987  133.5  1974  102.7  2005   71.8  1970   48.5  1943   30.9  1920   128.4  1938   411.4  1966   443.9  1973   220.7  1924  1214.7  1986
