Areal values from HadUK-Grid 1km gridded climate data from land surface network
Source: Met Office National Climate Information Centre
Monthly, seasonal and annual number of days in the month with air frost (minimum temperature below zero) for UK
Areal series, starting in 1960
Last updated 01-Jan-2022 11:00
    jan  year    feb  year    mar  year    apr  year    may  year    jun  year    jul  year    aug  year    sep  year    oct  year    nov  year    dec  year     win  year     spr  year     sum  year     aut  year     ann  year
   27.4  1963   26.1  1963   20.9  1962   13.8  2021    5.6  1979    0.5  1991    0.0  1965    0.1  1977    1.1  1986    6.1  1993   15.1  1985   24.0  2010    71.6  1963    29.7  2013     0.6  1962    18.6  1993    93.4  2010
   25.9  1979   24.3  1986   19.2  2013   10.5  1970    4.3  1996    0.5  1962    0.0  1973    0.1  1964    0.9  1974    5.9  1992   14.0  1965   21.7  1981    59.7  1979    27.8  1970     0.5  1991    16.0  1985    91.3  1979
   24.0  1985   21.8  1968   17.1  1970    9.8  1968    3.3  1982    0.5  1975    0.0  1962    0.1  1973    0.8  1972    4.7  2003   13.6  1996   19.7  1961    54.2  2010    27.5  1962     0.5  1975    14.8  1965    86.9  1963
   20.1  1987   21.0  1979   17.0  1969    9.3  2013    3.1  1995    0.3  1964    0.0  1966    0.1  1999    0.7  1975    4.7  1981   13.2  1969   19.6  1976    47.7  1985    26.4  1969     0.4  1964    14.4  1973    84.9  1969
   19.0  2010   20.2  1969   16.1  1987    9.2  1986    2.7  2021    0.3  1989    0.0  2000    0.0  1962    0.6  1993    4.6  1997   12.0  1993   18.0  1962    47.6  1968    25.0  1979     0.3  1977    14.4  2010    81.5  1985
   18.5  1997   19.7  1983   14.5  1995    8.6  1983    2.6  1968    0.2  1998    0.0  1961    0.0  1966    0.5  1979    3.9  1973   11.6  2010   17.5  2009    47.6  1986    22.6  1995     0.3  1989    13.8  1969    79.1  1962
   18.5  2021   19.3  1991   13.9  1965    8.5  1969    2.6  2010    0.2  1985    0.0  2004    0.0  2012    0.4  1991    3.5  2002   11.2  2005   17.2  2001    47.0  1965    21.7  2021     0.3  1998    13.7  1996    77.8  1968
   18.4  1980   19.2  1996   13.7  1985    7.8  1978    2.5  1967    0.2  1977    0.0  1960    0.0  1986    0.4  2020    3.3  1983   11.1  1971   16.9  1995    46.5  1991    21.4  1968     0.2  2012    13.3  1988    77.1  1965
   16.8  1984   17.6  2010   13.6  1979    7.5  1989    2.5  1984    0.2  1978    0.0  1964    0.0  2014    0.4  1969    3.2  2018   10.6  1988   16.7  1964    45.8  1977    21.2  1975     0.2  1985    13.3  1971    77.0  1996
   16.7  1965   17.3  1970   13.6  2006    7.4  1984    2.4  2020    0.2  2012    0.0  1974    0.0  2016    0.4  2007    3.2  1987   10.5  1973   15.9  1996    44.8  2011    20.0  1996     0.2  1978    11.4  2005    75.6  1981
   16.6  1977   17.3  1981   12.7  2018    7.2  1966    2.2  1977    0.2  2015    0.0  1992    0.0  1965    0.3  2012    3.1  2008    9.4  1962   15.5  2008    44.7  1970    19.8  1965     0.2  1973    11.3  1972    75.5  1970
   16.1  1966   16.9  1978   12.7  1976    7.2  1977    2.1  1975    0.2  2001    0.0  1972    0.0  1967    0.3  1960    3.1  2012    9.4  1972   15.2  1969    44.7  1982    19.4  1984     0.2  1961    11.1  1962    73.5  1986
   15.9  1991   16.6  1960   12.2  1975    6.9  1975    2.1  1997    0.1  1969    0.0  1986    0.0  1982    0.3  1964    3.0  1980    8.8  1977   15.0  1968    44.5  1969    19.2  2006     0.2  1969    11.0  1992    71.1  2013
   15.8  1960   16.6  2018   12.0  2001    6.6  2016    2.0  2012    0.1  1961    0.0  1970    0.0  1960    0.3  2010    2.7  1964    8.7  2016   15.0  1963    44.2  1987    19.2  1986     0.2  2015    11.0  1980    70.7  2001
   15.7  2001   15.1  2013   11.5  1980    6.5  1973    1.9  1981    0.1  2009    0.0  1978    0.0  1969    0.3  1995    2.5  2010    8.3  1979   14.4  1960    44.2  1996    19.0  1987     0.2  2001    10.1  1966    70.4  1987
   15.6  1978   15.0  1987   11.4  2010    6.5  2008    1.8  1994    0.1  1971    0.0  1963    0.0  2004    0.2  1971    2.5  1988    8.2  1966   14.3  1982    43.1  2009    18.9  1973     0.1  1986     9.8  2012    68.6  1973
   15.5  1986   15.0  1985   11.1  1964    6.5  1990    1.8  2019    0.1  1981    0.0  2020    0.0  1975    0.2  1989    2.2  2019    8.0  1980   13.8  1992    41.6  1962    18.4  1985     0.1  1999     9.8  1983    67.2  1978
   15.3  2009   14.9  2001   10.8  1973    6.4  2012    1.7  2005    0.1  1986    0.0  1995    0.0  1968    0.2  1977    2.0  1971    8.0  1967   12.8  1978    41.1  2013    18.3  2010     0.1  2009     9.6  2019    66.3  1976
   15.1  2011   14.6  1994   10.7  1971    6.4  1981    1.6  1980    0.1  2000    0.0  1975    0.0  1961    0.2  1984    1.9  1974    7.6  1961   12.8  2017    40.9  1981    17.9  1976     0.1  1981     9.6  1998    65.5  1995
   14.5  1961   14.5  2003   10.5  1996    6.0  1998    1.5  1973    0.1  1987    0.0  1977    0.0  1974    0.2  1997    1.9  1998    7.6  1998   12.7  1967    40.9  1997    17.4  2001     0.1  1971     9.4  1975    64.3  1991
   14.2  2013   13.6  1965    9.8  1986    6.0  2000    1.5  2015    0.1  1973    0.0  2012    0.0  1987    0.2  1988    1.9  1966    7.5  1975   12.3  1970    40.4  2001    16.7  1971     0.1  2000     9.3  1979    63.2  1980
   14.2  1992   13.1  2016    9.4  1984    5.7  1979    1.4  1965    0.1  2011    0.0  1999    0.0  1963    0.2  1983    1.6  1962    7.4  2019   12.2  2003    40.1  1983    16.4  1980     0.1  1987     9.2  2016    63.1  2021
   14.2  2019   13.1  2004    9.3  1974    5.6  1962    1.3  1971    0.1  1999    0.0  1980    0.0  1993    0.2  2003    1.4  1994    7.4  2013   12.1  1973    39.1  2018    15.9  2018     0.1  1965     9.1  1977    62.3  1964
   14.0  2017   12.6  1973    8.9  1968    5.2  1988    1.3  1974    0.1  1983    0.0  2011    0.0  1994    0.2  1987    1.2  1975    7.1  1989   12.1  1999    38.6  2021    15.8  1974     0.1  2011     9.1  2008    61.7  1960
   13.9  1982   12.3  2009    8.8  2011    5.2  1996    1.3  1993    0.1  2005    0.0  1993    0.0  2010    0.1  1976    1.2  1972    7.0  1976   12.0  1965    37.8  1966    15.6  1978     0.1  1974     9.1  1967    60.2  2003
   13.4  1981   11.9  1984    8.8  1993    5.2  1974    1.3  2013    0.1  1997    0.0  1979    0.0  1981    0.1  1990    1.1  1967    6.9  2017   11.8  2012    37.6  1978    15.3  2016     0.1  1983     8.8  1981    60.2  1984
   13.1  1968   11.7  2015    8.7  1963    5.0  1995    1.2  1961    0.1  1974    0.0  1971    0.0  1992    0.1  1982    1.1  1970    6.6  1991   11.8  2007    37.5  1964    15.2  1982     0.1  1972     8.7  1964    59.7  1966
   13.1  1995   11.5  2012    8.4  2005    4.8  2006    1.1  1987    0.1  1972    0.0  1996    0.0  1989    0.1  1963    0.9  1982    6.4  2012   11.7  2014    36.9  1994    15.2  2008     0.1  2005     8.4  2003    59.5  1982
   13.0  2003   11.5  2006    8.4  2008    4.8  1976    1.1  1962    0.1  1980    0.0  1968    0.0  2020    0.1  2018    0.9  1986    6.3  1983   11.5  2005    36.9  1984    14.8  1983     0.1  1980     8.3  1961    58.8  1983
   12.8  2015   11.4  1962    8.3  1972    4.7  1999    1.0  2001    0.1  2008    0.0  1976    0.0  1971    0.1  2013    0.8  2007    6.1  1968   11.4  1993    36.2  2015    14.6  1977     0.1  1997     7.8  1976    57.9  2008
   12.3  1970   11.4  2005    8.2  1988    4.7  1971    0.9  1969    0.1  2021    0.0  2021    0.0  1998    0.1  1962    0.8  1985    6.0  2008   11.3  1990    35.6  1980    14.6  1989     0.1  1966     7.7  2013    56.9  1975
   11.6  1964   11.3  2008    8.0  2016    4.6  1967    0.8  1991    0.1  2017    0.0  1969    0.0  1978    0.1  1973    0.8  1984    6.0  1982   11.2  1989    35.6  2004    14.5  1966     0.1  2021     7.7  1991    56.9  2009
   11.4  1972   10.8  1964    7.9  1982    4.6  1994    0.8  2006    0.0  2020    0.0  2019    0.0  1976    0.1  1970    0.7  1965    5.9  1978   10.4  1991    33.9  2003    14.3  1981     0.1  2008     7.6  1989    56.0  1993
   11.0  1967   10.8  2021    7.8  2020    4.5  1965    0.8  1963    0.0  1988    0.0  2010    0.0  1980    0.1  1998    0.7  1991    5.7  1964   10.3  1980    33.7  2006    14.1  1964     0.1  2020     7.4  2017    55.4  1977
   10.9  1994   10.4  1976    7.8  2003    4.5  2001    0.8  2011    0.0  1995    0.0  2001    0.0  1972    0.1  1981    0.7  1960    5.7  1995   10.2  1979    33.1  1992    13.9  1988     0.1  2017     7.2  1974    55.1  1992
   10.7  2006    9.9  1975    7.5  2015    4.4  2019    0.8  1985    0.0  2007    0.0  1984    0.0  1983    0.0  2002    0.7  1961    5.4  1990    9.8  1998    32.7  1961    13.2  2005     0.0  1988     7.2  1987    54.9  2012
   10.6  1998    9.7  1966    7.2  2004    4.3  1997    0.7  1992    0.0  1965    0.0  1981    0.0  1984    0.0  2005    0.6  1976    5.3  2001    9.8  2000    31.9  2002    13.1  2020     0.0  1995     7.1  1997    54.3  1961
   10.6  1976    9.6  1999    7.1  1978    4.3  1991    0.6  2016    0.0  1984    0.0  2017    0.0  1985    0.0  1965    0.6  2009    5.2  1960    9.3  2020    30.7  1973    12.8  2015     0.0  1968     7.0  1982    54.0  2018
   10.5  1962    9.6  1977    6.8  2009    4.3  2010    0.6  2018    0.0  1968    0.0  1988    0.0  1979    0.0  1992    0.6  2017    5.1  1992    9.3  2004    30.6  1971    12.8  1963     0.0  2014     6.4  1968    54.0  2016
   10.5  1973    9.5  1988    6.7  1966    4.0  1985    0.6  1966    0.0  1996    0.0  1967    0.0  2007    0.0  1994    0.5  1999    5.1  1963    9.2  1966    29.9  2012    12.2  2000     0.0  2007     6.3  1995    53.6  2005
   10.3  2004    9.1  1971    6.6  1989    4.0  2003    0.6  1978    0.0  1970    0.0  2015    0.0  1988    0.0  1968    0.5  2016    5.0  2007    9.1  1986    29.8  2008    12.2  1967     0.0  1967     6.2  2018    53.5  1971
    9.9  2012    9.1  1982    6.1  2002    4.0  1982    0.6  1960    0.0  2013    0.0  2016    0.0  2021    0.0  1985    0.5  1990    4.7  1970    8.9  1987    29.8  1976    12.1  2003     0.0  1982     6.2  1960    53.1  1967
