Areal values from HadUK-Grid 1km gridded climate data from land surface network
Source: Met Office National Climate Information Centre
Monthly, seasonal and annual total precipitation amount for UK
Areal series, starting in 1862
Last updated 01-Jan-2022 11:00
    jan  year    feb  year    mar  year    apr  year    may  year    jun  year    jul  year    aug  year    sep  year    oct  year    nov  year    dec  year     win  year     spr  year     sum  year     aut  year     ann  year
  205.1  1928  213.6  2020  154.5  1903  128.2  2012  131.7  1967  149.0  2012  150.5  1988  167.6  1912  181.8  1918  226.1  1903  215.0  2009  216.9  2015   540.3  2014   332.4  1947   399.9  1879   509.8  2000  1469.4  1872
  189.3  2008  193.3  1990  153.9  1981  123.8  2000  123.0  1924  136.2  2007  145.5  2009  166.5  1917  180.2  1950  199.6  2000  193.2  1951  213.4  1929   505.7  2016   327.0  1979   384.5  1912   471.5  1954  1385.3  1903
  187.0  2014  175.2  2002  146.3  1994  121.1  1998  121.6  1925  133.3  1872  144.8  1888  162.9  1992  172.4  1981  196.8  1967  190.5  1940  202.7  1914   498.2  1995   314.8  1913   378.7  2012   469.3  1935  1372.5  2000
  181.5  1948  168.3  1997  143.9  1979  117.7  1947  119.5  2021  127.7  1879  144.8  1939  161.4  1956  157.7  1927  187.7  1998  188.3  1929  195.5  1999   482.2  1990   313.9  1986   360.7  1956   458.7  1872  1346.1  1877
  181.0  1995  167.8  2014  141.4  1947  114.5  1867  118.4  1986  125.4  1980  143.7  1936  159.8  2004  156.2  1869  182.4  2020  181.7  1954  194.7  1876   474.4  2020   308.7  1920   356.8  2007   455.3  1981  1336.3  2020
  178.7  2016  153.3  1923  130.9  1897  106.2  1920  115.4  1878  125.0  1912  136.2  1880  158.3  1985  155.4  1866  172.3  1935  176.4  2000  190.7  1868   468.7  1877   295.6  1903   354.5  1985   440.0  1984  1329.7  2012
  175.5  1993  144.5  1894  130.2  1913  105.5  1882  114.7  1886  121.8  1998  134.9  1940  156.5  1891  153.9  1896  172.1  1916  174.1  1970  188.8  1993   460.3  1915   294.5  1967   343.0  1872   422.1  1903  1307.0  1954
  172.3  1974  143.0  1995  129.0  2019  103.2  1913  114.2  2007  115.9  1997  134.7  2007  148.3  1903  152.9  1935  171.6  1938  173.7  1877  188.0  1986   441.1  1869   294.2  1983   339.3  1927   422.1  1982  1298.5  1998
  170.2  1984  141.2  1950  127.9  1992  102.6  1993  112.6  2006  112.5  1907  129.0  1871  145.6  1879  147.3  1885  171.1  1954  172.5  1939  187.2  1911   435.7  2007   292.4  1981   338.9  1877   416.0  1938  1293.2  2008
  170.1  1877  140.8  1915  127.5  1912  100.8  1935  109.9  2015  112.1  1882  127.4  1882  142.8  1962  146.8  1946  170.5  1932  172.0  2015  185.5  2013   431.4  1994   290.5  2006   330.8  2019   414.9  1944  1292.8  2014
  169.9  1988  138.7  1916  126.6  1988  100.5  1932  108.4  1969  111.9  1931  126.6  1879  141.5  1877  145.1  1974  166.6  1917  171.3  1984  182.4  1915   429.2  1916   290.4  1994   330.2  1903   406.2  1967  1280.4  2002
  169.9  1990  138.4  1937  124.5  1989  100.3  1899  108.0  1932  110.5  2017  124.6  1920  140.5  1910  141.7  1965  165.3  2004  168.6  1963  178.3  2012   429.0  2000   280.9  1862   327.9  1931   403.4  1976  1272.2  1882
  169.6  1872  137.8  1989  123.7  1876  100.2  1871  107.3  1979  109.3  1928  124.5  1915  138.7  1948  141.6  1976  165.1  2001  166.8  1888  178.0  1934   424.9  1937   280.0  1963   327.3  1882   398.7  1998  1271.8  1999
  168.5  1975  136.9  1925  123.4  1914   99.8  1961  106.3  1906  109.0  2019  123.2  1924  138.5  1878  140.2  1999  164.1  1987  165.6  1872  176.6  1959   409.9  2021   280.0  1932   327.0  1946   398.3  2006  1265.3  2015
  164.9  1999  132.4  1977  122.5  2008   97.9  1934  105.5  1983  107.6  2020  123.0  1957  138.5  1930  139.0  1872  163.4  1976  165.2  1944  174.2  1994   402.0  1960   277.9  1992   325.6  2020   398.2  1950  1257.3  1928
  154.1  1994  131.6  2000  121.9  1905   96.4  1950  101.6  2002  107.3  1948  122.9  1956  137.9  2014  135.5  1995  163.2  1909  164.7  1926  172.8  2006   399.4  1920   269.1  2000   321.9  2009   395.0  1875  1233.5  1912
  153.9  1937  126.1  1966  120.6  1963   95.0  1910  100.7  2011  107.3  1927  120.6  1918  136.9  1868  135.4  1968  162.7  2021  163.9  1938  170.2  1979   399.0  1984   268.4  1886   321.7  2008   394.1  1960  1232.3  2019
  153.5  1930  126.1  1910  120.4  1982   94.5  1994   99.4  2014  104.8  1966  120.2  1895  135.1  1951  133.8  2000  162.6  2013  163.1  2002  169.4  2020   395.9  1894   267.6  1998   317.5  1958   392.8  1930  1217.5  1992
  153.5  2015  122.0  1866  120.4  1896   94.2  1925   99.1  1955  103.7  1863  119.2  1953  134.8  2008  133.5  1924  162.2  1870  162.6  1946  166.6  2011   392.1  1925   266.8  1925   315.0  2004   388.4  1974  1217.4  1927
  152.9  2007  121.8  1935  118.3  1908   93.1  2004   98.7  1993  103.5  1991  118.4  2012  133.5  1927  131.5  1984  161.4  1862  161.4  1982  166.6  1900   391.2  1930   260.2  1951   314.9  1881   387.7  1940  1216.5  1994
  151.4  1962  120.2  1883  118.0  1919   92.8  1970   98.1  2003  103.4  1987  118.3  1875  132.6  2019  129.0  1883  161.4  1865  161.3  1992  165.1  1919   390.9  1974   260.1  1993   314.2  1948   386.2  2009  1214.4  1923
  151.1  2004  119.8  1869  114.4  1978   92.5  1949   97.2  1907  102.2  1935  117.6  1931  132.3  1946  128.7  1975  159.8  1891  158.0  1986  163.2  1965   385.3  2008   259.8  1882   314.1  2017   385.1  2019  1213.4  1986
  149.9  1983  119.3  1885  112.4  1987   91.6  1959   96.8  1931  100.3  1958  117.4  1922  132.3  1950  127.7  1863  159.3  1928  155.9  1890  160.3  1912   384.7  1923   259.6  1867   313.4  1980   385.0  1918  1208.9  2004
  149.8  1890  119.2  1893  110.7  1986   91.3  1966   96.2  1945   99.0  1982  115.0  1950  131.8  1941  126.1  2019  159.2  1906  154.3  1931  159.0  1966   379.4  2002   258.0  1908   313.2  1888   384.8  1929  1208.1  2009
  149.7  1906  118.0  1900  110.5  2006   91.1  1992   95.8  1862   96.1  2016  114.6  1877  131.2  1881  124.0  1874  157.8  1949  153.2  2006  157.3  1978   377.9  1912   256.3  1972   309.1  1950   384.7  1927  1207.9  1948
  149.2  1921  117.6  1958  108.6  1920   91.0  2005   95.7  1942   93.8  1945  113.7  1903  128.1  1923  123.1  1983  157.4  2014  149.6  1882  156.7  2000   376.6  1910   253.9  1897   307.7  1924   382.3  1970  1204.4  1950
  148.4  1863  115.6  1903  106.6  1967   90.8  1991   94.8  1958   93.8  1999  112.8  1867  126.9  1865  123.0  1962  157.2  1981  148.1  1974  156.3  1891   376.2  1928   253.2  1999   307.7  1910   381.6  1883  1204.2  1967
  147.8  1939  115.1  1914  106.3  1951   89.9  1983   94.0  1954   93.8  1938  111.8  1872  126.7  1889  121.9  1876  155.8  1923  147.7  1996  152.9  1924   373.1  1883   253.1  1966   307.3  1954   379.9  1923  1203.7  1990
  147.4  1938  113.8  2011  105.2  1998   89.6  2001   93.9  1920   93.8  1897  111.0  1960  124.9  1892  120.4  1957  154.8  2008  147.0  1960  151.4  1983   370.6  1872   251.1  1907   304.6  1988   379.7  1874  1199.1  1982
  147.3  1943  113.8  1922  104.2  1868   89.0  1972   92.8  1943   93.8  1990  110.4  1932  123.9  1897  119.7  1982  154.1  1872  145.4  1928  149.0  1872   370.6  1999   250.3  2015   301.9  1957   379.3  1885  1198.6  1960
  146.4  1986  113.4  1868  103.9  2018   88.6  1999   92.5  1916   93.5  1954  108.8  1938  122.2  1900  119.1  1871  153.8  2002  145.2  1959  147.3  1949   366.2  1943   250.2  1916   300.3  1917   377.2  1980  1198.5  1951
  146.0  1884  112.9  1876  102.7  1921   88.5  1951   91.8  2013   93.5  1946  108.7  1884  122.0  2020  119.0  1958  150.6  1929  144.2  1935  147.2  1985   365.1  1922   246.7  2014   296.4  1891   376.9  1882  1195.8  1916
  145.1  1868  112.2  1974  102.6  1980   88.2  1904   89.5  1972   93.3  1862  108.2  2008  121.6  1957  118.9  1899  149.7  1907  144.2  1969  147.0  1955   364.8  2015   246.5  2008   296.3  1890   375.4  1992  1195.7  2007
  143.1  1866  111.9  1904  101.7  1862   87.4  1931   89.4  1981   92.5  1972  107.6  2015  120.5  1986  118.7  1954  148.4  1980  142.9  1930  146.5  1901   363.3  1935   245.2  1877   295.7  1930   375.4  1877  1187.8  1966
  142.1  1875  110.5  1945  101.6  1909   86.2  1922   88.5  1865   91.5  1890  107.5  1873  119.4  1905  118.4  1944  147.0  1875  142.4  1977  144.8  1896   363.0  1939   245.1  2002   293.7  1998   372.5  2012  1181.7  1981
  141.0  1873  110.4  1872   98.8  1983   85.0  1889   87.7  1898   90.5  1985  107.0  2010  119.4  1874  118.2  1992  146.6  1960  140.7  1911  144.1  1898   361.3  1903   244.5  1899   289.9  1928   369.5  1932  1181.7  1938
  139.4  1920  110.1  2007   97.7  2017   84.8  1877   87.3  1997   89.6  1965  106.8  1958  118.1  1960  117.2  2017  146.1  1874  140.3  1950  143.0  1897   359.5  1957   244.3  1968   288.8  1875   366.9  1928  1180.7  1974
  139.3  1903  110.1  2016   97.1  1888   84.8  1986   86.7  1869   89.1  1971  105.7  1985  118.0  1954  116.5  1967  145.0  1961  140.0  1875  142.4  1886   356.0  1950   244.1  1889   288.8  1992   366.5  2008  1179.9  1930
  137.6  2021  109.9  1880   96.2  1864   84.7  1985   86.4  1966   87.8  1881  104.2  1894  117.0  1988  113.7  1930  142.7  2006  138.3  1991  141.1  1910   354.7  1980   243.1  1934   288.2  1938   366.1  1891  1176.7  1900
  137.3  1932  109.9  1951   94.9  2015   83.9  2018   85.6  1973   87.5  1900  103.4  1909  116.4  1952  113.3  2010  142.6  1990  138.1  1914  140.8  1951   354.1  1966   242.1  1909   287.8  1960   364.7  2020  1175.8  1924
  137.2  1926  109.1  1967   94.9  1928   83.4  1862   84.8  1892   87.5  1963  103.1  1930  116.3  1895  113.0  1892  141.6  2005  136.3  1883  140.8  1982   353.9  1899   241.2  2019   287.1  1895   362.5  1926  1173.2  2006
  134.6  1900  108.2  1881   94.7  1882   82.7  1909   84.5  1976   86.7  2002  101.9  1886  116.2  1873  112.0  1879  141.0  1982  136.0  1979  140.0  1956   351.7  1900   238.9  1872   284.9  1907   362.1  1917  1171.5  1979
  134.4  2002  107.2  1970   94.7  1990   82.5  1963   84.2  1968   84.8  1892  101.5  1965  116.1  1943  111.8  2012  140.8  1892  135.3  1881  140.0  1948   351.5  1967   237.9  1988   284.3  1873   357.6  1869  1162.6  2011
  134.1  1998  106.4  1941   94.4  1977   82.3  1898   82.6  1902   84.7  2011  101.3  2017  114.7  2009  111.8  1864  140.7  1983  135.1  2012  139.6  2019   350.6  1958   237.9  1905   283.7  1900   357.5  2002  1162.1  1866
  132.4  2018  105.9  1918   94.1  1995   82.0  1876   82.2  1938   84.7  2004  101.2  1946  113.4  1963  111.4  1923  139.9  2019  130.0  1895  139.3  1909   350.0  1988   237.1  1878   283.0  1892   356.1  1916  1160.9  1988
  132.2  1899  105.0  1928   94.1  1991   82.0  1953   81.7  2009   84.7  1896  100.8  1862  113.4  1924  110.4  1908  137.3  1984  129.2  1916  139.3  1869   349.4  1866   236.5  2005   282.7  1894   352.5  1995  1160.7  1876
  130.6  1869  104.8  1933   93.8  1881   80.8  1965   81.4  1913   84.6  1875   98.5  1970  111.3  2012  109.5  1948  136.6  1996  129.0  1947  139.1  1974   349.1  1998   236.3  1924   281.0  1965   352.5  1863  1155.2  1980
