Areal values from HadUK-Grid 1km gridded climate data from land surface network
Source: Met Office National Climate Information Centre
Monthly, seasonal and annual total duration of bright sunshine for UK
Areal series, starting in 1919
Last updated 01-Jan-2022 11:00
    jan  year    feb  year    mar  year    apr  year    may  year    jun  year    jul  year    aug  year    sep  year    oct  year    nov  year    dec  year     win  year     spr  year     sum  year     aut  year     ann  year
   69.7  1959  101.3  2008  166.9  1929  225.1  2021  266.9  2020  265.1  1957  256.9  1955  259.4  1947  172.2  1959  120.0  2003   78.9  1925   64.0  2001   193.0  1963   626.0  2020   672.1  1976   341.3  1959  1586.3  2003
   66.5  2001   99.1  2019  157.7  2003  223.0  2020  243.1  1989  264.4  1940  249.7  2006  251.2  1995  160.7  1991  119.6  1959   77.4  2005   56.7  2014   191.7  2018   555.4  1948   664.6  1995   333.1  1971  1579.5  1995
   61.3  1952   98.0  2018  149.8  2012  211.8  2015  240.6  2018  248.2  1925  247.4  2013  240.9  1976  160.0  1928  114.1  1997   77.1  2006   54.4  2008   190.7  2015   530.1  1929   645.8  1989   330.3  2003  1560.1  2018
   60.0  2003   94.4  1970  143.8  1948  205.4  1942  237.8  1948  246.6  1975  244.6  1989  197.7  2003  157.6  1933  113.9  1971   76.0  1988   52.9  1962   189.7  2001   525.3  1990   623.1  1975   314.4  1986  1555.9  1989
   59.6  1963   93.4  2003  143.0  1933  203.3  2007  234.8  1992  243.1  1949  239.4  1990  196.5  1975  151.9  2015  111.5  1919   75.6  1996   50.1  2009   187.6  2000   519.2  2007   615.5  2018   305.9  1996  1548.5  1955
   59.5  1965   92.7  1949  141.8  2007  202.3  2011  225.0  1990  235.8  1960  234.0  2018  190.3  1933  151.6  1971  111.4  2018   75.3  1989   49.8  1946   186.1  2019   513.6  2011   605.1  1949   305.8  1928  1531.3  1959
   59.3  1991   87.7  1988  139.2  2009  201.9  1984  223.5  1980  234.4  2018  226.9  1935  190.1  1983  151.5  1964  108.8  2008   74.3  2016   49.1  1961   184.5  2003   513.0  2009   596.0  1955   305.7  2018  1527.8  1949
   58.4  2015   86.8  2004  138.5  1955  186.9  1990  219.9  2001  231.7  1970  224.3  1934  189.9  1989  150.2  1929  108.7  1922   71.9  1923   49.0  1967   184.0  1949   509.9  2003   591.9  2006   301.8  1997  1497.4  2020
   58.2  2012   84.5  2016  136.1  2020  182.4  1921  217.8  1977  230.8  1969  223.8  1976  183.5  1991  150.1  1986  105.7  1931   70.8  1977   48.6  1929   183.5  2008   506.7  2015   587.3  1933   301.3  1929  1489.5  1929
   57.9  2000   83.0  2001  132.6  1995  181.6  2003  215.7  1935  220.8  1921  221.9  2014  183.3  1919  146.7  1997  104.6  2010   70.8  2017   48.3  1999   179.1  1952   505.4  1955   584.0  1959   301.1  1921  1481.9  1921
   54.7  2017   82.7  1996  132.4  1982  181.4  2010  214.5  1959  220.1  1996  213.0  1984  182.1  2005  146.2  2003  104.5  2016   70.1  2013   47.1  1976   174.0  2004   503.2  1956   575.3  1940   300.2  1964  1481.5  1990
   54.7  1933   82.4  1989  131.7  1967  179.8  1954  213.1  1943  213.8  1930  211.5  1971  181.1  1955  145.0  2020  104.4  1995   69.3  1973   47.0  1960   170.2  1962   499.4  1982   575.2  1996   299.8  2006  1479.5  1975
   53.7  1940   81.7  1960  131.1  1931  177.1  1969  212.5  2009  213.7  1939  210.6  1983  180.8  2016  142.9  2019  102.9  1921   69.1  1947   46.8  1948   168.7  2002   496.3  2010   574.4  2013   299.5  1923  1472.3  2006
   53.5  1931   81.4  2000  130.8  1953  173.8  1948  211.8  1997  213.1  1951  207.4  1995  180.1  1984  142.6  1987  102.3  1999   68.9  1965   46.4  2010   168.1  1989   491.1  1921   574.4  1984   298.3  1999  1465.7  2009
   53.3  1984   80.5  1963  130.7  1924  173.4  1945  211.0  1929  212.3  1950  207.0  1999  179.6  1997  142.5  1921  101.4  1955   67.6  1971   46.2  1957   167.8  1933   488.2  1953   569.7  1947   298.1  2016  1454.4  2019
   53.3  2010   79.3  1934  129.5  1956  172.1  1951  210.7  1971  211.3  1989  204.9  1921  177.8  1959  142.4  1979  101.3  1920   66.5  1985   46.0  2019   167.7  1985   487.3  2021   568.0  2014   294.9  1919  1445.0  2015
   52.7  2009   78.8  1955  126.0  2014  170.9  2002  210.7  1956  210.6  1959  195.9  1943  175.1  2019  141.6  1934  101.3  1981   65.8  1998   46.0  2005   165.0  2010   485.1  2016   565.4  1934   293.7  1955  1444.8  1933
   52.7  1962   77.9  1957  125.8  1973  168.7  2019  210.5  1919  208.7  2010  195.6  1959  174.4  1990  141.3  1940  100.9  1986   64.7  1975   45.7  2012   164.6  2020   484.9  2017   564.0  1921   293.7  2010  1444.5  2010
   52.2  1989   76.9  1928  121.6  1972  168.6  1962  209.4  2000  208.6  1962  194.4  1997  173.8  1926  141.1  2004  100.6  1994   64.1  2003   45.7  1965   164.5  1988   482.2  1942   563.6  1969   289.8  2012  1436.1  2007
   51.7  1979   76.6  1985  121.0  2015  168.0  1946  209.1  1922  207.4  1976  193.9  1928  172.7  1998  140.1  1955   99.6  2007   64.1  1969   45.6  2004   162.1  1959   480.5  1995   559.8  1983   288.4  1988  1427.1  1976
   51.6  1994   75.6  2015  120.9  2011  167.8  1968  208.6  1921  207.4  1933  193.5  1949  172.3  1944  139.0  1954   99.6  1956   64.0  2010   45.3  2003   161.8  2005   476.1  1946   556.5  1935   288.2  1979  1420.0  1997
   50.9  2007   75.3  1999  119.1  1961  167.2  1974  208.3  1946  207.3  1967  191.6  2021  171.5  2000  138.7  1996   99.5  1939   63.3  1986   45.0  1994   161.1  1934   475.2  1943   550.1  1925   286.7  1947  1417.4  2016
   50.8  2019   74.8  2014  119.0  2017  166.3  2013  208.2  2016  206.7  2006  191.6  1996  170.4  1953  138.4  2012   98.8  1965   62.4  1952   44.6  2017   160.3  2009   475.1  1989   547.5  2003   286.2  1975  1416.6  2014
   50.2  1967   74.8  2013  118.9  1943  165.1  1955  207.6  2017  206.0  1995  191.5  1994  169.5  2014  138.0  2006   98.7  1961   62.0  1976   44.3  1951   160.3  2007   474.8  2012   540.1  1950   285.0  1973  1410.9  2013
   50.1  1999   74.4  1973  118.6  1965  163.0  1956  207.2  1975  203.0  2009  189.6  1933  169.5  2007  137.9  2002   98.2  1951   61.8  2018   44.1  2007   159.9  1999   470.9  2019   534.9  1990   284.5  2007  1406.7  1999
   49.9  1980   74.2  1968  116.5  2016  162.7  1980  206.7  1949  197.8  1929  187.4  1969  168.5  1949  137.5  1923   97.6  1952   61.5  1972   44.0  1952   159.4  2012   470.7  1949   532.6  1928   284.0  1987  1406.7  2001
   49.7  2011   74.1  1986  115.8  2010  162.7  1938  206.5  1982  197.6  1920  185.2  1977  167.5  1981  136.0  1949   97.3  1998   61.4  1999   43.9  1984   159.2  2014   468.9  2008   528.3  1926   283.8  1933  1402.2  1935
   49.1  2018   73.6  1952  115.2  2019  162.4  1953  204.0  1966  195.7  1932  183.5  1929  166.5  1937  135.4  1919   96.9  1929   61.3  2012   43.8  1925   159.0  1930   467.5  1980   526.7  1919   283.1  1991  1398.0  1984
   48.2  1956   73.4  2020  115.1  1938  161.9  2006  202.4  2005  194.6  1934  180.0  1975  165.0  1964  134.6  1999   96.7  1936   61.1  1930   43.6  1996   158.5  2006   466.5  1922   526.2  1994   283.0  1995  1398.0  2011
   47.9  1928   72.6  1943  114.7  2008  161.4  2009  201.8  1955  193.5  1986  175.8  1941  164.8  1923  132.4  2018   96.6  1926   60.0  1961   43.5  1979   157.5  1968   466.3  1997   526.1  2009   279.5  2005  1392.2  1943
   47.2  1985   72.5  1933  113.9  1997  160.5  1982  201.0  1942  193.5  1992  173.3  2019  164.3  1973  131.7  1981   96.4  1993   60.0  1948   42.9  1970   156.9  1967   457.5  1935   524.2  1960   279.5  2019  1391.2  2021
   47.2  2005   72.1  2021  113.4  1990  160.4  2016  200.3  2008  192.3  1973  171.8  1951  164.0  1974  130.7  2005   95.6  1975   59.6  1978   42.7  1973   156.7  2013   455.6  2018   523.8  1970   279.4  1981  1389.7  1996
   47.0  1978   71.5  1967  113.3  1944  159.9  1957  199.2  1940  191.9  1941  171.6  1982  163.5  1996  129.8  1937   94.6  1987   59.5  1967   42.6  1935   156.3  1991   454.1  2001   523.7  1999   279.1  1925  1386.9  1948
   46.9  1988   70.8  1946  113.0  1986  159.6  1922  199.2  2010  191.4  1942  171.2  1926  162.5  1935  128.2  2007   94.6  1964   59.3  2009   42.2  2006   155.6  1995   452.2  2002   521.8  1951   277.7  1998  1381.9  2005
   46.9  1934   70.8  1975  112.9  1949  158.3  2017  198.4  2012  191.0  2003  171.2  1950  162.1  1972  128.0  2009   94.5  1985   58.5  2011   42.1  1938   154.8  1977   449.3  1977   520.4  1929   277.7  2015  1381.2  1940
