Areal values from HadUK-Grid 1km gridded climate data from land surface network
Source: Met Office National Climate Information Centre
Monthly, seasonal and annual number of days in the month with air frost (minimum temperature below zero) for Wales
Areal series, starting in 1960
Last updated 01-Jan-2022 11:00
    jan  year    feb  year    mar  year    apr  year    may  year    jun  year    jul  year    aug  year    sep  year    oct  year    nov  year    dec  year     win  year     spr  year     sum  year     aut  year     ann  year
   28.8  1963   26.3  1963   22.2  1962   11.6  2021    4.8  1996    0.6  1991    0.0  1965    0.0  1976    0.8  1986    6.6  1993   12.0  2005   24.1  2010    71.6  1963    29.9  2013     0.6  1991    16.9  1993    93.5  2010
   25.3  1979   25.5  1986   19.9  2013    9.5  1968    4.4  1979    0.2  1962    0.0  1984    0.0  1971    0.7  1969    5.5  2003   11.9  1965   20.9  1981    59.0  1979    25.9  1962     0.2  1962    13.7  1988    82.0  1979
   24.0  1985   21.3  1968   15.5  1969    8.9  2013    3.7  1982    0.2  1969    0.0  1973    0.0  1987    0.4  1975    4.6  1997   11.4  1988   18.4  1961    50.9  2010    23.6  1969     0.2  1969    12.7  2010    81.9  1963
   19.4  2010   20.8  1979   14.9  1970    8.4  1970    2.5  2021    0.2  1989    0.0  1971    0.0  1964    0.3  2018    4.3  1992   10.7  1985   18.0  1976    46.0  1996    23.3  1970     0.2  1973    12.0  2005    75.7  1969
   19.0  1980   19.1  1996   13.6  1987    8.1  1986    2.3  1984    0.2  1985    0.0  2001    0.0  1977    0.3  1979    3.7  2018   10.4  1996   17.2  1996    45.7  1991    21.6  1979     0.2  1989    11.9  1965    75.3  1996
   18.9  1987   19.1  1991   13.1  2010    8.0  1989    2.2  2020    0.2  1973    0.0  2020    0.0  1966    0.3  1974    2.9  2010   10.3  1993   17.2  1995    45.6  1986    20.6  2021     0.2  1985    11.3  1985    70.4  1985
   18.3  1997   19.0  1983   12.7  1976    7.4  1978    2.2  1995    0.2  2011    0.0  1996    0.0  2018    0.2  2010    2.8  1983    9.6  2010   16.4  1962    43.4  1985    20.5  2010     0.2  2011    10.4  1996    68.8  1968
   16.0  1977   18.3  1969   12.2  1985    7.1  1975    2.0  2010    0.2  1971    0.0  1986    0.0  1983    0.2  1972    2.3  1988    9.4  1969   16.3  2008    43.2  2011    18.9  1996     0.2  1971    10.1  1969    67.5  2013
   15.6  2011   17.0  1981   11.9  1964    7.1  1969    1.8  1967    0.1  1975    0.0  1964    0.0  2010    0.1  1987    2.2  1987    9.1  1971   16.1  1963    42.9  1982    18.4  1968     0.1  1975     9.7  1971    67.5  1962
   15.6  1992   16.8  2010   11.8  2006    6.9  1984    1.6  2019    0.1  1977    0.0  1960    0.0  1967    0.1  1962    1.9  2008    8.0  1967   16.1  1969    42.9  1965    18.1  1975     0.1  1977     9.1  1973    64.3  1986
   15.2  1991   15.9  1960   11.4  1995    6.7  1990    1.6  1968    0.1  1999    0.0  2004    0.0  1972    0.1  2003    1.9  1981    7.8  1972   15.7  2001    42.6  2009    17.8  1984     0.1  1999     9.0  2003    64.2  1965
   15.1  2021   15.1  1978   11.4  1979    5.9  1983    1.5  1993    0.1  1972    0.0  2003    0.0  1965    0.1  2007    1.9  1973    7.7  1980   14.8  1964    41.7  1968    17.4  1976     0.1  1972     9.0  1983    63.7  1970
   15.1  2013   14.5  1970   11.4  1965    5.8  1979    1.4  1971    0.0  1978    0.0  2002    0.0  1974    0.1  2020    1.7  1964    7.7  1977   14.7  2009    41.2  1970    17.3  1973     0.0  1987     9.0  1972    62.9  1987
   14.8  2009   14.2  2018   11.1  1973    5.6  1977    1.4  1974    0.0  1987    0.0  2000    0.0  1993    0.0  1993    1.6  2002    7.6  1962   13.6  1968    40.1  1977    16.9  1995     0.0  1978     8.7  1962    62.6  2001
   13.9  1965   14.2  1965   10.9  2018    5.6  2016    1.3  1981    0.0  2001    0.0  2006    0.0  2001    0.0  1990    1.6  1974    7.2  1973   13.3  1992    39.6  1997    16.8  1965     0.0  2001     8.4  1980    60.5  1981
   13.9  1966   14.1  2001   10.0  2001    5.6  2008    1.3  1977    0.0  2008    0.0  1999    0.0  2007    0.0  1977    1.5  1975    6.5  2016   13.0  1960    39.3  1987    16.2  1986     0.0  1976     8.1  1967    59.4  1964
   13.7  2001   14.1  1987   10.0  1974    5.6  1966    1.3  1965    0.0  1984    0.0  1998    0.0  2002    0.0  1961    1.5  1966    6.2  1983   12.8  1978    39.2  1969    15.9  1964     0.0  2008     7.7  1977    59.0  1976
   13.3  1960   13.8  2013    9.8  1975    5.4  1981    1.3  2005    0.0  1996    0.0  1997    0.0  2003    0.0  1988    1.5  2012    5.6  2017   12.8  1970    38.6  2013    15.8  1987     0.0  1984     6.9  2018    56.0  1991
   13.0  1961   12.9  2003    9.6  2011    5.3  2010    1.2  1975    0.0  1967    0.0  2005    0.0  2004    0.0  2012    1.2  1994    5.6  1990   11.8  1982    38.4  1964    15.7  2006     0.0  1965     6.9  1975    55.8  2021
   12.9  1986   12.7  1984    9.1  1980    5.2  2000    1.1  1997    0.0  1961    0.0  2009    0.0  2005    0.0  2015    1.1  2019    5.6  1979   11.5  1990    35.3  2001    15.3  1985     0.0  1996     6.8  2012    55.7  1973
   12.9  2006   12.6  2004    9.1  1996    5.1  1973    1.0  2013    0.0  1981    0.0  2007    0.0  2000    0.0  1965    1.0  1972    5.6  1968   11.4  2007    35.2  1981    15.2  2001     0.0  1967     6.6  2016    55.1  1978
   12.4  1982   12.5  2015    8.5  1984    5.1  1996    1.0  1961    0.0  1968    0.0  2008    0.0  1999    0.0  1996    0.9  1962    5.4  2013   10.4  1967    34.8  1983    15.0  1974     0.0  1961     6.5  1964    54.3  1960
   12.2  1984   12.4  1985    8.2  2015    5.1  2012    1.0  1969    0.0  2015    0.0  1994    0.0  2006    0.0  1982    0.9  1998    5.4  2007   10.2  2003    34.7  1962    14.0  2016     0.0  1981     6.2  1966    54.3  2003
