Areal values from HadUK-Grid 1km gridded climate data from land surface network
Source: Met Office National Climate Information Centre
Monthly, seasonal and annual total duration of bright sunshine for Wales
Areal series, starting in 1919
Last updated 01-Jan-2022 11:00
    jan  year    feb  year    mar  year    apr  year    may  year    jun  year    jul  year    aug  year    sep  year    oct  year    nov  year    dec  year     win  year     spr  year     sum  year     aut  year     ann  year
   81.7  1933  107.2  2008  204.6  1929  231.8  2021  285.8  2020  286.8  1957  297.5  1955  274.8  1947  196.4  1959  122.6  1919   89.4  1925   73.1  2001   223.2  1963   647.1  2020   684.4  1976   354.5  1959  1652.9  1929
   76.7  1940  104.7  2019  167.5  2003  221.5  2007  262.5  1948  283.1  1925  285.4  2013  266.4  1995  175.9  1933  119.0  1975   82.6  1923   64.3  2008   209.6  1933   609.0  1948   680.3  1989   347.3  1971  1629.2  1955
   74.3  1963   97.9  1986  167.5  1948  219.3  2020  251.0  1977  278.6  1940  269.4  1990  257.3  1976  169.6  1929  118.5  1965   81.8  1988   63.2  1948   203.4  1934   601.1  1929   679.1  1995   328.4  1921  1627.7  1949
   69.5  1959   96.9  1934  162.3  1955  216.8  2015  243.9  1990  262.7  1975  261.2  1984  218.6  1955  165.5  1971  118.1  1994   78.3  2006   59.9  1962   199.0  1949   544.4  2007   667.1  1949   328.4  1955  1608.6  1995
   68.9  2001   96.5  2004  154.4  2011  213.6  1984  238.6  1989  261.0  2018  254.4  2006  214.9  1983  165.5  2015  117.2  1971   76.9  1989   58.5  1961   194.2  2003   543.1  1956   648.2  1955   326.9  1933  1590.8  1959
   68.4  2003   95.8  2018  153.4  2012  207.8  2011  233.7  1992  256.3  1949  254.3  1989  210.8  1989  164.4  1991  117.0  1962   75.3  2005   56.8  1963   190.8  2008   541.4  2010   646.4  2018   321.5  1999  1587.4  1921
   62.9  2009   91.4  1949  148.6  1924  206.3  1938  232.2  2018  248.7  1969  246.9  2018  201.3  2005  163.4  1940  116.1  2010   74.9  1967   54.7  1960   188.9  1952   539.9  1953   640.7  1975   319.5  1975  1576.7  1989
   61.9  1965   89.0  1963  147.9  1953  206.3  1954  232.1  1975  245.1  1960  240.5  1983  198.0  1975  161.2  1921  116.0  1921   71.6  1965   54.2  1996   186.2  2001   536.3  1990   631.8  1940   316.4  2010  1569.3  1975
   61.7  1952   88.6  1996  144.4  1956  202.2  2010  230.5  1921  239.1  1921  239.4  1971  196.6  1933  160.5  1928  116.0  1997   71.3  1933   53.1  1944   182.5  2010   532.1  2011   630.0  1984   315.9  1929  1566.8  1933
   60.3  2006   87.1  1956  142.1  2020  201.8  1921  228.4  1956  236.7  2010  235.7  1934  193.7  1937  156.5  1964  114.8  2018   70.7  2016   53.0  1957   181.0  1985   527.6  2003   626.4  2013   315.0  2006  1543.1  2018
